K,a,alpha,epsilon,Kest,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights
15,1,0.5,0.01,6,1,1,0.001081156114178332,-1,0.001081156114178332,-1,9.997484205516527e-4,9.997484205516527e-4
20,1,0.5,0.01,7,1,0.8571428571428571,0.0026282242754228947,-1,0.0026282242754228947,-1,0.004176794976573747,0.004176794976573747
25,1,0.5,0.01,6,0.8333333333333334,0.8333333333333334,0.0021884976090284164,-1,0.0021884976090284164,-1,0.0015280525567041038,0.0015280525567041038
40,1,0.5,0.01,6,1,1,0.0012586572005499792,-1,0.0012586572005499792,-1,0.0011749508310131371,0.0011749508310131371
15,1,0.5,0.1,6,0.6666666666666666,0.6666666666666666,0.0045987413001320025,-1,0.0045987413001320025,-1,0.004621146583048033,0.004621146583048033
20,1,0.5,0.1,7,1,0.8571428571428571,0.0029797873210537294,-1,0.0029797873210537294,-1,0.004208675796338307,0.004208675796338307
25,1,0.5,0.1,6,0.5,0.5,0.0051448639833106885,-1,0.0051448639833106885,-1,0.005135142482239224,0.005135142482239224
40,1,0.5,0.1,6,1,1,0.0017872805495863456,-1,0.0017872805495863456,-1,0.0013845879030466648,0.0013845879030466648
15,1,0.5,0.25,6,1,1,0.001458648057744396,-1,0.001458648057744396,-1,0.0012457469871303129,0.0012457469871303129
20,1,0.5,0.25,6,1,1,0.0013140164529353178,-1,0.0013140164529353178,-1,0.0011759799870243166,0.0011759799870243166
25,1,0.5,0.25,7,1,0.8571428571428571,0.006059299383177777,-1,0.006059299383177777,-1,0.005949988431384415,0.005949988431384415
40,1,0.5,0.25,6,0.8333333333333334,0.8333333333333334,0.0030857089104226383,-1,0.0030857089104226383,-1,0.003070901419886766,0.003070901419886766
15,1,1,0.01,6,1,1,0.0026769849663684482,-1,0.0026769849663684482,-1,0.002127397293380505,0.002127397293380505
20,1,1,0.01,6,1,1,0.0027328109606336265,-1,0.0027328109606336265,-1,0.002096094410887138,0.002096094410887138
25,1,1,0.01,6,1,1,0.003111089799143737,-1,0.003111089799143737,-1,0.0022894298699962794,0.0022894298699962794
40,1,1,0.01,6,1,1,0.002835405772368452,-1,0.002835405772368452,-1,0.002207817074502175,0.002207817074502175
15,1,1,0.1,6,1,1,0.002658229361465878,-1,0.002658229361465878,-1,0.002128744661299615,0.002128744661299615
