Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	149	378	37	144	1120	63	10	0	445	3
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	11	77	13	10	12	13	45	18	33	2
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	73	175	0	144	14	34	67	44	25	0
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	243	210	180	169	451	32	0	77	144	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	0	26	103	119	2	2	31	43	49	0
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	140	116	70	110	12	52	24	16	0	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	289	13	112	15	33	62	23	12	0
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	138	427	0	44	12	25	136	0	67	34
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	90	97	37	0	14	134	66	67	82	30
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	113	157	69	0	30	69	92	59	45	77
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	74	293	139	146	20	24	56	41	0	18
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	527	222	115	46	23	256	153	24	63	9
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	64	74	64	265	22	43	0	10	96	6
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	0	109	10	52	18	33	32	57	52	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	82	148	0	56	22	25	94	28	73	6
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	17	76	19	0	6	9	57	29	73	17
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	75	70	0	77	674	102	5	24	142	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	0	192	75	89	5	54	69	29	49	13
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	51	162	140	49	22	21	34	21	141	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	81	152	0	1	16	32	45	17	37	6
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	134	268	45	12	7	31	87	13	33	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	200	253	0	78	19	69	60	30	43	14
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	30	50	15	40	7	26	28	50	63	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	479	533	0	41	25	67	192	40	98	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	43	181	60	56	15	22	0	39	25	61
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	457	382	0	175	4	68	49	74	91	3
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	25	167	31	224	7	63	0	22	3	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	121	60	106	164	14	53	0	20	7	35
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	94	95	0	123	9	34	0	29	53	18
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	12	6	109	41	10	19	33	46	45	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	46	99	0	149	449	7	0	115	0	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	2	29	20	0	9	9	75	42	19	4
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	11	4	37	100	6	7	6	23	19	4
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	293	154	64	255	10	45	0	23	0	0
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	29	101	0	93	12	21	115	32	0	0
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	193	170	0	175	1	44	0	55	22	0
