Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	0	414	188	1080	0	32	0	327	0	96	212	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	0	18	22	10	87	8	0	19	17	24	29	0
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	75	228	0	13	0	34	112	29	31	53	1	0
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	302	289	75	440	0	35	172	137	56	0	0	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	64	34	0	1	96	2	75	59	32	2	8	2
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	182	84	0	10	142	53	48	11	9	1	0	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	11	318	0	14	27	33	75	20	17	43	0	1
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	132	460	0	11	0	16	44	57	5	43	85	30
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	0	70	155	13	0	129	30	58	54	49	36	23
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	0	0	222	26	175	65	40	16	49	46	10	62
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	153	324	0	16	83	19	50	0	35	69	50	12
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	491	224	159	19	0	261	119	42	13	106	0	4
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	18	58	111	18	174	38	19	63	4	128	13	0
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	4	57	0	15	119	30	0	52	47	21	18	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	0	73	115	20	103	20	59	47	20	56	17	4
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	32	71	0	7	0	9	83	66	17	0	0	18
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	70	110	0	657	0	99	44	137	31	0	21	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	40	211	0	4	53	48	37	43	26	45	57	11
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	55	185	123	23	0	22	77	128	7	21	0	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	78	161	0	16	0	29	8	37	17	0	34	7
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	149	289	0	6	0	21	0	27	17	25	96	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	65	146	183	17	163	62	22	34	29	0	36	9
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	40	12	0	6	95	27	23	65	41	0	0	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	464	570	0	24	0	53	96	87	34	12	135	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	64	80	21	14	177	19	36	16	24	0	0	51
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	442	415	0	2	119	61	9	101	64	1	88	1
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	43	247	0	5	39	65	54	22	16	51	0	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	185	162	0	12	0	56	40	22	15	51	7	30
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	92	50	0	7	165	33	5	59	21	8	0	15
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	31	19	70	10	0	21	76	38	32	24	0	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	42	0	0	428	245	5	6	14	105	20	0	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	0	24	14	7	0	3	45	6	35	26	47	2
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	31	0	0	5	86	5	35	24	17	0	11	3
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	328	143	0	7	201	45	71	0	14	35	0	0
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	33	0	0	10	197	18	107	2	24	12	0	0
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	189	98	0	0	238	43	0	38	42	12	0	0
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	0	11	0	2	3	9	0	2	0	0	9	18
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	227	297	0	27	40	61	125	62	21	0	0	0
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	310	458	0	4	191	55	57	1	8	3	0	0
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	77	60	0	7	52	26	63	44	5	0	0	6
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	99	55	0	10	78	21	48	46	26	0	0	0
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	11	14	0	22	293	22	0	27	22	57	0	44
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	157	115	0	6	144	10	43	33	25	0	0	0
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	42	141	62	11	11	10	49	31	20	43	17	0
