MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Del:C:0	1.85E-04	4.70E-05	8.88E-03	1.48E-04	3.55E-03	1.71E-02	1.17E-02	1.65E-02	2.65E-02	6.33E-03	1.38E-02	1.16E-02	1.50E-02	7.30E-03
1:Del:C:1	5.26E-05	6.12E-04	4.55E-03	1.16E-04	1.09E-03	6.60E-03	8.45E-03	6.68E-03	9.80E-03	5.96E-03	1.11E-02	2.59E-03	5.90E-03	3.97E-03
1:Del:C:2	1.68E-04	4.20E-04	2.70E-03	1.54E-04	9.82E-04	4.39E-03	4.33E-03	4.98E-03	7.20E-03	3.70E-03	2.51E-03	1.67E-03	6.54E-03	2.19E-03
1:Del:C:3	4.39E-04	2.74E-04	1.71E-03	0.00E+00	4.61E-04	9.55E-04	2.99E-03	2.28E-03	4.63E-03	2.91E-03	3.77E-03	6.32E-04	2.32E-03	2.15E-03
1:Del:C:4	2.03E-03	0.00E+00	1.64E-03	1.56E-09	4.74E-04	4.36E-03	2.33E-03	4.11E-03	2.68E-03	1.64E-03	2.08E-03	2.97E-03	7.61E-04	2.07E-03
1:Del:C:5	8.26E-03	1.03E-03	6.56E-04	9.50E-05	2.85E-04	1.56E-02	1.07E-03	9.56E-03	3.98E-03	0.00E+00	2.81E-03	8.39E-03	1.01E-02	4.23E-03
1:Del:T:0	4.22E-04	5.09E-04	6.07E-03	1.23E-04	1.73E-03	3.35E-03	5.58E-03	9.16E-03	1.03E-02	5.32E-03	1.71E-02	6.03E-03	6.56E-03	4.62E-03
1:Del:T:1	3.72E-04	6.44E-04	3.14E-03	1.07E-04	6.22E-04	1.14E-03	6.54E-03	7.36E-03	1.16E-02	4.97E-03	1.37E-02	2.12E-03	7.36E-03	8.29E-06
1:Del:T:2	5.41E-04	3.78E-04	1.85E-03	7.94E-05	1.64E-03	4.71E-03	8.75E-03	1.07E-02	7.46E-03	5.57E-03	7.10E-03	8.54E-03	1.88E-03	2.08E-03
1:Del:T:3	3.57E-03	1.31E-03	4.19E-03	9.33E-05	2.10E-03	5.51E-03	5.75E-03	1.50E-02	1.36E-02	3.31E-03	7.95E-03	4.83E-03	3.55E-03	3.41E-03
1:Del:T:4	9.23E-03	3.90E-04	2.95E-03	1.90E-04	2.44E-03	6.71E-03	9.31E-04	3.83E-02	1.93E-02	5.06E-03	2.35E-02	5.46E-03	5.98E-03	8.21E-03
1:Del:T:5	2.61E-02	1.08E-02	2.10E-02	6.54E-04	4.02E-03	7.30E-02	2.16E-27	7.92E-03	1.41E-02	3.41E-03	5.17E-03	5.83E-02	1.17E-02	1.02E-03
1:Ins:C:0	3.27E-04	1.22E-04	6.21E-03	4.29E-03	1.25E-03	3.06E-03	8.57E-03	4.48E-03	6.15E-03	6.79E-03	1.07E-02	6.52E-03	7.72E-03	3.22E-03
1:Ins:C:1	2.78E-04	9.09E-04	9.60E-04	8.57E-04	5.49E-04	2.73E-04	1.13E-03	1.14E-03	7.05E-04	0.00E+00	7.59E-07	2.30E-03	1.00E-03	1.16E-03
1:Ins:C:2	1.47E-04	5.55E-04	8.39E-05	7.92E-04	0.00E+00	6.08E-04	1.11E-03	1.49E-04	1.81E-04	2.37E-04	1.61E-04	3.27E-03	2.39E-04	9.52E-04
1:Ins:C:3	9.54E-05	1.85E-04	1.82E-04	2.64E-04	0.00E+00	6.21E-05	1.29E-04	2.92E-04	4.07E-04	4.40E-05	1.40E-04	0.00E+00	1.58E-04	3.70E-04
1:Ins:C:4	4.29E-05	6.25E-05	1.29E-04	3.04E-04	4.18E-05	1.10E-04	4.38E-04	3.26E-05	0.00E+00	0.00E+00	6.43E-05	1.98E-04	2.32E-04	1.21E-04
1:Ins:C:5	4.34E-05	6.41E-05	4.02E-04	5.62E-05	0.00E+00	1.45E-04	2.32E-04	0.00E+00	3.83E-04	0.00E+00	0.00E+00	7.85E-04	0.00E+00	4.34E-05
1:Ins:T:0	9.86E-03	8.00E-03	1.62E-02	1.92E-03	5.59E-03	3.33E-02	3.43E-02	3.11E-02	5.95E-03	1.72E-02	1.89E-02	3.38E-02	2.88E-02	2.04E-02
1:Ins:T:1	4.07E-03	9.44E-03	1.72E-02	2.03E-03	1.23E-03	1.65E-02	1.39E-02	2.36E-02	1.08E-02	3.68E-03	8.61E-03	1.45E-02	1.54E-02	1.53E-02
1:Ins:T:2	1.34E-03	3.85E-03	9.45E-03	6.17E-04	0.00E+00	6.03E-03	1.08E-02	5.65E-03	3.47E-03	8.08E-04	1.39E-03	6.41E-03	6.82E-03	1.96E-03
1:Ins:T:3	5.46E-04	1.26E-03	5.27E-03	4.22E-04	4.86E-04	4.51E-03	3.40E-03	4.64E-03	5.24E-03	2.82E-03	1.00E-03	2.43E-03	4.09E-03	4.13E-03
1:Ins:T:4	1.11E-03	2.58E-03	2.59E-03	5.52E-04	4.51E-04	2.77E-03	2.38E-03	4.44E-03	4.24E-03	8.05E-04	7.46E-04	1.18E-02	5.48E-03	6.69E-08
1:Ins:T:5	9.11E-04	1.85E-03	3.00E-03	6.06E-04	4.37E-04	2.90E-03	3.93E-03	2.62E-03	2.86E-03	1.43E-03	1.84E-03	2.84E-03	2.21E-03	1.84E-03
2:Del:R:0	1.81E-04	1.91E-04	1.76E-03	0.00E+00	4.52E-04	3.09E-03	2.68E-03	6.38E-03	3.09E-03	6.11E-03	9.39E-03	7.67E-03	4.65E-03	3.08E-03
2:Del:R:1	7.09E-04	2.64E-04	6.70E-03	2.07E-04	6.11E-04	4.12E-03	4.49E-03	7.97E-03	5.65E-03	5.17E-03	1.89E-02	3.21E-03	1.17E-02	2.15E-03
2:Del:R:2	3.03E-04	8.77E-05	1.46E-03	3.62E-05	1.89E-04	2.50E-03	9.60E-04	1.41E-03	5.05E-03	6.31E-04	3.74E-03	2.63E-03	4.29E-03	1.87E-03
2:Del:R:3	1.11E-03	0.00E+00	3.55E-04	2.06E-09	1.51E-04	2.34E-03	1.02E-03	4.12E-05	1.85E-03	5.75E-04	1.59E-03	1.87E-03	3.45E-04	7.38E-04
2:Del:R:4	7.47E-04	1.36E-08	2.92E-05	3.11E-09	0.00E+00	2.15E-03	0.00E+00	6.44E-09	1.47E-08	6.04E-04	3.11E-04	1.37E-03	3.56E-04	1.01E-03
2:Del:R:5	8.11E-04	2.92E-08	0.00E+00	1.77E-09	2.62E-08	1.60E-03	0.00E+00	0.00E+00	0.00E+00	5.00E-08	0.00E+00	1.50E-03	0.00E+00	1.10E-02
3:Del:R:0	5.17E-05	2.36E-04	1.34E-03	4.58E-05	5.68E-04	2.74E-03	2.38E-04	1.62E-03	1.55E-03	3.44E-03	4.38E-03	2.65E-04	3.04E-03	4.71E-04
3:Del:R:1	4.86E-04	2.86E-04	1.94E-03	8.65E-05	4.46E-04	2.79E-03	6.02E-03	1.71E-03	7.85E-03	3.17E-03	1.21E-02	3.60E-03	1.53E-02	3.57E-03
3:Del:R:2	1.66E-04	1.13E-04	2.83E-03	2.58E-05	7.00E-05	2.13E-03	0.00E+00	4.93E-03	2.65E-03	0.00E+00	4.87E-03	5.87E-04	6.52E-03	2.07E-03
3:Del:R:3	4.53E-05	1.14E-04	1.85E-04	4.77E-05	0.00E+00	4.22E-04	1.80E-04	3.45E-04	2.45E-04	1.49E-04	1.50E-03	8.39E-04	6.58E-04	1.67E-03
3:Del:R:4	0.00E+00	1.46E-08	5.15E-08	1.75E-09	0.00E+00	8.51E-08	8.75E-08	6.72E-08	8.84E-08	1.72E-07	1.51E-07	1.24E-06	1.22E-07	5.08E-03
3:Del:R:5	3.03E-05	0.00E+00	0.00E+00	1.59E-09	0.00E+00	1.86E-05	4.72E-08	7.97E-05	5.61E-08	0.00E+00	8.11E-08	3.05E-08	6.16E-08	7.20E-03
