MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Del:C:0	2.31E-04	3.11E-04	4.13E-03	7.98E-03	1.78E-04	5.18E-03	4.61E-03	1.23E-02	2.36E-02	1.20E-02	6.51E-03	2.70E-02	1.67E-02	1.15E-02	6.22E-03
1:Del:C:1	1.40E-46	1.25E-03	2.75E-03	8.72E-03	1.35E-04	5.38E-03	1.92E-03	5.95E-03	1.22E-02	3.95E-03	5.36E-03	1.02E-02	9.91E-03	3.67E-03	2.42E-03
1:Del:C:2	2.13E-04	6.11E-04	4.32E-03	2.38E-03	1.41E-04	3.74E-03	7.38E-04	1.40E-03	7.41E-03	3.43E-03	3.37E-03	9.28E-03	4.07E-03	7.68E-03	2.95E-03
1:Del:C:3	4.72E-04	2.31E-04	2.26E-03	2.90E-03	0.00E+00	2.32E-03	7.08E-04	1.16E-03	5.06E-03	4.81E-03	3.54E-03	2.69E-03	2.26E-03	1.07E-03	2.56E-03
1:Del:C:4	2.89E-03	3.39E-04	1.13E-03	3.10E-03	1.89E-09	3.19E-03	7.15E-04	8.94E-03	3.42E-03	5.81E-04	4.95E-04	2.32E-03	3.21E-03	1.83E-03	4.62E-04
1:Del:C:5	8.71E-03	8.76E-04	3.07E-03	9.68E-06	1.21E-04	9.87E-03	3.35E-04	2.52E-02	3.11E-03	3.82E-03	0.00E+00	6.57E-05	0.00E+00	2.10E-03	4.53E-03
1:Del:T:0	1.94E-04	1.56E-03	6.50E-03	1.17E-02	1.70E-04	6.62E-03	2.03E-03	8.78E-03	1.16E-02	1.20E-02	9.86E-03	6.94E-03	1.55E-02	5.28E-03	7.01E-03
1:Del:T:1	1.73E-04	1.47E-03	3.94E-03	9.74E-03	1.18E-04	4.19E-03	1.19E-03	7.80E-04	9.37E-03	4.46E-03	6.13E-03	7.56E-03	1.54E-02	5.25E-03	6.98E-04
1:Del:T:2	5.28E-04	7.61E-04	3.28E-03	8.94E-03	1.01E-04	7.50E-03	1.73E-03	2.91E-03	8.88E-03	1.83E-03	6.42E-03	5.84E-03	1.36E-02	9.98E-03	1.30E-03
1:Del:T:3	3.15E-03	1.36E-03	3.66E-03	3.77E-03	1.16E-04	1.30E-02	1.08E-03	7.59E-03	1.32E-02	2.36E-03	2.00E-03	3.19E-03	1.20E-02	1.22E-02	2.38E-03
1:Del:T:4	8.78E-03	1.12E-03	8.41E-04	3.86E-03	2.25E-04	4.61E-02	2.28E-03	2.10E-02	2.38E-02	1.91E-04	6.06E-03	6.54E-03	1.04E-02	1.02E-02	1.53E-02
1:Del:T:5	2.28E-02	1.68E-02	3.50E-03	1.04E-02	7.64E-04	3.49E-02	3.81E-03	6.81E-02	2.47E-18	1.74E-02	4.09E-03	6.23E-02	5.41E-03	1.31E-02	6.21E-07
1:Ins:C:0	6.82E-04	4.04E-04	6.21E-03	6.36E-03	1.06E-02	5.03E-03	1.93E-03	2.43E-03	1.84E-03	5.55E-03	5.32E-03	5.73E-03	6.43E-03	1.38E-02	1.74E-03
1:Ins:C:1	1.58E-04	8.22E-04	1.80E-03	1.49E-03	2.38E-03	1.48E-03	4.73E-04	4.00E-04	6.57E-04	0.00E+00	0.00E+00	1.95E-03	1.84E-03	1.72E-03	6.24E-04
1:Ins:C:2	1.88E-04	8.83E-04	2.02E-03	1.33E-03	1.23E-03	4.36E-04	4.21E-05	9.18E-04	1.90E-04	8.14E-05	1.68E-04	3.99E-04	0.00E+00	1.23E-03	8.77E-04
1:Ins:C:3	6.17E-05	2.18E-04	1.36E-04	0.00E+00	4.44E-04	4.50E-04	0.00E+00	8.99E-05	6.61E-04	0.00E+00	7.35E-05	1.17E-04	0.00E+00	0.00E+00	1.43E-04
1:Ins:C:4	3.12E-05	7.38E-05	1.79E-04	0.00E+00	3.64E-04	2.99E-04	4.64E-05	1.34E-04	0.00E+00	5.87E-04	5.72E-05	1.72E-04	0.00E+00	4.06E-04	9.57E-05
1:Ins:C:5	6.86E-05	1.02E-04	5.81E-04	1.25E-04	5.94E-05	1.66E-05	0.00E+00	3.92E-04	2.70E-04	0.00E+00	0.00E+00	3.80E-04	1.72E-04	8.38E-04	5.87E-05
1:Ins:T:0	7.43E-03	2.93E-02	2.47E-02	3.52E-02	8.89E-03	3.77E-02	6.57E-03	3.33E-02	6.25E-03	5.43E-02	1.38E-02	2.62E-02	2.00E-02	3.39E-02	1.16E-02
1:Ins:T:1	3.18E-03	9.90E-03	2.33E-02	1.96E-02	2.89E-03	1.91E-02	1.32E-03	1.45E-02	7.00E-03	2.47E-02	6.47E-03	1.11E-02	1.68E-02	3.11E-02	1.42E-02
1:Ins:T:2	1.75E-03	7.18E-03	7.18E-03	1.11E-02	1.92E-03	6.07E-03	1.65E-04	3.22E-03	4.19E-03	5.96E-03	9.67E-46	7.96E-03	6.82E-03	5.02E-03	3.90E-03
1:Ins:T:3	8.29E-04	2.15E-03	7.16E-03	4.65E-03	1.50E-03	5.59E-03	3.55E-04	3.86E-03	4.34E-03	4.66E-03	2.02E-03	3.90E-03	2.97E-03	5.36E-03	3.52E-03
1:Ins:T:4	4.90E-04	7.25E-03	3.62E-03	1.40E-46	5.63E-04	2.54E-03	3.91E-04	4.35E-03	2.85E-03	5.89E-03	3.10E-46	6.51E-03	3.32E-03	5.25E-03	0.00E+00
1:Ins:T:5	1.06E-03	3.14E-03	5.62E-03	5.03E-03	6.65E-04	6.14E-03	6.27E-04	4.99E-03	1.72E-03	3.77E-03	5.57E-04	1.38E-03	2.49E-03	4.77E-04	3.51E-03
2:Del:R:0	2.29E-04	2.92E-04	2.24E-03	4.26E-03	0.00E+00	2.56E-03	3.76E-04	6.05E-03	3.73E-03	4.94E-03	6.72E-03	5.45E-03	1.58E-02	0.00E+00	1.90E-03
2:Del:R:1	6.54E-04	8.49E-04	9.38E-03	4.20E-03	2.18E-04	5.27E-03	8.05E-04	7.28E-03	6.13E-03	1.64E-02	5.15E-03	6.22E-03	7.21E-03	7.50E-03	1.84E-03
2:Del:R:2	3.53E-04	2.01E-04	2.62E-03	2.30E-03	3.57E-05	2.02E-03	1.25E-04	2.16E-03	4.23E-03	3.17E-03	7.51E-04	3.00E-03	4.99E-03	1.40E-46	1.34E-03
2:Del:R:3	1.51E-03	0.00E+00	1.26E-03	1.79E-03	2.60E-09	2.00E-04	1.44E-04	3.42E-03	1.72E-03	3.40E-04	3.56E-04	5.15E-04	1.82E-03	7.78E-04	7.70E-04
2:Del:R:4	1.42E-03	3.21E-05	1.81E-05	0.00E+00	3.22E-09	8.91E-09	0.00E+00	2.10E-03	3.18E-04	1.39E-04	5.02E-04	0.00E+00	2.68E-04	2.07E-04	1.04E-03
2:Del:R:5	1.66E-03	2.51E-08	8.28E-08	0.00E+00	0.00E+00	0.00E+00	2.53E-08	2.75E-03	0.00E+00	0.00E+00	4.90E-08	0.00E+00	1.11E-07	0.00E+00	1.17E-02
3:Del:R:0	1.70E-05	3.52E-04	1.08E-03	6.50E-04	4.15E-05	2.13E-03	1.31E-03	1.46E-03	1.10E-03	4.45E-03	4.88E-03	2.50E-03	4.04E-03	1.08E-03	0.00E+00
3:Del:R:1	5.08E-04	2.90E-04	2.53E-03	5.74E-03	1.01E-04	3.00E-03	1.90E-04	4.50E-03	5.89E-03	1.81E-02	2.14E-03	1.64E-02	7.75E-03	4.06E-03	3.79E-03
3:Del:R:2	2.07E-04	4.12E-05	4.38E-06	2.40E-05	3.03E-05	7.57E-05	1.09E-04	3.17E-03	2.52E-03	8.92E-03	6.93E-04	2.80E-03	5.38E-03	1.06E-03	1.92E-03
3:Del:R:3	8.81E-05	1.38E-04	1.11E-03	3.61E-04	5.11E-05	1.60E-03	0.00E+00	2.47E-04	3.71E-04	3.61E-04	0.00E+00	1.03E-03	1.84E-04	1.32E-03	2.48E-03
3:Del:R:4	1.91E-08	6.05E-08	6.76E-08	5.90E-08	1.38E-09	1.44E-07	0.00E+00	5.66E-08	1.48E-07	1.34E-07	2.09E-07	6.99E-08	2.93E-07	2.89E-07	5.70E-03
3:Del:R:5	6.67E-06	0.00E+00	1.44E-08	3.50E-08	1.22E-09	8.25E-05	1.59E-09	4.70E-05	6.96E-08	0.00E+00	0.00E+00	0.00E+00	2.11E-08	6.01E-08	7.84E-03
4:Del:R:0	2.25E-05	4.46E-05	4.60E-04	1.34E-03	3.04E-09	1.30E-03	8.55E-04	3.46E-03	1.68E-03	1.48E-03	4.23E-03	3.21E-03	8.04E-03	0.00E+00	9.92E-08
4:Del:R:1	2.68E-04	6.74E-04	7.50E-03	4.64E-03	7.65E-05	4.30E-03	3.86E-04	5.58E-03	7.86E-03	8.16E-03	1.73E-04	1.03E-02	8.07E-03	4.05E-03	5.60E-03
4:Del:R:2	1.05E-04	0.00E+00	1.71E-03	1.25E-03	3.12E-09	1.42E-03	1.19E-04	1.42E-03	5.42E-04	3.84E-03	0.00E+00	3.77E-03	1.81E-03	1.01E-03	1.88E-07
4:Del:R:3	2.49E-05	1.93E-04	3.69E-06	2.74E-04	1.71E-09	1.24E-03	1.23E-04	1.73E-04	4.37E-04	0.00E+00	1.22E-04	7.28E-04	2.39E-04	1.33E-03	2.09E-03
4:Del:R:4	0.00E+00	7.86E-08	1.45E-07	1.59E-04	7.06E-10	1.46E-04	1.05E-04	3.44E-04	6.83E-05	0.00E+00	0.00E+00	2.80E-05	0.00E+00	3.85E-08	2.82E-03
4:Del:R:5	1.33E-04	6.73E-05	1.17E-05	9.95E-05	1.85E-09	5.69E-05	4.36E-05	8.32E-04	0.00E+00	0.00E+00	5.87E-09	2.86E-04	3.54E-08	7.83E-04	1.30E-03
