MutationType	ID83A	ID83B	ID83C
1:Del:C:0	1.72E-04	9.62E-05	2.79E-04
1:Del:C:1	2.50E-04	6.61E-05	4.07E-04
1:Del:C:2	1.11E-04	4.82E-05	1.88E-04
1:Del:C:3	9.76E-05	8.34E-05	1.70E-04
1:Del:C:4	1.23E-04	1.44E-04	1.67E-04
1:Del:C:5	8.36E-05	2.47E-04	1.35E-04
1:Del:T:0	2.53E-04	9.94E-05	4.66E-04
1:Del:T:1	1.35E-04	7.71E-05	3.26E-04
1:Del:T:2	1.56E-04	7.62E-05	3.99E-04
1:Del:T:3	1.18E-04	2.62E-04	4.15E-04
1:Del:T:4	2.63E-04	3.50E-04	4.51E-04
1:Del:T:5	1.61E-03	1.01E-03	2.16E-03
1:Ins:C:0	2.37E-04	1.34E-04	1.74E-04
1:Ins:C:1	6.98E-05	8.00E-05	1.22E-04
1:Ins:C:2	7.71E-05	3.25E-05	5.84E-05
1:Ins:C:3	4.33E-05	2.59E-05	5.66E-06
1:Ins:C:4	4.48E-05	1.49E-05	2.60E-05
1:Ins:C:5	2.49E-05	3.61E-05	2.18E-06
1:Ins:T:0	7.96E-04	7.69E-04	1.10E-03
1:Ins:T:1	6.57E-04	3.93E-04	7.26E-04
1:Ins:T:2	3.12E-04	2.12E-04	2.40E-04
1:Ins:T:3	1.71E-04	1.31E-04	1.66E-04
1:Ins:T:4	1.29E-04	1.78E-04	1.80E-04
1:Ins:T:5	2.48E-04	1.11E-04	2.01E-04
2:Del:R:0	1.44E-04	7.83E-05	2.75E-04
2:Del:R:1	1.51E-04	1.05E-04	3.43E-04
2:Del:R:2	8.30E-05	1.03E-04	1.40E-04
2:Del:R:3	5.81E-05	9.84E-05	9.14E-05
2:Del:R:4	2.05E-05	5.27E-05	4.53E-05
2:Del:R:5	9.68E-05	7.16E-05	1.41E-04
3:Del:R:0	1.04E-04	2.70E-05	2.15E-04
3:Del:R:1	8.91E-05	1.02E-04	2.68E-04
3:Del:R:2	7.13E-05	2.64E-05	1.28E-04
3:Del:R:3	3.42E-05	3.39E-05	4.97E-05
3:Del:R:4	3.42E-05	7.48E-06	1.16E-04
3:Del:R:5	2.96E-05	2.54E-05	6.38E-05
4:Del:R:0	7.09E-05	2.71E-06	2.30E-04
4:Del:R:1	1.01E-04	5.07E-05	1.72E-04
4:Del:R:2	5.22E-05	1.50E-05	1.00E-04
4:Del:R:3	3.68E-05	1.49E-05	5.07E-05
4:Del:R:4	2.84E-05	1.27E-05	6.53E-05
4:Del:R:5	3.02E-05	1.98E-05	5.27E-05
5:Del:R:0	2.27E-04	4.69E-05	6.56E-04
5:Del:R:1	6.36E-05	5.39E-05	1.87E-04
5:Del:R:2	2.66E-05	1.46E-05	3.79E-05
5:Del:R:3	1.70E-05	1.29E-05	4.66E-05
5:Del:R:4	3.78E-06	7.24E-06	1.81E-05
5:Del:R:5	2.03E-05	3.28E-06	4.88E-05
2:Ins:R:0	1.66E-04	1.07E-04	3.45E-04
2:Ins:R:1	4.17E-05	3.94E-05	6.81E-05
2:Ins:R:2	1.70E-05	3.08E-05	1.59E-05
2:Ins:R:3	1.68E-05	1.46E-05	9.46E-10
2:Ins:R:4	9.97E-06	2.32E-05	5.92E-06
2:Ins:R:5	8.88E-06	6.21E-06	9.38E-10
3:Ins:R:0	1.19E-04	7.12E-05	1.79E-04
3:Ins:R:1	1.83E-05	1.96E-05	3.22E-05
3:Ins:R:2	6.27E-06	3.52E-06	1.69E-09
3:Ins:R:3	2.23E-08	5.70E-06	5.94E-09
3:Ins:R:4	8.94E-10	7.70E-11	1.69E-09
3:Ins:R:5	8.94E-10	7.70E-11	1.69E-09
4:Ins:R:0	6.54E-05	3.82E-05	1.62E-04
4:Ins:R:1	2.11E-05	1.17E-05	3.47E-05
4:Ins:R:2	2.39E-06	5.91E-06	9.68E-09
4:Ins:R:3	2.36E-06	7.56E-10	1.07E-08
4:Ins:R:4	2.23E-08	1.17E-09	6.75E-06
4:Ins:R:5	8.94E-10	7.70E-11	1.69E-09
5:Ins:R:0	2.16E-04	3.41E-05	3.99E-04
5:Ins:R:1	9.79E-06	3.44E-10	2.43E-05
5:Ins:R:2	2.81E-06	2.03E-10	1.05E-08
5:Ins:R:3	8.94E-10	7.70E-11	1.69E-09
5:Ins:R:4	8.94E-10	7.70E-11	1.69E-09
5:Ins:R:5	8.94E-10	7.70E-11	1.69E-09
2:Del:M:1	1.44E-04	1.33E-04	1.16E-04
3:Del:M:1	5.79E-05	1.42E-05	1.45E-04
3:Del:M:2	8.70E-05	4.61E-05	1.94E-04
4:Del:M:1	6.64E-05	2.31E-05	1.49E-04
4:Del:M:2	9.59E-05	3.37E-05	2.01E-04
4:Del:M:3	9.26E-05	4.97E-05	1.01E-04
5:Del:M:1	2.19E-04	3.14E-05	7.51E-04
5:Del:M:2	6.65E-05	1.62E-05	8.45E-04
5:Del:M:3	2.95E-05	3.24E-05	1.10E-03
5:Del:M:4	1.40E-46	1.22E-05	7.96E-04
5:Del:M:5	1.09E-04	5.03E-05	3.17E-04
