NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	211.34	33.287	49.172	22.498	0.17	0.968	60000.0
2	209.605	33.316	48.69	22.254	0.173	0.968	40000.0
3	208.128	33.104	48.044	22.176	0.167	0.969	50000.0
4	211.859	33.676	49.118	22.743	0.173	0.966	60000.0
5	209.001	33.181	48.346	22.033	0.172	0.969	60000.0
6	210.145	33.632	48.582	22.754	0.174	0.966	70000.0
7	210.336	33.397	48.806	22.438	0.172	0.967	70000.0
8	210.519	33.568	48.513	22.511	0.171	0.967	30000.0
9	211.413	33.589	49.306	22.654	0.173	0.967	30000.0
10	209.708	33.289	48.763	22.095	0.17	0.968	60000.0
