Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	142	431	314	1304	53	105
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	19	85	86	19	15	10
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	69	257	186	25	39	0
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	360	302	271	544	29	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	65	98	195	10	5	2
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	192	187	91	15	55	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	365	133	20	39	2
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	137	466	187	11	28	54
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	121	85	195	32	136	48
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	167	167	151	50	74	102
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	161	412	145	32	30	31
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	650	249	234	29	258	18
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	100	212	220	27	46	39
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	1	129	163	34	36	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	84	178	192	32	27	21
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	30	68	159	11	10	25
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	60	101	106	789	98	15
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	41	255	182	11	60	26
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	141	190	262	26	21	1
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	84	149	91	22	33	8
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	170	287	124	10	33	6
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	207	291	148	29	71	20
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	39	60	163	19	28	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	508	552	314	34	67	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	77	217	90	26	24	68
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	477	446	294	19	67	0
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	34	297	131	11	69	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	195	159	104	19	56	47
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	93	148	140	16	35	23
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	85	35	157	22	22	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	30	186	79	560	10	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	17	35	115	21	12	9
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	33	60	100	11	9	4
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	353	300	128	16	47	0
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	29	169	157	20	28	0
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	197	252	152	13	46	0
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	1	13	0	2	11	27
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	230	332	200	37	61	0
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	313	611	98	7	58	0
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	80	96	120	9	28	7
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	102	103	137	20	21	0
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	1	228	136	37	31	79
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	161	213	132	16	11	0
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	90	169	145	19	14	0
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	70	83	116	4	8	7
X2bd9ccca.3fae.4b66.a762.6f30d6276222..Panc.AdenoCA..DO35152	193	401	119	24	49	11
X2bf5b018.9f19.4fbd.9e1f.7d958aabe5d1..Panc.AdenoCA..DO51489	33	4	379	105	28	36
X2c48eefe.2a08.47bf.8e4d.cbaab6777150..Panc.AdenoCA..DO35222	14	106	90	2	15	17
X2e43e0ca.54ea.482e.acf2.0048d9187a5c..Panc.AdenoCA..DO35258	173	171	163	21	26	0
