Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	9.02E+00	9.00E+00	1.52E+01	1.81E+01	5.25E+00	2.22E+00
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	2.48E+00	3.91E+00	3.03E+00	1.61E+00	1.59E+00	0.00E+00
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	4.07E+00	5.67E+00	6.13E+00	2.24E+00	2.85E+00	1.02E+00
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	8.42E+00	8.65E+00	5.59E+00	7.98E+00	5.31E+00	6.83E-01
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	5.95E+00	1.96E+00	5.09E+00	1.63E+00	1.27E+00	9.04E-01
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	6.01E+00	4.65E+00	5.64E+00	2.11E+00	2.00E+00	1.46E+00
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	3.00E-01	6.97E+00	5.71E+00	1.60E+00	4.45E+00	4.00E-01
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	6.10E+00	8.25E+00	7.90E+00	1.85E+00	3.90E+00	3.82E+00
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	3.83E+00	6.57E+00	6.84E+00	2.49E+00	4.65E+00	5.39E+00
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	6.09E+00	6.08E+00	8.22E+00	1.98E+00	4.09E+00	4.07E+00
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	5.63E+00	6.58E+00	5.86E+00	2.56E+00	3.93E+00	3.90E+00
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	8.43E+00	1.08E+01	1.01E+01	2.43E+00	8.43E+00	3.09E+00
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	4.09E+00	1.03E+01	6.92E+00	1.54E+00	3.70E+00	4.73E-01
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	9.98E-01	3.59E+00	6.34E+00	2.24E+00	3.24E+00	5.37E-01
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	3.07E+00	5.00E+00	4.63E+00	2.63E+00	2.20E+00	3.08E+00
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	2.73E+00	5.27E+00	4.77E+00	2.16E+00	2.27E+00	2.55E+00
