MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	1.19E-04	3.52E-04	9.47E-03	1.21E-03	1.44E-04	7.90E-03	2.23E-02	5.69E-03
1:Del:C:1	5.75E-05	4.60E-04	3.75E-03	1.46E-03	8.75E-05	3.55E-03	9.15E-03	3.47E-03
1:Del:C:2	1.23E-04	3.93E-04	1.84E-03	5.74E-04	1.46E-04	1.56E-03	3.90E-03	2.36E-03
1:Del:C:3	2.59E-04	1.51E-04	1.57E-03	3.91E-04	1.99E-09	1.90E-03	2.51E-03	1.38E-03
1:Del:C:4	5.75E-04	1.59E-04	9.58E-04	2.62E-04	2.22E-09	1.13E-03	3.33E-03	1.44E-03
1:Del:C:5	8.11E-04	2.41E-04	5.83E-03	3.87E-04	9.38E-05	5.61E-04	6.40E-03	3.84E-03
1:Del:T:0	2.58E-04	3.27E-04	3.55E-03	1.13E-03	1.09E-04	2.87E-03	6.50E-03	3.52E-03
1:Del:T:1	3.17E-04	5.25E-04	2.32E-03	7.17E-04	1.07E-04	2.36E-03	5.62E-03	1.37E-03
1:Del:T:2	4.22E-04	3.58E-04	3.25E-03	1.05E-03	7.80E-05	3.04E-03	8.20E-03	2.78E-03
1:Del:T:3	2.66E-03	7.19E-04	9.59E-03	9.91E-04	7.39E-05	3.47E-03	8.82E-03	2.80E-03
1:Del:T:4	5.16E-03	3.69E-04	2.13E-02	1.33E-03	1.91E-04	3.20E-03	2.49E-02	6.03E-03
1:Del:T:5	1.87E-02	9.81E-03	2.56E-02	3.85E-03	4.25E-04	5.74E-03	4.46E-02	2.55E-07
1:Ins:C:0	2.32E-03	1.87E-46	1.49E-03	8.06E-04	2.64E-03	3.04E-03	5.93E-03	4.27E-03
1:Ins:C:1	3.09E-04	2.37E-04	8.80E-04	2.11E-04	1.06E-03	0.00E+00	1.16E-03	6.88E-04
1:Ins:C:2	1.30E-04	1.89E-04	2.29E-04	6.40E-05	6.53E-04	2.20E-04	1.46E-03	7.79E-04
1:Ins:C:3	5.13E-05	9.47E-05	4.01E-04	0.00E+00	2.85E-04	1.10E-04	2.48E-04	3.19E-04
1:Ins:C:4	2.81E-05	5.74E-05	6.87E-05	3.85E-05	3.16E-04	0.00E+00	7.90E-05	2.33E-04
1:Ins:C:5	3.85E-05	6.23E-05	7.95E-05	0.00E+00	7.02E-05	3.30E-05	3.50E-04	2.64E-04
1:Ins:T:0	8.33E-03	5.08E-03	1.76E-02	3.05E-03	2.10E-03	8.67E-03	2.57E-02	1.77E-02
1:Ins:T:1	4.08E-03	1.82E-03	6.31E-03	1.03E-03	1.20E-03	5.05E-03	1.15E-02	1.15E-02
1:Ins:T:2	7.30E-04	1.05E-03	3.60E-03	1.40E-46	6.71E-04	2.17E-03	2.43E-03	4.24E-03
1:Ins:T:3	5.46E-04	8.49E-04	1.49E-03	2.40E-04	5.08E-04	1.72E-03	3.58E-03	2.37E-03
1:Ins:T:4	6.33E-04	7.08E-04	2.03E-03	2.90E-04	5.08E-04	3.04E-04	2.79E-03	1.19E-06
1:Ins:T:5	4.34E-04	6.29E-04	1.85E-03	3.38E-04	3.39E-04	1.22E-03	4.43E-04	2.63E-03
2:Del:R:0	1.43E-04	1.79E-04	1.99E-03	6.82E-04	1.32E-09	1.74E-03	2.06E-03	1.99E-03
2:Del:R:1	1.78E-04	2.54E-04	4.62E-03	7.53E-04	1.43E-04	4.36E-03	4.01E-03	2.04E-03
2:Del:R:2	1.55E-04	1.17E-04	1.26E-03	1.92E-04	3.45E-05	1.34E-03	2.12E-03	1.18E-03
2:Del:R:3	1.54E-04	2.13E-05	4.27E-04	9.06E-05	1.99E-09	3.10E-04	6.45E-04	1.03E-03
2:Del:R:4	8.39E-05	1.53E-06	3.40E-04	3.53E-05	1.84E-09	1.59E-04	9.79E-05	1.03E-03
2:Del:R:5	1.94E-04	1.19E-08	0.00E+00	0.00E+00	1.35E-09	0.00E+00	0.00E+00	6.38E-03
3:Del:R:0	3.25E-05	1.48E-04	8.93E-04	2.38E-04	4.32E-05	1.25E-03	8.61E-04	2.78E-04
3:Del:R:1	2.01E-04	1.84E-04	4.28E-03	3.74E-04	8.69E-05	4.96E-03	3.12E-03	2.55E-03
3:Del:R:2	6.19E-05	7.86E-05	1.64E-03	1.38E-04	2.61E-05	1.32E-03	1.94E-03	1.63E-03
3:Del:R:3	5.94E-05	7.91E-05	3.88E-04	0.00E+00	5.29E-05	4.15E-04	5.88E-04	1.37E-03
3:Del:R:4	0.00E+00	4.02E-08	8.59E-08	1.96E-08	2.13E-09	9.84E-08	9.14E-08	3.34E-03
3:Del:R:5	1.68E-05	5.39E-09	8.80E-05	1.46E-09	1.87E-09	5.53E-09	2.97E-05	3.95E-03
4:Del:R:0	1.01E-05	6.22E-05	5.62E-04	4.31E-04	2.83E-09	1.79E-03	1.01E-03	5.22E-04
4:Del:R:1	1.01E-04	1.73E-04	3.56E-03	2.93E-04	8.11E-05	3.44E-03	1.84E-03	2.38E-03
