MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	2.74E-04	1.31E-04	1.11E-02	7.10E-03	1.07E-03	1.44E-04	3.42E-03	1.49E-02	8.35E-03
1:Del:C:1	1.17E-04	4.82E-04	4.22E-03	3.56E-03	4.39E-04	8.93E-05	3.77E-03	6.48E-03	2.49E-03
1:Del:C:2	1.48E-04	3.38E-04	1.40E-03	2.73E-03	2.46E-04	1.44E-04	1.95E-03	3.08E-03	2.20E-03
1:Del:C:3	2.71E-04	3.71E-04	1.07E-03	1.71E-03	2.56E-04	0.00E+00	1.90E-03	2.48E-03	2.15E-03
1:Del:C:4	1.11E-03	2.90E-04	3.31E-03	5.69E-04	2.99E-04	1.65E-09	1.24E-03	2.05E-03	1.49E-03
1:Del:C:5	3.75E-03	7.70E-04	1.25E-02	6.07E-04	3.04E-04	9.34E-05	0.00E+00	3.68E-03	4.19E-03
1:Del:T:0	3.85E-04	5.42E-04	3.80E-03	4.65E-03	6.31E-04	1.00E-04	3.28E-03	4.75E-03	3.80E-03
1:Del:T:1	4.07E-04	8.00E-04	3.45E-03	5.50E-03	4.11E-04	1.05E-04	3.77E-03	4.84E-03	1.18E-03
1:Del:T:2	4.35E-04	5.55E-04	3.79E-03	2.39E-03	4.97E-04	8.09E-05	2.20E-03	4.43E-03	1.47E-03
1:Del:T:3	3.15E-03	1.12E-03	9.97E-03	3.86E-03	1.06E-03	7.31E-05	2.56E-03	9.55E-03	3.20E-03
1:Del:T:4	8.24E-03	1.98E-03	2.38E-02	8.21E-03	9.63E-04	1.88E-04	1.72E-03	2.31E-02	4.75E-03
1:Del:T:5	1.37E-02	4.11E-03	5.22E-02	1.55E-02	2.88E-03	4.18E-04	4.10E-03	1.51E-03	5.33E-07
1:Ins:C:0	6.22E-04	2.73E-40	4.08E-03	3.81E-03	6.71E-04	2.42E-03	3.21E-03	5.27E-03	4.25E-03
1:Ins:C:1	2.55E-04	3.01E-04	7.95E-04	3.57E-04	2.82E-04	1.03E-03	1.40E-46	9.21E-04	7.29E-04
1:Ins:C:2	2.32E-04	3.54E-04	6.00E-04	1.77E-03	7.37E-05	6.72E-04	2.12E-04	0.00E+00	7.68E-04
1:Ins:C:3	6.91E-05	1.37E-04	1.67E-04	1.50E-04	0.00E+00	2.79E-04	1.34E-04	9.92E-05	1.99E-04
1:Ins:C:4	3.04E-05	5.19E-05	6.16E-05	1.14E-04	4.17E-05	2.91E-04	0.00E+00	0.00E+00	2.21E-04
1:Ins:C:5	3.96E-05	7.49E-05	1.55E-04	3.58E-04	0.00E+00	6.21E-05	0.00E+00	4.11E-04	2.10E-04
1:Ins:T:0	5.89E-03	2.52E-03	2.26E-02	1.86E-02	3.78E-03	1.94E-03	1.06E-02	1.79E-02	1.80E-02
1:Ins:T:1	2.33E-03	2.55E-03	8.39E-03	5.91E-03	1.02E-03	1.22E-03	4.77E-03	1.01E-02	1.19E-02
1:Ins:T:2	9.64E-04	9.75E-04	3.72E-03	5.07E-03	3.86E-05	6.66E-04	2.85E-03	2.82E-03	4.86E-03
1:Ins:T:3	9.77E-04	5.48E-04	2.94E-03	2.62E-03	3.04E-04	5.30E-04	1.48E-03	2.34E-03	2.25E-03
1:Ins:T:4	9.48E-04	7.85E-04	2.61E-03	3.79E-03	3.84E-04	5.14E-04	2.68E-04	2.34E-03	0.00E+00
1:Ins:T:5	1.14E-03	5.39E-04	3.17E-03	3.33E-03	3.37E-04	2.95E-04	1.47E-03	1.81E-04	2.08E-03
2:Del:R:0	1.87E-04	2.56E-04	9.20E-04	2.86E-03	6.03E-04	1.77E-09	2.18E-03	2.51E-03	2.40E-03
2:Del:R:1	3.94E-04	2.19E-04	2.99E-03	5.00E-03	3.83E-04	1.37E-04	2.51E-03	3.50E-03	1.93E-03
2:Del:R:2	2.04E-04	1.56E-04	8.20E-04	1.40E-03	1.96E-04	3.51E-05	1.47E-03	2.39E-03	1.06E-03
2:Del:R:3	7.57E-04	5.89E-05	1.88E-03	4.06E-04	9.48E-05	2.26E-09	5.59E-04	5.54E-04	9.31E-04
2:Del:R:4	4.38E-04	2.12E-05	1.53E-03	0.00E+00	1.20E-05	2.06E-09	3.83E-04	2.86E-04	7.49E-04
2:Del:R:5	4.19E-04	0.00E+00	1.68E-03	0.00E+00	0.00E+00	0.00E+00	2.60E-08	0.00E+00	6.40E-03
3:Del:R:0	6.07E-05	1.37E-04	8.50E-04	1.58E-03	3.23E-04	4.39E-05	1.12E-03	6.94E-04	3.44E-04
3:Del:R:1	2.48E-04	1.88E-04	4.99E-03	6.55E-03	4.52E-04	8.73E-05	3.42E-03	4.58E-03	1.80E-03
3:Del:R:2	1.50E-04	5.05E-05	6.76E-04	2.14E-03	1.03E-04	2.56E-05	3.88E-04	2.77E-03	1.49E-03
3:Del:R:3	5.90E-05	4.87E-05	2.40E-04	6.29E-04	0.00E+00	5.04E-05	9.95E-05	4.34E-04	8.28E-04
3:Del:R:4	0.00E+00	0.00E+00	6.08E-08	6.44E-08	2.01E-10	1.60E-09	1.11E-07	9.96E-08	3.19E-03
3:Del:R:5	2.51E-05	0.00E+00	1.87E-05	4.39E-08	4.55E-09	1.24E-09	0.00E+00	5.37E-08	4.40E-03
4:Del:R:0	8.35E-06	5.46E-05	4.43E-05	1.37E-03	3.84E-04	2.95E-09	1.92E-03	9.03E-04	7.20E-05
4:Del:R:1	1.40E-04	1.05E-04	2.55E-03	3.85E-03	2.53E-04	7.96E-05	2.26E-03	3.88E-03	2.50E-03
4:Del:R:2	7.24E-05	0.00E+00	1.11E-03	9.05E-04	1.32E-04	2.46E-09	1.40E-04	6.01E-04	8.28E-04
4:Del:R:3	0.00E+00	6.94E-05	1.71E-04	4.89E-04	8.68E-05	1.53E-09	1.83E-04	6.05E-04	1.69E-03
4:Del:R:4	1.46E-05	0.00E+00	1.28E-05	0.00E+00	9.00E-05	1.24E-09	0.00E+00	8.01E-08	1.60E-03
4:Del:R:5	4.80E-05	4.92E-05	1.81E-04	2.92E-04	4.50E-05	1.89E-09	0.00E+00	1.58E-05	7.53E-04
5:Del:R:0	7.21E-05	7.91E-04	1.55E-03	2.74E-03	3.71E-03	1.72E-04	1.29E-02	4.12E-03	2.49E-03
5:Del:R:1	7.95E-05	3.38E-04	1.02E-03	1.33E-03	2.88E-04	6.39E-05	1.07E-03	1.34E-03	1.58E-03
5:Del:R:2	1.51E-05	6.25E-05	1.75E-04	6.41E-04	8.23E-05	1.24E-09	0.00E+00	7.61E-04	7.92E-04
5:Del:R:3	5.57E-07	5.82E-06	9.18E-05	1.26E-04	3.16E-05	3.28E-09	8.10E-05	1.54E-04	4.10E-04
5:Del:R:4	1.62E-05	3.22E-09	4.03E-05	7.35E-06	3.08E-05	1.85E-09	4.90E-05	2.35E-05	1.29E-04
5:Del:R:5	0.00E+00	1.72E-05	4.51E-05	2.60E-04	5.48E-05	2.16E-09	4.86E-05	1.79E-04	5.57E-04
2:Ins:R:0	2.51E-03	1.73E-03	6.01E-03	5.84E-03	7.40E-04	3.31E-04	2.42E-03	8.47E-03	4.88E-03
2:Ins:R:1	9.23E-05	3.14E-04	5.85E-04	6.76E-04	8.70E-05	5.35E-05	1.08E-04	7.27E-04	1.15E-03
2:Ins:R:2	6.50E-05	4.75E-05	1.48E-04	6.67E-05	2.01E-05	5.57E-09	2.63E-09	0.00E+00	6.55E-05
2:Ins:R:3	3.44E-05	8.92E-06	1.38E-04	3.67E-05	0.00E+00	2.32E-09	4.92E-05	3.09E-07	3.48E-04
2:Ins:R:4	3.43E-05	2.27E-05	7.43E-05	6.35E-09	9.43E-06	3.40E-09	0.00E+00	3.58E-05	7.76E-05
2:Ins:R:5	9.06E-06	2.60E-05	7.66E-05	9.92E-05	2.12E-09	3.70E-09	3.30E-08	6.87E-05	1.47E-06
3:Ins:R:0	1.87E-04	5.95E-04	1.86E-03	5.86E-03	4.42E-04	1.11E-04	7.58E-04	5.50E-03	3.19E-03
3:Ins:R:1	2.40E-05	5.00E-05	1.32E-04	2.70E-05	2.16E-05	2.34E-09	1.05E-04	1.84E-04	3.23E-04
3:Ins:R:2	3.43E-06	9.06E-06	2.97E-05	4.64E-05	0.00E+00	5.37E-09	4.35E-09	4.16E-05	1.29E-04
3:Ins:R:3	9.37E-06	1.23E-06	2.55E-08	4.51E-08	0.00E+00	6.50E-06	3.62E-08	9.54E-06	5.14E-05
3:Ins:R:4	9.02E-10	5.70E-09	4.58E-08	3.63E-08	0.00E+00	2.43E-10	3.96E-08	5.35E-08	2.54E-08
3:Ins:R:5	9.02E-10	5.70E-09	4.58E-08	3.63E-08	0.00E+00	2.43E-10	3.96E-08	5.35E-08	2.54E-08
4:Ins:R:0	1.72E-04	5.76E-04	2.74E-03	5.05E-03	5.79E-04	1.12E-04	1.72E-03	6.46E-03	1.98E-03
4:Ins:R:1	1.06E-05	0.00E+00	8.11E-05	2.04E-04	5.90E-05	3.18E-09	1.35E-04	2.09E-04	1.10E-04
4:Ins:R:2	7.08E-06	1.40E-08	1.04E-05	1.97E-05	0.00E+00	2.52E-09	1.88E-05	8.98E-08	7.67E-08
4:Ins:R:3	9.02E-10	4.91E-06	4.00E-08	9.93E-06	0.00E+00	2.09E-08	6.20E-08	9.31E-08	6.80E-08
4:Ins:R:4	6.81E-10	6.14E-10	4.28E-08	9.72E-06	8.51E-08	8.19E-10	5.70E-08	9.53E-08	6.45E-05
4:Ins:R:5	9.02E-10	5.70E-09	4.58E-08	3.63E-08	0.00E+00	2.43E-10	3.96E-08	5.35E-08	2.54E-08
5:Ins:R:0	0.00E+00	9.82E-04	7.53E-03	1.22E-02	1.28E-03	2.09E-04	3.26E-03	1.26E-02	4.31E-03
5:Ins:R:1	4.36E-10	0.00E+00	9.84E-10	4.64E-05	2.61E-05	1.53E-09	1.72E-04	1.85E-04	6.95E-05
5:Ins:R:2	8.89E-10	5.97E-06	4.47E-08	8.24E-08	0.00E+00	2.53E-09	6.57E-08	7.52E-08	7.71E-08
5:Ins:R:3	9.02E-10	5.70E-09	4.58E-08	3.63E-08	0.00E+00	2.43E-10	3.96E-08	5.35E-08	2.54E-08
5:Ins:R:4	9.02E-10	5.70E-09	4.58E-08	3.63E-08	0.00E+00	2.43E-10	3.96E-08	5.35E-08	2.54E-08
5:Ins:R:5	9.02E-10	5.70E-09	4.58E-08	3.63E-08	0.00E+00	2.43E-10	3.96E-08	5.35E-08	2.54E-08
2:Del:M:1	3.68E-04	5.61E-04	2.65E-03	4.91E-03	0.00E+00	6.03E-05	3.06E-03	3.13E-03	2.87E-03
3:Del:M:1	1.50E-05	8.01E-05	6.84E-04	5.73E-04	3.43E-04	4.25E-05	1.49E-03	1.44E-03	1.05E-03
3:Del:M:2	2.55E-04	5.67E-05	2.74E-03	4.57E-03	3.99E-04	7.03E-05	2.47E-03	3.09E-03	2.70E-03
4:Del:M:1	3.85E-05	4.76E-05	6.21E-04	8.87E-04	2.68E-04	2.74E-09	9.12E-04	7.42E-04	5.14E-04
4:Del:M:2	5.03E-05	1.90E-04	9.08E-04	2.46E-03	2.54E-04	7.17E-10	9.77E-04	1.78E-03	1.99E-03
4:Del:M:3	1.72E-04	9.48E-05	3.87E-04	5.58E-03	4.97E-04	1.29E-04	1.51E-03	3.50E-03	2.91E-03
5:Del:M:1	5.48E-05	4.12E-04	1.91E-04	1.77E-03	2.64E-03	7.26E-05	9.74E-03	3.21E-03	1.44E-03
5:Del:M:2	4.66E-05	5.97E-04	6.13E-04	2.76E-03	2.86E-03	1.07E-04	6.91E-03	2.78E-03	2.31E-04
5:Del:M:3	5.18E-05	1.80E-05	9.15E-04	2.30E-03	2.69E-03	1.08E-04	1.83E-03	2.21E-03	9.32E-04
5:Del:M:4	2.39E-05	1.90E-04	8.23E-05	7.18E-04	1.76E-03	2.25E-09	9.61E-04	5.06E-04	7.04E-04
5:Del:M:5	8.88E-05	2.02E-04	1.52E-03	1.27E-03	1.69E-03	9.36E-05	0.00E+00	1.30E-03	2.70E-03
