MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	2.10E-04	5.43E-04	3.18E-03	1.08E-03	1.11E-04	4.53E-03	8.82E-03	4.89E-03	8.19E-03	3.26E-03
1:Del:C:1	9.64E-05	5.19E-04	1.56E-03	7.09E-04	5.66E-05	2.46E-03	4.64E-03	2.93E-03	3.49E-03	1.21E-03
1:Del:C:2	6.76E-05	3.34E-04	7.42E-04	3.10E-04	4.67E-05	2.60E-03	2.20E-03	1.58E-03	1.31E-03	1.10E-03
1:Del:C:3	4.11E-04	3.52E-04	5.54E-04	2.82E-04	0.00E+00	1.34E-03	1.88E-03	1.20E-03	9.64E-04	1.45E-03
1:Del:C:4	1.14E-03	1.94E-04	2.04E-03	2.24E-04	1.23E-09	1.31E-03	2.11E-03	8.48E-04	1.82E-03	8.35E-04
1:Del:C:5	4.01E-03	5.02E-04	6.70E-03	2.42E-04	4.60E-05	1.71E-03	1.56E-03	0.00E+00	1.32E-03	2.35E-03
1:Del:T:0	2.85E-04	4.70E-04	2.40E-03	7.25E-04	8.80E-05	4.95E-03	4.86E-03	3.21E-03	2.86E-03	2.33E-03
1:Del:T:1	2.82E-04	9.54E-04	1.33E-03	1.92E-04	5.40E-05	2.43E-03	2.91E-03	1.96E-03	3.05E-03	5.89E-04
1:Del:T:2	3.56E-04	5.53E-04	1.05E-03	5.89E-04	3.79E-05	2.44E-03	3.18E-03	2.04E-03	2.78E-03	1.20E-03
1:Del:T:3	2.21E-03	8.20E-04	4.45E-03	6.89E-04	7.97E-05	1.80E-03	6.77E-03	2.19E-03	5.10E-03	2.00E-03
1:Del:T:4	5.91E-03	1.18E-03	1.27E-02	7.57E-04	1.22E-04	1.62E-03	1.85E-02	1.84E-03	1.25E-02	4.60E-03
1:Del:T:5	1.07E-02	2.14E-03	3.25E-02	2.13E-03	8.61E-04	1.35E-02	7.28E-03	2.95E-03	6.04E-03	3.52E-07
1:Ins:C:0	1.84E-03	4.14E-04	2.53E-03	9.77E-04	2.06E-03	3.93E-03	3.21E-03	3.39E-03	3.32E-03	1.36E-03
1:Ins:C:1	3.17E-04	1.48E-04	4.39E-04	1.31E-04	7.76E-04	3.23E-04	4.88E-04	1.87E-04	8.43E-04	5.37E-04
1:Ins:C:2	1.43E-04	2.85E-04	2.69E-04	5.99E-05	4.78E-04	2.48E-04	4.70E-05	1.79E-04	5.47E-04	5.58E-04
1:Ins:C:3	7.84E-05	7.31E-05	1.32E-04	2.41E-05	1.66E-04	9.84E-05	1.77E-04	5.41E-05	1.89E-04	2.07E-04
1:Ins:C:4	3.89E-05	2.59E-05	3.17E-05	2.00E-05	1.38E-04	4.48E-05	3.79E-05	0.00E+00	1.90E-04	2.74E-04
1:Ins:C:5	3.44E-05	3.94E-05	7.43E-05	0.00E+00	3.22E-05	6.91E-05	1.83E-04	0.00E+00	2.48E-04	2.57E-05
1:Ins:T:0	5.38E-03	6.55E-03	2.05E-02	1.38E-03	1.53E-03	2.08E-02	1.32E-02	8.31E-03	2.17E-02	1.56E-02
1:Ins:T:1	2.12E-03	2.75E-03	8.01E-03	7.54E-04	1.02E-03	7.60E-03	6.82E-03	3.86E-03	1.20E-02	9.19E-03
1:Ins:T:2	8.33E-04	1.99E-03	3.38E-03	2.78E-05	3.79E-04	2.83E-03	1.68E-03	8.98E-04	3.95E-03	2.07E-03
1:Ins:T:3	4.44E-04	9.09E-04	1.97E-03	1.22E-04	4.36E-04	2.20E-03	2.07E-03	8.93E-04	2.38E-03	1.58E-03
1:Ins:T:4	3.99E-04	1.05E-03	1.37E-03	2.51E-04	2.64E-04	2.31E-03	1.74E-03	3.45E-04	1.92E-03	8.08E-05
1:Ins:T:5	5.72E-04	7.65E-04	2.06E-03	2.84E-04	3.07E-04	2.11E-03	1.30E-03	8.17E-04	1.99E-03	1.61E-03
2:Del:R:0	1.53E-04	2.98E-04	1.60E-03	2.06E-04	1.21E-09	2.63E-03	2.28E-03	1.74E-03	9.17E-04	1.50E-03
2:Del:R:1	3.53E-04	4.61E-04	2.55E-03	3.93E-04	1.02E-04	4.68E-03	3.12E-03	1.64E-03	2.90E-03	1.62E-03
2:Del:R:2	1.81E-04	1.29E-04	5.47E-04	1.35E-04	3.98E-05	1.15E-03	9.32E-04	6.43E-04	1.04E-03	1.15E-03
2:Del:R:3	6.25E-04	1.29E-04	1.08E-03	9.12E-05	1.40E-09	3.97E-04	4.34E-04	2.68E-04	4.25E-04	4.38E-04
2:Del:R:4	3.90E-04	2.07E-05	6.95E-04	1.99E-05	1.23E-09	3.25E-05	1.11E-04	2.52E-04	1.47E-04	5.96E-04
2:Del:R:5	4.32E-04	0.00E+00	6.27E-04	0.00E+00	4.13E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.86E-03
3:Del:R:0	5.14E-05	1.34E-04	5.48E-04	4.05E-04	3.41E-05	1.03E-03	1.28E-03	1.70E-03	9.01E-04	3.21E-04
3:Del:R:1	3.13E-04	3.90E-04	3.07E-03	3.51E-04	6.30E-05	5.84E-03	2.48E-03	1.69E-03	2.38E-03	3.10E-03
3:Del:R:2	8.49E-05	1.60E-05	7.35E-04	1.08E-04	3.94E-05	2.31E-03	1.39E-03	3.54E-04	6.86E-04	8.02E-04
3:Del:R:3	1.76E-05	8.13E-05	2.42E-04	0.00E+00	3.49E-05	3.32E-04	2.54E-04	5.29E-05	2.77E-04	7.24E-04
3:Del:R:4	5.15E-10	2.24E-08	1.86E-08	5.95E-09	7.57E-10	8.47E-08	6.41E-08	7.46E-08	1.30E-07	2.75E-03
3:Del:R:5	7.36E-06	2.22E-08	7.47E-06	2.67E-09	9.17E-10	6.41E-08	7.24E-08	1.40E-08	4.67E-08	3.79E-03
4:Del:R:0	1.59E-05	5.76E-05	3.14E-04	3.15E-04	1.68E-09	1.13E-03	1.24E-03	1.28E-03	5.59E-04	4.92E-04
4:Del:R:1	1.25E-04	5.52E-04	2.24E-03	1.80E-04	5.03E-05	4.75E-03	1.78E-03	1.66E-04	1.64E-03	1.61E-03
4:Del:R:2	4.76E-05	1.83E-04	6.10E-04	8.33E-05	1.45E-09	8.97E-04	3.84E-04	2.00E-05	4.89E-04	5.02E-04
4:Del:R:3	2.22E-06	3.36E-05	1.15E-04	7.47E-05	1.18E-09	2.08E-04	3.39E-04	1.49E-04	5.06E-04	1.64E-03
4:Del:R:4	1.57E-05	1.28E-05	2.02E-05	3.75E-05	1.36E-09	0.00E+00	1.97E-05	0.00E+00	6.33E-05	1.44E-03
4:Del:R:5	3.07E-05	3.85E-05	6.31E-05	2.35E-05	1.09E-09	5.54E-05	1.14E-05	0.00E+00	2.66E-04	7.89E-04
5:Del:R:0	6.73E-05	9.36E-04	9.91E-04	2.44E-03	9.58E-05	1.38E-03	2.38E-03	9.56E-03	2.59E-03	9.89E-04
5:Del:R:1	7.06E-05	2.88E-04	2.91E-04	2.50E-04	5.90E-05	1.42E-03	8.83E-04	6.53E-04	1.57E-03	1.41E-03
5:Del:R:2	1.02E-05	1.36E-04	1.16E-04	6.04E-05	1.13E-09	1.11E-04	3.33E-04	0.00E+00	5.55E-04	6.16E-04
5:Del:R:3	1.52E-05	7.22E-07	9.69E-05	3.28E-05	1.26E-09	1.58E-04	2.26E-05	6.60E-05	1.31E-04	3.59E-04
5:Del:R:4	2.63E-05	3.41E-06	1.96E-05	1.92E-05	1.31E-09	5.47E-06	0.00E+00	2.61E-05	4.20E-10	2.12E-04
5:Del:R:5	2.87E-10	6.92E-05	1.79E-06	2.69E-05	1.27E-09	2.36E-05	4.12E-05	7.33E-05	1.32E-04	4.64E-04
2:Ins:R:0	1.42E-03	2.21E-03	3.49E-03	4.20E-04	2.01E-04	4.02E-03	3.15E-03	1.25E-03	5.59E-03	3.10E-03
2:Ins:R:1	4.76E-05	2.42E-04	3.51E-04	7.18E-05	2.95E-05	2.32E-04	3.80E-04	2.07E-04	9.21E-04	1.29E-03
2:Ins:R:2	5.47E-05	4.21E-05	1.28E-04	2.05E-05	4.17E-09	4.52E-05	1.59E-05	1.85E-05	8.36E-05	1.24E-05
2:Ins:R:3	3.64E-05	1.03E-05	5.47E-05	0.00E+00	1.84E-09	1.09E-05	1.53E-05	2.39E-05	4.96E-05	1.84E-04
2:Ins:R:4	2.22E-05	1.45E-05	3.84E-05	1.50E-06	5.20E-09	2.74E-05	3.38E-06	4.08E-09	4.38E-05	1.27E-04
2:Ins:R:5	3.45E-06	1.81E-05	2.16E-05	0.00E+00	5.67E-09	3.17E-05	2.56E-05	1.06E-09	6.47E-05	3.98E-05
3:Ins:R:0	1.76E-04	1.94E-03	9.38E-04	3.18E-04	7.83E-05	1.08E-03	3.02E-03	7.69E-04	3.84E-03	1.29E-03
3:Ins:R:1	1.09E-05	3.24E-05	4.70E-05	6.34E-06	1.32E-09	1.49E-04	1.50E-04	1.07E-04	1.70E-04	1.85E-04
3:Ins:R:2	1.14E-06	3.82E-06	8.26E-06	0.00E+00	5.49E-08	6.74E-06	1.73E-05	1.22E-08	2.94E-05	4.95E-05
3:Ins:R:3	3.38E-06	1.25E-06	6.18E-06	2.49E-10	6.50E-06	3.88E-08	8.45E-06	1.63E-08	1.12E-05	2.33E-05
3:Ins:R:4	5.56E-10	1.07E-08	2.24E-08	0.00E+00	2.02E-10	3.31E-08	2.82E-08	2.31E-08	2.83E-08	1.75E-08
3:Ins:R:5	5.56E-10	1.07E-08	2.24E-08	0.00E+00	2.02E-10	3.31E-08	2.82E-08	2.31E-08	2.83E-08	1.75E-08
4:Ins:R:0	5.00E-05	1.51E-03	1.16E-03	3.09E-04	7.49E-05	7.50E-04	2.65E-03	8.86E-04	4.04E-03	1.63E-03
