Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	68	356	0	1093	46	171	287	0	0	327	1
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	0	17	89	11	11	19	12	12	16	45	2
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	71	258	0	13	32	0	54	71	40	37	0
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	213	165	215	445	29	189	194	0	56	0	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	0	15	120	2	1	90	81	33	32	0	1
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	148	41	247	12	52	0	27	7	6	0	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	301	101	14	31	0	37	47	21	7	0
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	139	466	0	11	20	0	66	90	7	51	33
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	109	98	0	12	133	0	63	44	57	75	26
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	0	10	163	27	67	260	0	0	50	69	65
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	141	312	142	16	22	0	0	65	39	63	11
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	525	0	477	23	253	0	84	27	10	29	10
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	0	0	263	22	38	127	44	0	1	149	0
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	0	101	55	17	31	0	61	18	45	35	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	4	75	115	21	22	123	44	15	26	85	4
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	24	62	35	6	8	0	100	28	20	0	20
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	37	99	0	667	100	57	170	0	22	17	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	38	222	44	4	52	5	49	77	27	45	12
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	115	131	146	25	18	0	181	15	3	6	1
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	80	163	0	16	30	0	48	27	15	1	7
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	158	289	0	7	28	0	27	89	12	20	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	0	222	0	18	67	375	27	0	31	18	8
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	0	0	107	7	25	48	84	0	38	0	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	464	590	0	24	59	0	119	144	38	37	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	0	94	154	15	20	114	25	0	25	0	55
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	437	502	0	3	62	0	129	65	62	39	4
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	20	173	195	7	63	0	38	27	15	4	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	174	154	38	14	54	0	47	47	16	5	31
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	66	41	186	10	32	0	73	0	16	14	17
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	67	0	77	10	19	0	64	40	36	8	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	9	0	277	437	7	4	11	0	100	20	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	13	27	0	7	8	5	5	66	39	37	2
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	0	0	92	5	6	41	37	12	20	0	4
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	264	0	502	11	43	0	9	3	12	0	0
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	0	0	256	11	20	5	23	59	29	0	0
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	144	53	338	1	41	0	49	0	34	0	0
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	0	12	0	2	10	2	1	0	0	6	21
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	73	230	111	27	57	251	85	0	26	0	0
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	258	384	375	5	51	0	10	0	4	0	0
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	41	47	88	7	26	44	72	0	8	0	7
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	56	16	149	11	19	40	67	0	25	0	0
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	0	134	130	25	24	0	24	18	24	83	50
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	119	58	268	8	8	0	51	0	21	0	0
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	80	147	37	11	10	0	43	51	23	35	0
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	55	46	73	3	6	0	63	28	9	0	5
X2bd9ccca.3fae.4b66.a762.6f30d6276222..Panc.AdenoCA..DO35152	183	393	0	19	42	0	1	107	16	33	3
X2bf5b018.9f19.4fbd.9e1f.7d958aabe5d1..Panc.AdenoCA..DO51489	0	0	11	74	21	51	171	98	70	76	13
X2c48eefe.2a08.47bf.8e4d.cbaab6777150..Panc.AdenoCA..DO35222	16	105	0	0	11	0	25	58	19	0	10
X2e43e0ca.54ea.482e.acf2.0048d9187a5c..Panc.AdenoCA..DO35258	48	35	178	16	24	173	62	3	15	0	0
X2fdfb06c.0d2f.4e1d.9756.bcb08a7f90af..Panc.AdenoCA..DO221546	0	30	0	29	23	128	31	34	16	87	19
X31c75873.abb4.4d88.9e2f.07497a6c892d..Panc.AdenoCA..DO35082	0	171	6	34	37	365	185	27	25	20	50
X32fa6457.c8bd.4d26.8106.925baf13df68..Panc.AdenoCA..DO51518	130	389	72	9	26	51	58	21	17	14	2
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	44	57	136	34	32	0	34	20	15	0	1
X33070975.0f35.4518.9ffb.4c6170c32534..Panc.AdenoCA..DO33160	34	41	116	13	1	155	54	24	25	0	0
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	5	6	44	9	0	0	52	15	29	3	0
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	88	103	8	0	76	0	28	131	19	16	40
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	46	0	166	43	19	0	146	30	25	25	21
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	171	549	34	23	52	0	65	89	41	138	61
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	0	22	237	13	28	112	38	0	11	0	25
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	33	144	397	471	28	126	121	0	55	0	0
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	96	271	0	15	17	0	0	123	0	52	0
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	48	0	166	10	15	1	68	51	33	0	0
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	0	51	167	27	7	75	11	0	35	0	0
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	55	128	0	139	9	0	111	12	119	2	1
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	9	46	0	2	7	0	26	31	11	0	1
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	0	311	178	3	40	189	16	13	45	0	0
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	124	177	222	34	26	14	68	33	15	26	0
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	50	103	109	8	4	0	52	82	10	0	27
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	120	85	165	11	55	104	34	0	12	7	11
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	165	282	0	22	20	0	149	112	14	5	27
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	119	0	220	6	12	0	40	13	15	0	28
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0	0	0	2	0	0	0	0	0	3	13
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	54	183	197	0	30	0	33	29	19	20	27
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	208	27	0	438	49	0	41	17	250	106	46
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	52	19	273	6	14	0	71	28	36	0	3
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	126	296	0	8	41	0	71	39	41	35	52
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	116	78	237	16	48	66	88	0	5	0	0
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	49	233	0	16	18	0	66	75	13	15	1
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	106	99	9	15	8	0	54	85	12	17	0
