MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	9.77E-05	5.60E-04	2.92E-03	1.20E-03	1.07E-04	4.29E-03	6.23E-03	6.03E-03	4.58E-03	8.54E-03	3.96E-03
1:Del:C:1	5.19E-05	1.17E-03	1.91E-03	6.67E-04	6.60E-05	1.91E-03	3.90E-03	3.45E-03	2.97E-03	4.00E-03	1.40E-03
1:Del:C:2	1.04E-04	5.23E-04	1.83E-03	4.51E-04	4.63E-05	9.94E-04	2.11E-03	3.17E-03	1.65E-03	1.93E-03	1.28E-03
1:Del:C:3	3.22E-04	4.87E-04	1.28E-03	3.09E-04	0.00E+00	1.07E-03	2.21E-03	1.71E-03	1.24E-03	1.53E-03	1.59E-03
1:Del:C:4	9.97E-04	1.86E-04	8.27E-04	2.03E-04	1.02E-09	2.19E-03	1.53E-03	1.60E-03	8.65E-04	2.27E-03	8.83E-04
1:Del:C:5	3.12E-03	6.73E-04	6.78E-04	1.98E-04	4.67E-05	6.65E-03	4.45E-04	2.46E-03	0.00E+00	4.12E-03	2.18E-03
1:Del:T:0	1.69E-04	7.43E-04	4.30E-03	7.86E-04	8.61E-05	3.83E-03	3.93E-03	5.83E-03	3.87E-03	4.71E-03	2.73E-03
1:Del:T:1	2.24E-04	8.81E-04	3.54E-03	4.06E-04	5.58E-05	1.99E-03	3.14E-03	5.10E-03	2.30E-03	3.11E-03	6.98E-04
1:Del:T:2	3.04E-04	6.16E-04	3.66E-03	7.45E-04	3.94E-05	1.76E-03	3.35E-03	4.57E-03	2.89E-03	3.73E-03	1.52E-03
1:Del:T:3	2.20E-03	1.11E-03	2.02E-03	7.80E-04	8.24E-05	5.38E-03	4.13E-03	2.42E-03	1.74E-03	8.18E-03	3.15E-03
1:Del:T:4	5.35E-03	1.50E-03	3.01E-03	9.59E-04	1.40E-04	1.54E-02	6.47E-03	3.64E-03	2.59E-03	2.25E-02	5.13E-03
