Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	129	246	0	131	1045	43	72	214	382	0	0	87	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	5	24	0	24	8	8	91	0	36	16	19	3	0
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	65	178	0	128	11	31	0	44	13	26	16	63	1
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	299	166	40	203	430	23	72	158	59	50	6	0	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	49	43	0	66	1	0	74	69	0	28	44	0	1
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	163	96	0	109	11	48	80	17	0	5	11	0	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	2	273	8	136	13	30	0	35	0	14	16	32	0
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	121	375	14	126	7	22	0	50	51	1	42	46	28
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	98	97	5	0	6	129	14	48	75	52	26	46	21
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	78	48	76	74	21	59	150	0	57	43	25	21	59
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	105	308	66	123	13	24	3	0	30	32	20	76	11
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	527	166	0	26	17	242	286	33	46	14	49	26	6
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	50	25	0	93	12	28	272	8	87	3	1	65	0
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	1	109	0	37	15	30	17	54	20	39	10	31	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	44	23	30	161	15	14	87	15	73	20	8	40	4
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	28	53	0	55	5	7	0	83	15	17	23	0	17
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	66	45	0	83	642	96	0	137	81	19	0	0	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	1	206	63	66	3	52	0	50	11	20	46	48	9
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	120	175	0	37	22	17	70	139	28	4	23	6	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	78	126	0	49	15	30	0	37	20	12	14	0	6
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	133	282	22	0	4	32	0	22	30	8	41	56	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	134	129	80	200	11	58	40	7	69	23	5	0	10
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	27	5	0	68	5	20	71	61	12	33	7	0	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	449	490	0	121	16	62	0	76	114	30	73	44	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	14	75	77	138	13	13	92	10	0	18	0	0	52
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	417	368	16	167	0	61	0	86	88	49	20	29	2
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	36	184	0	164	5	60	8	29	0	11	3	42	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	171	182	0	0	12	57	0	47	0	11	17	57	26
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	75	43	0	124	7	26	84	46	19	14	0	0	17
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	43	14	40	27	9	17	47	53	0	31	30	10	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	20	0	0	159	425	0	157	2	13	88	0	0	1
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	0	29	20	3	4	9	0	6	32	34	44	27	1
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	20	0	0	52	3	2	72	16	11	16	22	0	3
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	300	75	0	279	8	34	131	0	0	8	0	9	0
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	4	0	21	188	9	11	95	0	9	25	40	0	1
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	160	114	0	144	0	34	145	28	3	32	0	0	0
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	1	6	0	5	1	10	0	0	15	0	0	0	16
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	206	165	0	237	23	48	54	52	48	19	7	0	1
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	271	419	11	217	4	47	115	0	0	1	0	0	2
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	52	0	30	139	6	20	21	45	16	3	0	0	8
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	85	15	0	119	10	14	69	50	0	21	0	0	0
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	0	84	0	163	22	19	71	15	22	15	0	53	48
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	138	83	0	166	6	2	86	34	0	18	0	0	0
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	38	130	65	56	10	10	0	39	10	17	24	38	0
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	59	94	0	0	2	7	18	56	0	9	25	15	3
