MutationType	ID83A	ID83B	ID83C
1:Del:C:0	1.27E-04	6.96E-05	3.56E-04
1:Del:C:1	1.38E-04	3.77E-05	2.25E-04
1:Del:C:2	7.20E-05	3.48E-05	2.15E-04
1:Del:C:3	6.71E-05	7.05E-05	1.30E-04
1:Del:C:4	6.47E-05	1.15E-04	1.11E-04
1:Del:C:5	7.55E-05	2.38E-04	1.29E-04
1:Del:T:0	1.28E-04	7.14E-05	2.27E-04
1:Del:T:1	9.51E-05	6.46E-05	1.53E-04
1:Del:T:2	1.03E-04	7.43E-05	2.44E-04
1:Del:T:3	1.32E-04	2.27E-04	2.37E-04
1:Del:T:4	1.42E-04	2.49E-04	1.77E-04
1:Del:T:5	9.54E-04	7.83E-04	1.50E-03
1:Ins:C:0	1.45E-04	1.39E-04	1.98E-04
1:Ins:C:1	7.66E-05	3.75E-05	5.88E-05
1:Ins:C:2	4.12E-05	4.15E-05	3.68E-05
1:Ins:C:3	2.07E-05	2.48E-05	1.72E-05
1:Ins:C:4	1.43E-05	1.74E-05	1.37E-05
1:Ins:C:5	1.23E-05	1.60E-05	0.00E+00
1:Ins:T:0	5.18E-04	4.35E-04	6.67E-04
1:Ins:T:1	2.78E-04	3.29E-04	3.68E-04
1:Ins:T:2	1.44E-04	1.49E-04	1.46E-04
1:Ins:T:3	1.15E-04	1.02E-04	1.39E-04
1:Ins:T:4	8.29E-05	1.02E-04	1.22E-04
1:Ins:T:5	1.15E-04	9.84E-05	1.29E-04
2:Del:R:0	7.84E-05	5.16E-05	1.62E-04
2:Del:R:1	8.24E-05	8.48E-05	2.01E-04
2:Del:R:2	5.51E-05	4.12E-05	8.67E-05
2:Del:R:3	2.89E-05	5.68E-05	4.54E-05
2:Del:R:4	1.37E-05	2.84E-05	2.54E-05
2:Del:R:5	6.10E-05	5.60E-05	9.17E-05
3:Del:R:0	4.57E-05	2.15E-05	1.22E-04
3:Del:R:1	9.39E-05	7.16E-05	1.59E-04
3:Del:R:2	4.50E-05	1.92E-05	8.57E-05
3:Del:R:3	2.14E-05	1.53E-05	3.00E-05
3:Del:R:4	3.17E-05	9.89E-06	5.28E-05
3:Del:R:5	3.60E-05	1.14E-05	6.72E-05
4:Del:R:0	4.79E-05	4.23E-06	1.24E-04
4:Del:R:1	6.56E-05	3.80E-05	8.00E-05
4:Del:R:2	3.12E-05	1.42E-05	5.97E-05
4:Del:R:3	2.47E-05	7.07E-06	5.92E-05
4:Del:R:4	2.25E-05	1.46E-05	3.96E-05
4:Del:R:5	2.13E-05	1.70E-05	3.22E-05
5:Del:R:0	1.11E-04	2.85E-05	5.13E-04
5:Del:R:1	4.04E-05	2.79E-05	1.32E-04
5:Del:R:2	2.51E-05	1.11E-05	3.50E-05
5:Del:R:3	9.73E-06	7.23E-06	2.46E-05
5:Del:R:4	5.17E-06	7.93E-06	1.30E-05
5:Del:R:5	1.28E-05	2.49E-06	2.21E-05
2:Ins:R:0	9.38E-05	1.30E-04	1.69E-04
2:Ins:R:1	4.75E-05	2.23E-05	4.66E-05
2:Ins:R:2	1.39E-05	2.64E-05	1.30E-05
2:Ins:R:3	7.69E-06	9.95E-06	3.26E-10
2:Ins:R:4	7.51E-06	1.24E-05	8.73E-07
2:Ins:R:5	4.62E-06	5.73E-06	3.87E-10
3:Ins:R:0	8.60E-05	4.92E-05	1.19E-04
3:Ins:R:1	1.28E-05	6.73E-06	2.08E-05
3:Ins:R:2	3.91E-06	1.76E-06	1.01E-06
3:Ins:R:3	1.11E-06	4.14E-06	4.61E-09
3:Ins:R:4	4.19E-10	1.11E-10	7.38E-10
3:Ins:R:5	4.19E-10	1.11E-10	7.38E-10
4:Ins:R:0	6.05E-05	2.69E-05	8.96E-05
4:Ins:R:1	1.41E-05	1.45E-05	2.54E-05
4:Ins:R:2	1.85E-06	3.05E-06	6.91E-09
4:Ins:R:3	1.89E-06	4.91E-10	6.68E-09
4:Ins:R:4	2.10E-08	5.17E-10	7.97E-06
4:Ins:R:5	4.19E-10	1.11E-10	7.38E-10
5:Ins:R:0	7.12E-05	2.04E-05	1.81E-04
5:Ins:R:1	5.14E-06	2.08E-10	1.56E-05
5:Ins:R:2	1.37E-06	1.73E-10	6.39E-09
5:Ins:R:3	4.19E-10	1.11E-10	7.38E-10
5:Ins:R:4	4.19E-10	1.11E-10	7.38E-10
5:Ins:R:5	4.19E-10	1.11E-10	7.38E-10
2:Del:M:1	9.30E-05	5.15E-05	1.71E-04
3:Del:M:1	4.70E-05	6.80E-06	1.18E-04
3:Del:M:2	6.74E-05	4.25E-05	1.21E-04
4:Del:M:1	4.19E-05	1.09E-05	1.16E-04
4:Del:M:2	5.18E-05	2.16E-05	1.73E-04
4:Del:M:3	5.71E-05	3.31E-05	1.39E-04
5:Del:M:1	1.39E-04	3.03E-05	5.61E-04
5:Del:M:2	4.28E-05	2.44E-05	6.63E-04
5:Del:M:3	2.42E-05	1.76E-05	6.26E-04
5:Del:M:4	9.97E-23	6.74E-06	3.51E-04
5:Del:M:5	5.14E-05	3.45E-05	3.80E-04
