Samples	ID83A	ID83B	ID83C	ID83D	ID83E
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	147	471	317	1358	56
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	19	89	91	20	15
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	68	265	177	26	40
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	355	320	240	556	35
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	64	104	190	11	6
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	188	193	85	16	58
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	373	126	21	39
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	137	491	213	11	31
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	123	96	223	34	141
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	173	191	215	53	79
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	158	432	155	33	33
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	640	262	236	30	270
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	101	227	241	27	48
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	2	135	155	35	36
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	84	188	200	33	29
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	31	76	173	12	11
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	63	113	79	814	100
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	42	268	192	12	61
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	139	199	253	27	23
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	83	155	91	24	34
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	166	299	118	11	36
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	204	304	153	30	75
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	40	65	156	20	28
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	496	573	294	37	75
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	79	237	132	28	26
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	465	463	278	22	75
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	32	305	123	12	70
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	197	173	129	20	61
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	93	157	151	17	37
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	84	40	151	23	23
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	30	196	52	576	11
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	18	40	116	22	13
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	33	63	100	11	10
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	345	311	118	17	53
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	29	174	151	21	28
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	192	261	144	14	49
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	1	18	19	3	13
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	225	342	189	39	65
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	304	627	84	8	64
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	79	101	121	10	29
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	100	108	131	21	23
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	2	252	187	39	32
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	157	220	125	17	14
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	88	176	138	20	15
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	69	88	117	5	9
X2bd9ccca.3fae.4b66.a762.6f30d6276222..Panc.AdenoCA..DO35152	189	415	115	25	53
X2bf5b018.9f19.4fbd.9e1f.7d958aabe5d1..Panc.AdenoCA..DO51489	38	17	394	108	28
X2c48eefe.2a08.47bf.8e4d.cbaab6777150..Panc.AdenoCA..DO35222	14	114	98	3	15
X2e43e0ca.54ea.482e.acf2.0048d9187a5c..Panc.AdenoCA..DO35258	169	177	157	22	29
X2fdfb06c.0d2f.4e1d.9756.bcb08a7f90af..Panc.AdenoCA..DO221546	77	74	175	42	29
X31c75873.abb4.4d88.9e2f.07497a6c892d..Panc.AdenoCA..DO35082	208	240	383	44	45
X32fa6457.c8bd.4d26.8106.925baf13df68..Panc.AdenoCA..DO51518	161	442	138	14	34
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	60	144	87	46	36
X33070975.0f35.4518.9ffb.4c6170c32534..Panc.AdenoCA..DO33160	137	142	156	22	6
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	12	29	103	19	0
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	104	126	190	0	89
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	73	97	269	58	24
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	173	617	325	40	68
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	89	208	134	20	35
