MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	9.18E-05	1.96E-04	1.06E-03	4.98E-04	1.08E-04
1:Del:C:1	5.01E-05	1.95E-04	7.12E-04	2.48E-04	5.45E-05
1:Del:C:2	3.65E-05	1.07E-04	3.21E-04	2.35E-04	4.48E-05
1:Del:C:3	7.16E-05	1.61E-04	3.19E-04	1.20E-04	1.04E-09
1:Del:C:4	1.07E-04	1.03E-04	1.86E-04	1.31E-04	1.49E-09
1:Del:C:5	2.80E-04	2.54E-04	2.96E-04	1.67E-04	4.54E-05
1:Del:T:0	7.59E-05	2.02E-04	8.25E-04	2.81E-04	8.42E-05
1:Del:T:1	6.94E-05	2.10E-04	5.64E-04	1.93E-04	5.43E-05
1:Del:T:2	6.84E-05	1.63E-04	6.10E-04	2.56E-04	3.67E-05
1:Del:T:3	2.54E-04	2.38E-04	5.95E-04	3.22E-04	8.26E-05
1:Del:T:4	3.53E-04	3.17E-04	4.38E-04	2.60E-04	1.40E-04
1:Del:T:5	2.30E-03	2.15E-03	1.30E-05	1.99E-03	3.28E-04
1:Ins:C:0	7.23E-04	3.06E-04	9.08E-04	6.35E-04	1.40E-03
1:Ins:C:1	1.37E-04	1.36E-04	7.04E-05	9.82E-05	5.98E-04
1:Ins:C:2	6.85E-05	1.07E-04	4.55E-05	5.39E-05	4.27E-04
1:Ins:C:3	3.32E-05	5.04E-05	5.09E-05	1.97E-05	1.57E-04
1:Ins:C:4	2.35E-05	2.60E-05	2.02E-05	2.00E-05	1.27E-04
1:Ins:C:5	1.74E-05	3.28E-05	3.10E-05	0.00E+00	4.24E-05
1:Ins:T:0	1.51E-03	1.45E-03	5.43E-03	1.52E-03	1.19E-03
1:Ins:T:1	5.24E-04	7.58E-04	1.94E-03	7.66E-04	6.69E-04
1:Ins:T:2	2.00E-04	3.79E-04	9.46E-04	8.04E-05	3.99E-04
1:Ins:T:3	1.48E-04	3.66E-04	5.29E-04	1.93E-04	3.94E-04
1:Ins:T:4	1.33E-04	1.68E-04	1.51E-04	1.56E-04	2.42E-04
1:Ins:T:5	1.20E-04	3.60E-04	3.88E-04	1.85E-04	2.32E-04
2:Del:R:0	5.92E-05	1.02E-04	2.84E-04	1.70E-04	1.37E-09
2:Del:R:1	8.37E-05	2.12E-04	4.64E-04	2.49E-04	9.62E-05
2:Del:R:2	4.33E-05	7.96E-05	2.44E-04	8.29E-05	3.85E-05
2:Del:R:3	5.69E-05	2.22E-05	7.43E-05	5.03E-05	1.29E-09
2:Del:R:4	2.88E-05	1.43E-05	4.61E-05	2.63E-05	1.01E-09
2:Del:R:5	6.08E-05	0.00E+00	2.29E-04	1.10E-04	1.24E-09
3:Del:R:0	2.39E-05	9.75E-05	1.77E-04	1.60E-04	3.34E-05
3:Del:R:1	7.96E-05	1.79E-04	4.72E-04	1.92E-04	5.72E-05
3:Del:R:2	2.04E-05	5.14E-05	1.81E-04	9.10E-05	3.60E-05
3:Del:R:3	1.72E-05	6.95E-05	9.25E-05	1.50E-05	3.69E-05
3:Del:R:4	9.18E-06	6.41E-06	1.20E-04	4.92E-05	8.09E-10
3:Del:R:5	1.58E-05	3.37E-05	1.23E-04	3.03E-07	2.28E-09
4:Del:R:0	7.12E-06	4.20E-05	1.84E-04	1.38E-04	1.40E-09
4:Del:R:1	3.69E-05	1.45E-04	4.08E-04	1.09E-04	4.69E-05
4:Del:R:2	1.32E-05	6.58E-06	9.70E-05	6.98E-05	5.13E-10
4:Del:R:3	8.12E-06	2.98E-05	1.01E-04	6.00E-05	1.44E-09
4:Del:R:4	1.44E-05	2.40E-05	7.45E-05	3.60E-05	1.19E-09
4:Del:R:5	2.24E-05	4.87E-05	7.68E-05	2.67E-05	1.37E-09
5:Del:R:0	2.69E-05	1.99E-04	6.03E-04	6.33E-04	9.37E-05
5:Del:R:1	2.79E-05	9.40E-05	1.33E-04	1.55E-04	5.42E-05
5:Del:R:2	1.18E-05	5.77E-05	8.40E-05	4.13E-05	7.07E-10
5:Del:R:3	6.12E-06	6.15E-06	2.93E-05	2.32E-05	8.22E-10
5:Del:R:4	8.15E-06	1.03E-05	8.20E-06	1.52E-05	1.17E-09
5:Del:R:5	2.50E-06	2.04E-05	4.22E-05	2.20E-05	1.09E-09
2:Ins:R:0	1.59E-04	3.33E-04	5.06E-04	2.21E-04	1.75E-04
2:Ins:R:1	2.78E-05	9.97E-05	1.15E-04	5.37E-05	3.28E-05
2:Ins:R:2	2.63E-05	2.45E-05	7.32E-06	1.38E-05	3.80E-09
2:Ins:R:3	1.05E-05	1.34E-05	1.82E-05	0.00E+00	1.97E-09
2:Ins:R:4	1.10E-05	1.54E-05	8.71E-06	9.79E-08	5.32E-09
2:Ins:R:5	6.57E-06	1.18E-05	1.39E-05	0.00E+00	2.97E-08
3:Ins:R:0	5.45E-05	1.51E-04	3.48E-04	1.68E-04	7.72E-05
3:Ins:R:1	7.26E-06	3.23E-05	4.87E-05	1.58E-05	1.62E-09
3:Ins:R:2	1.83E-06	6.12E-06	7.09E-06	1.02E-09	6.35E-06
3:Ins:R:3	5.17E-06	7.06E-07	1.06E-06	1.96E-09	9.26E-06
3:Ins:R:4	3.58E-10	1.27E-09	7.28E-09	2.35E-09	1.25E-10
3:Ins:R:5	3.58E-10	1.27E-09	7.28E-09	2.35E-09	1.25E-10
4:Ins:R:0	3.66E-05	1.70E-04	2.66E-04	1.16E-04	6.79E-05
4:Ins:R:1	1.23E-05	1.33E-05	3.88E-05	2.70E-05	2.08E-09
4:Ins:R:2	1.59E-09	3.94E-06	1.09E-06	3.95E-09	2.06E-09
4:Ins:R:3	3.18E-10	2.94E-06	5.52E-08	3.46E-09	7.56E-06
4:Ins:R:4	2.84E-10	2.05E-09	1.01E-06	1.12E-05	7.74E-10
4:Ins:R:5	3.58E-10	1.27E-09	7.28E-09	2.35E-09	1.25E-10
5:Ins:R:0	0.00E+00	2.18E-04	3.96E-04	2.26E-04	9.85E-05
5:Ins:R:1	0.00E+00	9.62E-06	2.28E-05	1.99E-05	2.23E-09
5:Ins:R:2	2.66E-10	2.31E-06	5.25E-08	3.53E-09	3.41E-09
5:Ins:R:3	3.58E-10	1.27E-09	7.28E-09	2.35E-09	1.25E-10
5:Ins:R:4	3.58E-10	1.27E-09	7.28E-09	2.35E-09	1.25E-10
5:Ins:R:5	3.58E-10	1.27E-09	7.28E-09	2.35E-09	1.25E-10
2:Del:M:1	5.32E-05	1.94E-04	4.77E-04	1.83E-04	4.57E-05
3:Del:M:1	9.32E-06	1.93E-05	1.76E-04	1.41E-04	3.93E-05
3:Del:M:2	4.13E-05	1.01E-04	2.75E-04	1.40E-04	5.45E-05
4:Del:M:1	1.16E-05	2.70E-05	1.21E-04	1.22E-04	1.22E-09
4:Del:M:2	2.37E-05	9.61E-05	1.81E-04	1.83E-04	9.08E-10
4:Del:M:3	3.47E-05	9.60E-05	2.77E-04	1.55E-04	7.47E-05
5:Del:M:1	2.08E-05	2.25E-04	5.29E-04	7.78E-04	4.63E-05
5:Del:M:2	1.81E-05	3.26E-04	4.92E-04	1.09E-03	7.66E-05
5:Del:M:3	2.03E-05	4.65E-05	3.04E-04	7.82E-04	7.63E-05
5:Del:M:4	9.67E-06	1.07E-04	6.32E-05	5.09E-04	1.22E-09
5:Del:M:5	3.78E-05	1.75E-04	2.92E-04	5.82E-04	5.29E-05
