Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	140	434	288	1305	55	127
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	18	83	88	19	15	11
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	68	257	186	25	39	1
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	355	302	271	544	34	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	64	96	200	10	5	0
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	189	186	93	15	57	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	366	135	20	38	0
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	134	465	190	10	30	54
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	118	83	199	32	137	48
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	161	166	154	49	75	106
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	157	413	148	32	32	29
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	638	247	241	29	266	17
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	97	209	224	26	46	42
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	2	128	164	34	35	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	82	175	194	31	28	24
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	29	66	162	11	10	25
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	61	105	96	791	99	17
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	40	254	185	11	60	25
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	139	187	264	26	22	3
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	82	149	92	23	34	7
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	167	290	123	10	35	5
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	203	291	151	29	73	19
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	39	58	166	19	27	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	499	553	316	34	73	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	74	214	95	26	25	68
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	469	445	298	19	72	0
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	33	298	132	10	69	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	191	160	109	19	59	42
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	91	145	143	16	36	24
