Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	16	295	764	0	1209	41	24
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	3	72	92	32	17	13	5
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	61	256	65	138	18	37	1
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	305	267	291	102	512	29	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	50	96	85	133	5	3	3
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	191	195	3	82	12	57	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	372	22	111	15	37	2
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	98	432	239	36	13	25	40
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	108	86	63	166	22	135	37
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	149	160	83	112	41	73	93
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	153	410	60	110	25	30	23
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	625	258	52	192	20	264	27
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	66	192	189	111	21	42	23
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	2	135	12	156	24	34	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	56	160	160	96	27	24	11
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	15	62	87	103	7	8	21
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	20	56	260	0	739	94	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	23	245	123	101	7	57	19
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	110	177	170	145	21	18	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	69	139	85	37	21	32	4
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	148	275	119	46	9	33	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	170	266	191	31	28	69	11
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	35	65	29	142	12	26	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	443	517	308	109	32	66	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	71	210	41	64	22	24	70
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	440	435	165	184	12	67	0
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	34	301	26	107	6	68	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	193	166	0	106	14	58	43
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	89	148	26	124	10	35	23
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	77	39	38	129	16	21	1
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	37	185	0	109	523	11	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	4	29	77	67	17	10	5
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	18	51	83	44	10	7	4
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	350	312	0	120	11	51	0
