MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	1.85E-04	1.92E-04	6.72E-03	6.00E-03	7.50E-04	1.13E-04	2.97E-03
1:Del:C:1	6.92E-05	2.15E-04	3.29E-03	1.92E-03	6.02E-04	5.78E-05	1.47E-03
1:Del:C:2	5.36E-05	1.11E-04	1.74E-03	1.16E-03	3.25E-04	4.41E-05	1.06E-03
1:Del:C:3	1.15E-04	1.55E-04	7.11E-04	7.69E-04	1.88E-04	9.84E-10	9.20E-04
1:Del:C:4	2.94E-04	5.25E-05	1.72E-03	7.44E-04	1.81E-04	1.54E-09	8.12E-04
1:Del:C:5	1.17E-03	2.60E-04	3.59E-03	6.04E-04	2.07E-04	4.24E-05	1.63E-03
1:Del:T:0	1.96E-04	2.15E-04	4.12E-03	2.30E-03	7.99E-04	8.62E-05	2.11E-03
1:Del:T:1	1.70E-04	2.30E-04	2.61E-03	1.78E-03	4.20E-04	5.51E-05	8.13E-04
1:Del:T:2	2.48E-04	1.47E-04	2.63E-03	1.92E-03	4.77E-04	3.65E-05	1.21E-03
1:Del:T:3	1.29E-03	2.71E-04	6.66E-03	4.01E-03	5.47E-04	7.87E-05	2.47E-03
1:Del:T:4	2.67E-03	3.06E-04	1.69E-02	4.80E-03	7.90E-04	1.36E-04	3.88E-03
1:Del:T:5	7.87E-03	3.56E-03	2.69E-02	3.60E-03	1.88E-03	3.52E-04	2.65E-03
1:Ins:C:0	9.90E-04	1.89E-04	3.31E-03	2.76E-03	7.20E-04	2.03E-03	1.04E-03
1:Ins:C:1	1.93E-04	1.34E-04	5.71E-04	1.99E-04	1.15E-04	6.67E-04	5.77E-04
1:Ins:C:2	8.27E-05	1.18E-04	1.60E-04	1.04E-04	5.54E-05	4.41E-04	3.94E-04
1:Ins:C:3	4.06E-05	5.73E-05	2.05E-04	1.08E-04	2.36E-05	1.56E-04	1.48E-04
1:Ins:C:4	2.30E-05	2.52E-05	2.56E-05	2.22E-05	2.04E-05	1.28E-04	2.33E-04
1:Ins:C:5	1.84E-05	3.83E-05	6.27E-05	1.05E-04	0.00E+00	4.02E-05	1.11E-04
1:Ins:T:0	3.10E-03	2.25E-03	8.68E-03	7.68E-03	1.60E-03	1.40E-03	1.33E-02
1:Ins:T:1	1.29E-03	1.04E-03	4.62E-03	4.45E-03	6.66E-04	7.56E-04	8.06E-03
1:Ins:T:2	3.14E-04	4.93E-04	2.30E-03	1.66E-03	1.30E-05	3.85E-04	1.96E-03
1:Ins:T:3	1.69E-04	3.76E-04	1.19E-03	9.59E-04	1.88E-04	4.35E-04	1.42E-03
1:Ins:T:4	2.06E-04	2.20E-04	9.12E-04	6.95E-04	1.71E-04	2.56E-04	1.84E-04
1:Ins:T:5	2.28E-04	3.74E-04	1.02E-03	8.16E-04	2.14E-04	2.85E-04	1.25E-03
2:Del:R:0	9.07E-05	8.29E-05	2.10E-03	2.21E-03	4.01E-04	1.34E-09	1.48E-03
2:Del:R:1	1.92E-04	1.86E-04	3.00E-03	1.84E-03	3.98E-04	9.86E-05	1.78E-03
2:Del:R:2	6.36E-05	6.54E-05	9.21E-04	8.99E-04	1.35E-04	3.97E-05	1.04E-03
2:Del:R:3	1.81E-04	1.67E-05	3.76E-04	2.22E-04	5.29E-05	1.35E-09	6.02E-04
2:Del:R:4	9.53E-05	3.87E-06	2.83E-04	9.69E-05	2.86E-05	1.22E-09	4.49E-04
2:Del:R:5	8.10E-05	0.00E+00	1.94E-04	0.00E+00	0.00E+00	5.63E-10	5.80E-03
3:Del:R:0	2.52E-05	1.13E-04	9.37E-04	1.12E-03	2.49E-04	3.60E-05	4.26E-04
3:Del:R:1	1.87E-04	1.41E-04	3.34E-03	2.21E-03	2.78E-04	5.82E-05	3.47E-03
3:Del:R:2	4.52E-05	4.17E-05	8.86E-04	6.99E-04	9.04E-05	3.85E-05	8.59E-04
3:Del:R:3	1.72E-05	7.53E-05	2.13E-04	1.44E-04	5.89E-06	3.81E-05	6.39E-04
3:Del:R:4	0.00E+00	9.32E-09	5.57E-08	5.62E-08	8.56E-09	8.14E-10	2.81E-03
3:Del:R:5	4.34E-06	1.65E-08	6.43E-06	6.50E-08	1.05E-09	1.10E-09	3.73E-03
4:Del:R:0	4.68E-06	3.33E-05	8.06E-04	1.11E-03	2.76E-04	1.84E-09	5.31E-04
4:Del:R:1	5.82E-05	1.07E-04	2.28E-03	1.47E-03	1.79E-04	4.91E-05	1.85E-03
4:Del:R:2	2.45E-05	9.96E-06	5.46E-04	4.05E-04	6.83E-05	9.42E-10	5.54E-04
4:Del:R:3	3.16E-10	5.51E-05	2.21E-04	2.81E-04	6.92E-05	1.20E-09	1.42E-03
