Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	26	316	318	1142	37	510	0	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	0	75	50	14	13	52	27	3
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	47	245	68	14	36	75	88	3
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	310	277	115	486	28	210	80	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	31	89	86	2	2	77	85	3
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	189	189	6	10	57	36	50	3
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	363	20	14	37	64	59	2
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	49	421	236	13	22	86	21	35
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	99	80	48	18	132	109	97	34
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	121	150	104	33	70	56	90	87
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	101	380	159	21	27	22	79	22
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	626	255	0	22	264	182	66	23
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	101	206	0	26	44	252	5	10
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	6	127	0	21	34	92	83	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	52	162	82	25	23	134	49	7
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	21	66	24	6	8	103	55	20
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	25	67	105	704	93	175	0	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	0	236	119	6	55	82	61	16
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	140	189	0	25	19	234	34	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	54	136	74	19	31	38	30	5
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	69	245	245	10	28	4	29	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	109	252	231	22	65	25	52	10
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	40	62	0	9	26	94	78	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	339	489	384	28	60	85	90	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	49	200	77	16	22	4	67	67
