MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	2.28E-04	2.29E-04	5.40E-03	1.15E-03	1.11E-04	7.44E-03	5.77E-03	3.41E-03
1:Del:C:1	1.12E-04	2.11E-04	2.95E-03	7.97E-04	5.86E-05	3.51E-03	2.70E-03	1.71E-03
1:Del:C:2	6.84E-05	1.19E-04	1.52E-03	3.19E-04	4.51E-05	1.69E-03	1.46E-03	1.17E-03
1:Del:C:3	2.04E-04	1.77E-04	7.93E-04	2.85E-04	6.95E-10	1.18E-03	1.02E-03	1.07E-03
1:Del:C:4	6.50E-04	4.36E-05	2.26E-03	2.40E-04	1.13E-09	1.29E-03	6.91E-04	7.00E-04
1:Del:C:5	1.91E-03	2.27E-04	6.15E-03	2.12E-04	4.25E-05	1.66E-03	8.49E-05	1.91E-03
1:Del:T:0	2.52E-04	2.28E-04	4.01E-03	8.25E-04	8.70E-05	2.96E-03	2.35E-03	2.39E-03
1:Del:T:1	2.79E-04	2.68E-04	2.23E-03	3.76E-04	5.45E-05	2.64E-03	1.95E-03	7.25E-04
1:Del:T:2	2.50E-04	1.31E-04	2.42E-03	5.03E-04	3.69E-05	3.15E-03	2.45E-03	1.44E-03
1:Del:T:3	1.95E-03	3.18E-04	6.12E-03	9.20E-04	7.89E-05	5.25E-03	2.47E-03	2.25E-03
1:Del:T:4	4.48E-03	2.67E-04	1.48E-02	9.55E-04	1.29E-04	1.38E-02	2.34E-03	3.79E-03
1:Del:T:5	8.39E-03	4.32E-03	3.86E-02	2.43E-03	3.31E-04	5.78E-03	2.42E-03	3.47E-07
1:Ins:C:0	9.00E-04	2.08E-04	3.24E-03	7.86E-04	2.09E-03	3.24E-03	2.59E-03	1.40E-03
1:Ins:C:1	2.52E-04	1.32E-04	5.39E-04	1.22E-04	7.07E-04	4.57E-04	1.63E-04	5.88E-04
1:Ins:C:2	1.14E-04	1.45E-04	1.39E-04	5.68E-05	4.76E-04	1.19E-04	1.40E-04	4.46E-04
1:Ins:C:3	5.60E-05	5.68E-05	1.20E-04	2.23E-05	1.63E-04	1.40E-04	5.48E-05	1.73E-04
1:Ins:C:4	1.95E-05	2.65E-05	6.23E-05	2.06E-05	1.32E-04	5.28E-05	1.31E-05	2.65E-04
1:Ins:C:5	2.79E-05	4.50E-05	6.15E-05	0.00E+00	4.00E-05	1.51E-04	3.54E-05	1.12E-04
1:Ins:T:0	3.97E-03	2.45E-03	1.24E-02	1.74E-03	1.43E-03	1.67E-02	1.10E-02	1.40E-02
1:Ins:T:1	1.79E-03	1.07E-03	6.65E-03	8.36E-04	8.22E-04	7.63E-03	6.08E-03	8.41E-03
1:Ins:T:2	5.24E-04	4.81E-04	2.94E-03	4.89E-05	4.36E-04	2.65E-03	1.74E-03	2.23E-03
1:Ins:T:3	3.15E-04	3.42E-04	1.34E-03	2.26E-04	4.19E-04	1.50E-03	7.85E-04	1.47E-03
1:Ins:T:4	2.42E-04	2.57E-04	8.79E-04	1.76E-04	2.32E-04	1.03E-03	5.08E-04	9.66E-05
1:Ins:T:5	3.70E-04	3.91E-04	1.24E-03	2.59E-04	2.79E-04	1.12E-03	8.74E-04	1.48E-03
2:Del:R:0	1.14E-04	1.11E-04	2.04E-03	4.57E-04	1.19E-09	1.34E-03	1.25E-03	1.29E-03
2:Del:R:1	2.97E-04	1.79E-04	3.74E-03	4.09E-04	1.02E-04	2.25E-03	1.66E-03	1.55E-03
2:Del:R:2	1.12E-04	7.61E-05	7.81E-04	1.34E-04	3.97E-05	1.08E-03	7.61E-04	1.05E-03
2:Del:R:3	3.27E-04	1.89E-05	8.70E-04	6.85E-05	1.37E-09	2.82E-04	1.95E-04	7.45E-04
