NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	142.454	25.823	29.356	16.086	0.116	0.98	50000.0
2	144.337	25.742	29.857	16.12	0.11	0.982	50000.0
3	143.548	26.242	29.282	16.363	0.115	0.981	40000.0
4	141.513	25.654	28.994	15.799	0.114	0.981	130000.0
5	145.602	26.618	29.855	16.425	0.119	0.979	50000.0
6	144.172	26.003	29.527	16.211	0.113	0.98	70000.0
7	145.849	26.21	30.493	16.38	0.116	0.98	50000.0
8	142.066	25.605	28.708	15.613	0.112	0.983	80000.0
9	142.166	25.762	28.97	15.924	0.116	0.982	70000.0
10	143.241	25.828	29.388	16.034	0.115	0.98	40000.0
11	143.054	25.603	29.212	15.661	0.113	0.981	40000.0
12	144.48	26.085	29.544	16.225	0.115	0.98	60000.0
13	143.592	25.789	29.603	16.052	0.114	0.981	70000.0
14	146.067	26.271	30.053	16.315	0.115	0.98	100000.0
15	146.015	25.926	30.406	16.303	0.113	0.981	90000.0
16	143.546	25.678	29.427	16.128	0.113	0.981	100000.0
17	144.584	26.029	30.127	16.307	0.113	0.98	70000.0
18	142.246	25.768	28.712	15.801	0.113	0.981	70000.0
19	142.522	25.695	29.205	16.057	0.113	0.982	40000.0
20	145.155	26.148	29.819	16.19	0.115	0.981	50000.0
21	143.706	25.979	29.827	16.214	0.116	0.98	40000.0
22	146.252	26.283	30.62	16.734	0.114	0.979	70000.0
23	142.249	25.732	29.204	15.917	0.113	0.981	30000.0
24	143.552	25.754	29.717	16.051	0.115	0.981	40000.0
25	142.787	25.622	29.589	15.956	0.114	0.981	50000.0
