Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	91	425	0	1135	152	44	500	0	2
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	0	61	49	13	41	13	31	22	4
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	68	185	189	15	0	36	31	51	1
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	237	293	0	465	250	26	164	71	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	0	94	1	2	144	2	75	56	1
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	140	157	51	12	96	54	5	25	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	4	300	159	16	0	35	15	30	0
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	88	405	122	14	115	24	73	7	35
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	114	82	66	15	4	134	94	75	33
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	155	91	204	31	0	71	13	65	81
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	157	320	220	20	0	27	0	48	19
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	554	207	147	24	119	256	88	36	7
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	92	179	118	25	12	43	160	8	7
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	5	111	71	19	0	33	63	61	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	78	98	210	25	0	24	61	31	7
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	10	49	64	7	42	8	72	33	18
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	23	93	0	691	100	96	166	0	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	9	206	110	6	79	56	57	37	15
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	79	196	0	25	131	18	173	19	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	45	144	0	18	85	31	39	20	5
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	165	233	152	9	0	32	24	15	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	158	226	143	21	86	68	15	36	13
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	6	65	0	8	74	25	74	57	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	335	533	0	28	341	61	120	57	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	33	204	0	15	103	21	17	47	62
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	383	453	16	6	171	63	125	86	0
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	38	239	141	7	0	67	23	27	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	161	167	0	14	64	55	59	27	33
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	94	164	2	9	0	33	99	36	18
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	33	36	0	11	106	19	61	55	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	38	144	96	464	0	8	2	113	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	0	0	91	9	33	10	7	52	7
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	0	30	55	6	70	7	15	30	4
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	324	233	178	10	17	46	0	36	0
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	0	77	190	12	57	24	0	43	0
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	193	256	39	0	0	43	60	69	0
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	0	13	0	2	3	11	4	0	21
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	113	307	0	30	244	57	65	44	0
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	238	590	0	4	165	55	6	29	0
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	75	66	94	7	0	26	49	17	6
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	60	105	0	11	87	19	55	46	0
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	5	159	163	28	0	28	43	28	58
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	104	208	0	8	118	9	39	47	0
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	38	164	0	12	113	11	64	35	0
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	30	82	0	3	84	6	60	20	3
X2bd9ccca.3fae.4b66.a762.6f30d6276222..Panc.AdenoCA..DO35152	108	346	67	22	182	46	4	18	4
X2bf5b018.9f19.4fbd.9e1f.7d958aabe5d1..Panc.AdenoCA..DO51489	0	0	84	80	74	21	205	103	18
X2c48eefe.2a08.47bf.8e4d.cbaab6777150..Panc.AdenoCA..DO35222	0	93	37	0	36	13	23	29	13
X2e43e0ca.54ea.482e.acf2.0048d9187a5c..Panc.AdenoCA..DO35258	88	152	15	16	170	24	56	33	0
X2fdfb06c.0d2f.4e1d.9756.bcb08a7f90af..Panc.AdenoCA..DO221546	22	52	22	33	108	25	91	18	26
X31c75873.abb4.4d88.9e2f.07497a6c892d..Panc.AdenoCA..DO35082	54	199	5	37	317	35	180	42	51
X32fa6457.c8bd.4d26.8106.925baf13df68..Panc.AdenoCA..DO51518	164	356	185	10	0	28	23	23	0
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	41	120	47	36	43	33	27	26	0
X33070975.0f35.4518.9ffb.4c6170c32534..Panc.AdenoCA..DO33160	79	70	134	15	109	2	16	38	0
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	9	0	77	9	0	0	27	41	0
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	11	44	111	0	179	81	6	31	46
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	15	93	0	45	122	20	163	45	18
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	115	577	0	28	150	58	171	53	71
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	68	154	96	13	39	30	30	28	28
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	138	309	265	498	0	29	71	65	0
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	95	186	253	17	0	23	0	0	0
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	23	10	182	12	95	17	0	53	0
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	42	155	44	28	36	9	3	56	0
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	52	121	0	146	15	8	86	148	0
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	0	31	35	3	20	8	17	18	1
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	4	422	0	5	253	43	0	68	0
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	155	209	253	37	0	29	32	24	0
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	25	72	208	10	77	7	0	17	29
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	170	157	89	12	67	56	20	23	10
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	104	179	180	25	145	21	96	22	24
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	147	79	130	5	0	14	17	31	30
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0	0	0	2	0	0	1	0	15
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	65	269	93	0	25	34	39	36	31
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	220	37	0	470	0	48	70	285	52
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	81	104	206	6	0	17	25	61	2
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	99	284	0	10	74	43	86	55	58
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	147	228	0	15	89	49	102	24	0
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	0	224	9	18	115	20	77	22	1
