MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	1.88E-04	3.57E-04	5.45E-03	1.03E-03	5.25E-03	1.10E-04	6.53E-03	5.43E-03	2.92E-03
1:Del:C:1	6.48E-05	4.69E-04	2.98E-03	7.70E-04	2.43E-03	6.19E-05	3.41E-03	2.86E-03	1.48E-03
1:Del:C:2	8.34E-05	2.23E-04	1.60E-03	3.59E-04	1.90E-03	4.65E-05	1.72E-03	1.23E-03	1.20E-03
1:Del:C:3	3.97E-04	3.46E-04	1.37E-03	2.62E-04	1.08E-03	3.09E-10	1.71E-03	9.89E-04	1.27E-03
1:Del:C:4	1.08E-03	1.46E-04	1.00E-03	2.07E-04	2.22E-03	1.04E-09	1.22E-03	7.20E-04	8.88E-04
1:Del:C:5	2.70E-03	5.35E-04	9.85E-04	2.17E-04	4.76E-03	4.59E-05	1.53E-03	3.39E-05	1.76E-03
1:Del:T:0	1.77E-04	5.53E-04	4.10E-03	8.46E-04	4.31E-03	8.47E-05	2.96E-03	2.48E-03	2.22E-03
1:Del:T:1	2.42E-04	5.95E-04	2.97E-03	3.25E-04	2.09E-03	5.74E-05	3.16E-03	2.11E-03	5.94E-04
1:Del:T:2	3.25E-04	2.42E-04	2.38E-03	6.91E-04	1.76E-03	3.75E-05	2.54E-03	2.72E-03	1.34E-03
1:Del:T:3	2.00E-03	7.24E-04	4.96E-03	7.70E-04	4.53E-03	8.44E-05	5.54E-03	2.33E-03	2.65E-03
1:Del:T:4	5.37E-03	1.23E-03	9.47E-03	7.82E-04	1.35E-02	1.29E-04	1.07E-02	1.31E-03	3.87E-03
1:Del:T:5	1.34E-02	4.31E-03	1.11E-02	2.30E-03	3.30E-02	4.99E-04	2.81E-03	2.52E-03	2.60E-07
1:Ins:C:0	1.58E-03	7.59E-04	1.66E-03	8.08E-04	2.69E-03	1.84E-03	3.66E-03	2.86E-03	1.87E-03
1:Ins:C:1	3.00E-04	1.65E-04	3.84E-04	1.42E-04	4.66E-04	8.01E-04	4.14E-04	1.60E-04	5.32E-04
1:Ins:C:2	1.33E-04	2.25E-04	4.21E-04	5.93E-05	4.38E-04	4.74E-04	1.73E-04	1.84E-04	4.61E-04
1:Ins:C:3	4.99E-05	6.87E-05	1.09E-04	2.57E-05	1.60E-04	1.64E-04	1.57E-04	9.82E-05	1.54E-04
1:Ins:C:4	3.12E-05	2.67E-05	6.94E-05	2.24E-05	5.84E-05	1.31E-04	1.11E-04	0.00E+00	2.67E-04
1:Ins:C:5	3.41E-05	3.85E-05	1.43E-04	0.00E+00	6.20E-05	2.98E-05	2.23E-04	2.18E-05	6.19E-05
1:Ins:T:0	5.89E-03	4.29E-03	1.73E-02	1.55E-03	1.82E-02	1.58E-03	1.35E-02	9.45E-03	1.48E-02
1:Ins:T:1	1.96E-03	2.07E-03	6.21E-03	7.81E-04	7.40E-03	7.64E-04	6.98E-03	4.05E-03	9.09E-03
1:Ins:T:2	6.83E-04	6.96E-04	3.08E-03	3.88E-05	2.53E-03	3.55E-04	2.04E-03	1.45E-03	1.98E-03
1:Ins:T:3	3.67E-04	5.55E-04	2.01E-03	1.94E-04	1.80E-03	4.36E-04	1.71E-03	8.59E-04	1.68E-03
1:Ins:T:4	3.75E-04	8.00E-04	1.76E-03	1.95E-04	1.44E-03	2.43E-04	1.30E-03	5.48E-04	1.59E-04
