MutationType	ID2	ID6	ID8	ID83B	ID83C	ID83E
1:Del:C:0	0.00482412	0.03050680	0.03982756	0.00113419	0.08486641	0.00199568
1:Del:C:1	0.00002210	0.00549190	0.02391594	0.00245659	0.04887486	0.00060977
1:Del:C:2	0.00000311	0.00803399	0.00333055	0.00211331	0.02309538	0.00033166
1:Del:C:3	0.00247208	0.00110238	0.00540315	0.00091991	0.01454741	0.00000000
1:Del:C:4	0.00385698	0.00247817	0.00127571	0.00042997	0.00445179	0.00000000
1:Del:C:5	0.01461542	0.00132207	0.00093373	0.00208645	0.00212575	0.00025575
1:Del:T:0	0.00790597	0.00428416	0.03424369	0.00224725	0.06119199	0.00100623
1:Del:T:1	0.00000000	0.00067769	0.01045208	0.00254299	0.03835304	0.00059218
1:Del:T:2	0.00703642	0.01165966	0.00899203	0.00109534	0.04263295	0.00046905
1:Del:T:3	0.02023474	0.02224239	0.00982504	0.00411204	0.03567110	0.00076316
1:Del:T:4	0.04711993	0.01769714	0.00127378	0.00294740	0.02515561	0.00284012
1:Del:T:5	0.81469723	0.00795434	0.01062034	0.04205821	0.00001572	0.01160887
1:Ins:C:0	0.00000000	0.00208689	0.00276427	0.00032145	0.00994193	0.32780764
1:Ins:C:1	0.00022703	0.00177343	0.00216912	0.00076979	0.00011531	0.05837769
1:Ins:C:2	0.00002620	0.00024617	0.00152700	0.00211153	0.00009379	0.01524560
1:Ins:C:3	0.00043005	0.00023217	0.00011652	0.00041311	0.00024051	0.00423514
1:Ins:C:4	0.00291185	0.00037659	0.00055418	0.00015269	0.00003581	0.00258309
1:Ins:C:5	0.00901754	0.00024800	0.00048949	0.00032305	0.00026648	0.00017969
1:Ins:T:0	0.00132856	0.00639625	0.00450798	0.47568849	0.09846687	0.36935883
1:Ins:T:1	0.00000000	0.00104119	0.00486870	0.20486767	0.05652226	0.12152167
1:Ins:T:2	0.00064703	0.00073885	0.00142964	0.06292323	0.01322848	0.03407187
1:Ins:T:3	0.00108288	0.00093064	0.00108729	0.03880019	0.00890202	0.01836773
1:Ins:T:4	0.00348746	0.00134985	0.00082262	0.02727168	0.00052634	0.00823209
1:Ins:T:5	0.00313258	0.01439004	0.02016125	0.03679734	0.00334449	0.00564991
2:Del:R:0	0.00016381	0.00178365	0.00876922	0.00057635	0.02208150	0.00000000
2:Del:R:1	0.00356888	0.00245435	0.01030715	0.00176397	0.03358290	0.00116699
2:Del:R:2	0.00184957	0.00208860	0.00053203	0.00048046	0.01084417	0.00019778
2:Del:R:3	0.00073904	0.00052575	0.00002710	0.00005150	0.00190444	0.00000001
2:Del:R:4	0.00088193	0.00023253	0.00027403	0.00002475	0.00061871	0.00000002
2:Del:R:5	0.00000000	0.00021568	0.00083308	0.00000000	0.01142983	0.00000001
3:Del:R:0	0.00001250	0.00105105	0.01096410	0.00076746	0.00791087	0.00020542
3:Del:R:1	0.00500326	0.00541365	0.00134887	0.00083126	0.03419395	0.00042318
3:Del:R:2	0.00228989	0.00053605	0.00037657	0.00023045	0.00808256	0.00017286
3:Del:R:3	0.00040259	0.00004700	0.00025351	0.00044174	0.00193459	0.00020028
3:Del:R:4	0.00000000	0.00007310	0.00000268	0.00000905	0.00667066	0.00000002
3:Del:R:5	0.00000000	0.00015062	0.00009100	0.00032263	0.00914200	0.00000001
4:Del:R:0	0.00001210	0.00231510	0.00669131	0.00013932	0.00707574	0.00000001
4:Del:R:1	0.00211579	0.00280673	0.00162295	0.00115185	0.02129519	0.00039754
4:Del:R:2	0.00054329	0.00047449	0.00027262	0.00001186	0.00418849	0.00000002
4:Del:R:3	0.00000727	0.00029134	0.00002880	0.00011336	0.00375655	0.00000001
4:Del:R:4	0.00000000	0.00011058	0.00009730	0.00006126	0.00316260	0.00000001
4:Del:R:5	0.00021041	0.00005680	0.00000634	0.00028180	0.00124570	0.00000001
5:Del:R:0	0.00003850	0.01933329	0.23797886	0.00125593	0.03846235	0.00109223
5:Del:R:1	0.00297751	0.00750183	0.00057226	0.00247349	0.00548777	0.00047532
5:Del:R:2	0.00039753	0.00037052	0.00051684	0.00047279	0.00117678	0.00000000
5:Del:R:3	0.00015815	0.00016818	0.00000816	0.00001333	0.00065625	0.00000001
5:Del:R:4	0.00008470	0.00005320	0.00011290	0.00004599	0.00002013	0.00000001
5:Del:R:5	0.00002120	0.00001150	0.00004430	0.00007756	0.00055673	0.00000001
2:Ins:R:0	0.00033185	0.00199839	0.00191671	0.03683746	0.01375093	0.00209517
2:Ins:R:1	0.00027166	0.00020853	0.00166182	0.00296267	0.00122632	0.00012426
2:Ins:R:2	0.00103534	0.00079041	0.00030459	0.00036724	0.00000792	0.00000002
2:Ins:R:3	0.00038133	0.00049907	0.00017758	0.00006857	0.00006465	0.00000002
2:Ins:R:4	0.00197742	0.00018947	0.00001660	0.00007977	0.00001948	0.00000003
2:Ins:R:5	0.01363338	0.00074864	0.00176438	0.00007196	0.00005956	0.00000006
3:Ins:R:0	0.00005780	0.00121919	0.00066786	0.00551162	0.01008607	0.00078508
3:Ins:R:1	0.00122705	0.00028861	0.00067172	0.00026906	0.00048853	0.00000001
3:Ins:R:2	0.00021007	0.00074653	0.00013577	0.00002102	0.00003057	0.00000863
3:Ins:R:3	0.00000302	0.00024974	0.00003790	0.00000102	0.00000115	0.00002447
3:Ins:R:4	0.00014181	0.00015595	0.00012204	0.00000002	0.00000057	0.00000002
3:Ins:R:5	0.00186471	0.00001980	0.00003660	0.00000002	0.00000057	0.00000002
4:Ins:R:0	0.00001680	0.00146792	0.00077776	0.00729315	0.00984167	0.00053878
4:Ins:R:1	0.00120373	0.00047628	0.00110390	0.00003344	0.00051880	0.00000002
