Kest,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,kl_counts,overd,J,case
10,1,1,0.006879357513899958,0.00976610661210389,0.008322732063001924,4.62288286888908,60.535437422260415,32.57916014557475,0.9630299210290292,2.281275733969176,2.6275492703468903,785.9268420819213,0,20,compressive
9,0.9,1,0.005044326726845849,0.015481089781390775,0.010262708254118312,7.416388104758767,60.316545756923645,33.866466930841206,NA,2.077338805499683,2.6695614783826818,786.8430013363372,0,20,compressive
10,0.9,0.9,0.0048652481946065695,0.011904100357022229,0.008384674275814399,13.580826979768899,50.38230663964715,31.981566809708024,0.9733805716808579,2.501712575458044,2.9042756957044236,739.8227234725325,0,20,compressive
10,1,1,0.005038904501375011,0.01079834424427481,0.00791862437282491,9.22495443659025,60.908040974242425,35.06649770541634,0.9763518943823531,2.54938040632473,2.4668454097985286,728.0117462015799,0,20,compressive
7,0.6,0.8571428571428571,0.011366572381089854,0.015390204273671163,0.01337838832738051,48.64844022317965,62.71943524284349,55.68393773301157,NA,2.498921953643074,2.9107219192846223,1050.8229534011277,0,20,compressive
10,1,1,0.005866148206913491,0.013276698347165343,0.009571423277039418,14.064196759326068,54.51806014914291,34.29112845423449,0.9712033535646774,2.3594249202853534,2.678990501915252,713.3660401604742,0,20,compressive
9,0.7,0.7777777777777778,0.008500992165563834,0.013892861124551334,0.011196926645057583,15.329051576090986,73.8489750088855,44.58901329248825,NA,2.4251295478765145,2.807237678791322,812.6142058383241,0,20,compressive
10,1,1,0.006616202135049386,0.012509269910183085,0.009562736022616236,12.44678938867865,55.99127819822789,34.21903379345327,0.9555474154158943,2.2139848699611986,2.5084231864194217,723.9960262848052,0,20,compressive
10,0.9,0.9,0.0053450441497921355,0.01113615299031618,0.008240598570054158,10.300532299975483,59.58264971750124,34.941591008738364,0.9696313779541861,2.3339520939145446,2.7256907912709587,737.0222942303714,0,20,compressive
10,1,1,0.004636778415112519,0.012435216603532723,0.00853599750932262,9.870186383149338,57.039520212665835,33.45485329790759,0.9750990668733788,2.6317459333405266,2.745610047642735,754.9666348944738,0,20,compressive
9,0.9,1,0.005036631452908235,0.01375053975221506,0.009393585602561648,9.521920013206348,65.24039722858853,37.38115862089744,NA,2.284074941306873,2.762232917182114,872.1347810973576,0,20,compressive
8,0.8,1,0.008034873103977477,0.013090294279521332,0.010562583691749405,15.003933224479221,50.23409301186835,32.61901311817379,NA,2.1497697532419098,2.7252580827673976,882.0059228722959,0,20,compressive
10,1,1,0.0048412200305657845,0.011696028810104436,0.00826862442033511,10.709353259050976,53.7988310015505,32.254092130300734,0.9737482711468078,2.232974871239076,2.5693740738332767,726.434849144632,0,20,compressive
9,0.7,0.7777777777777778,0.010748370942182348,0.00793697556452288,0.009342673253352614,25.629363108315594,51.8248650390684,38.72711407369199,NA,2.383634219368379,2.7452633255276693,865.8489438532765,0,20,compressive
9,0.5,0.5555555555555556,0.011743056236369249,0.011210443230153293,0.01147674973326127,20.177705465711373,64.94253964017625,42.56012255294381,NA,2.357406968163309,3.0486281743546946,921.3771083986788,0,20,compressive
9,0.9,1,0.008747002481158379,0.013803283736224603,0.011275143108691491,12.509762346343212,38.081991346244045,25.29587684629363,NA,2.2449606322365594,2.6353429441194667,866.9696275456276,0,20,compressive
9,0.8,0.8888888888888888,0.009611323251251922,0.008622411214315454,0.009116867232783689,21.14995054865945,54.103256926161016,37.626603737410235,NA,2.351896617527256,2.601533476734543,845.8287407106656,0,20,compressive
9,0.9,1,0.008737531029739593,0.012272819628895017,0.010505175329317305,16.749463990061304,51.30342170959964,34.026442849830474,NA,2.496894481477373,2.682782531764767,850.1251578677059,0,20,compressive
9,0.9,1,0.005728747379316894,0.010811734447323532,0.008270240913320213,5.292946189531662,51.74556155499961,28.519253872265637,NA,2.3676976257958122,2.6023559794395705,901.9718438760943,0,20,compressive
10,0.9,0.9,0.006037240394794915,0.014060929146327153,0.010049084770561035,3.3245125184261504,68.79887229739143,36.06169240790879,0.9591574875385899,2.335783736606605,2.6544406401883593,801.8155766445558,0,20,compressive
