M,N,rep,Kused,Kselected,time,ess_mu_min,ess_mu_median,ess_mu_mean,ess_logpost,ess_mean_per_sec,experiment
12,120,1,20,6,135.7762565612793,5.708512405023368,66.76622215909258,132.69798986970477,377.747806404495,0.9773283873813001,M
12,120,2,20,6,119.8846971988678,22.115466263623425,95.30576951569446,132.7132147618385,343.19741476576417,1.1070071315414878,M
12,120,3,20,6,126.2064881324768,20.96220429726242,116.95620313974547,126.6504494994321,301.899873393427,1.003517738061844,M
12,120,4,20,6,126.17520952224731,19.506416790128487,37.08657927593849,135.63273016940724,339.2129527257077,1.0749554582312175,M
12,120,5,20,7,101.03269672393799,1.068392432671111,1.6463483884348036,22.61854854699982,1.529595461690503,0.223873550646706,M
12,120,6,20,6,111.92099022865295,16.1453246906248,92.6380907522878,121.94860572914814,310.5921756613965,1.0895954858870434,M
12,120,7,20,6,140.14761567115784,53.70828330587391,61.05035025516284,117.39363785173913,303.413826204397,0.8376427760796972,M
12,120,8,20,5,125.0171730518341,76.04822632163514,106.63133620426854,104.79961802395822,287.4268334614608,0.8382817773403549,M
12,120,9,20,6,110.11213445663452,38.48206900942358,62.053611266862696,65.53855882399874,340.27220943624104,0.5951983325671505,M
12,120,10,20,6,117.52517414093018,40.23676961717819,53.22070690166154,92.90592748324829,388.89787124453534,0.7905193773364697,M
24,120,1,20,6,224.52181458473206,153.0283672408268,189.88168496191597,247.4922468997024,362.438918161877,1.1023082427756772,M
24,120,2,20,6,207.63447999954224,96.59405405645263,304.42439869522724,302.0655653805637,343.7264567913763,1.4547948172251048,M
24,120,3,20,6,219.89102911949158,64.03164779774251,113.66090981020457,296.2836323548451,299.5021480528243,1.3474111860827247,M
24,120,4,20,6,215.80261659622192,70.32386214429705,145.0412999996898,159.2018350394224,340.1462843935355,0.7377196697169685,M
24,120,5,20,6,217.74135303497314,125.93576101391488,533.1752256065729,578.8421510702593,336.0151428287597,2.6583932863560693,M
24,120,6,20,6,189.12454462051392,104.09320650670256,188.5375795705777,202.9616482961577,323.7694329966785,1.0731639761692937,M
24,120,7,20,6,223.6738784313202,142.03572442847727,506.0738818160364,503.2247009009718,387.22335711449983,2.2498143477021553,M
24,120,8,20,6,227.36816024780273,54.9102420552088,472.58481401070253,438.3304125550792,370.2630047850269,1.9278443036058968,M
24,120,9,20,6,216.32197165489197,109.70376712487405,286.3178871926615,258.5563312072843,357.6369554417059,1.195238418128745,M
24,120,10,20,6,223.070983171463,73.60725814011624,164.23527469646768,254.04747503210803,319.8687673242107,1.138863833476876,M
48,120,1,20,6,350.50186467170715,70.26655836492503,198.5988480611482,210.9867355737558,373.80891453077953,0.6019561002089779,M
48,120,2,20,6,371.1865031719208,153.38246466303758,424.1774238088883,425.2178715509832,336.43803393696606,1.1455639359657346,M
48,120,3,20,6,381.37630581855774,287.3378175451018,579.396842055148,540.9514877708477,381.1912377134613,1.4184192345399897,M
48,120,4,20,6,334.59696555137634,103.39943556445839,697.6046358158801,593.04369155629,359.7938800095559,1.7724120437823576,M
48,120,5,20,6,339.2975695133209,200.2940571705204,453.06002916539774,432.46817695495537,418.41891789700725,1.2745985111985205,M
48,120,6,20,6,393.77158093452454,147.08413959363347,429.8077623056151,456.98900354839043,340.456381824461,1.1605433852383003,M
48,120,7,20,6,364.4395146369934,115.48215119923172,375.86192375392017,342.45525978367135,297.36111303320723,0.939676533497692,M
48,120,8,20,6,367.3411633968353,198.29458709399245,291.4910874880456,313.974374111227,279.91932582744676,0.8547214562285341,M
48,120,9,20,6,327.26140117645264,58.67244830250937,177.65950469835127,256.25575167532276,365.4103875179854,0.7830307844253068,M
48,120,10,20,6,356.81184005737305,149.90468521189538,434.6907934549613,450.7056079722401,352.2795934421417,1.2631464468773501,M
96,120,1,20,6,638.3798906803131,232.97680516643263,399.06711160553334,430.9346070030413,348.27650415484,0.6750441442380022,M
