M,N,rep,Kused,Kselected,time,ess_mu_min,ess_mu_median,ess_mu_mean,ess_logpost,ess_mean_per_sec,experiment
96,30,1,20,6,189.05436754226685,75.9700590249492,379.4032508398523,412.4321113652898,397.0362534153853,2.1815529401778164,N
96,30,2,20,6,179.50562739372253,338.22720055261755,511.1548017226237,559.16242849831394,284.14027530264707,3.1150133654131245,N
96,30,3,20,6,168.30519580841064,235.41399201001965,273.3657458850445,343.2672993623491,414.85636061941653,2.0395525979667655,N
96,30,4,20,6,156.3872253894806,50.4395683233926,248.51285599771393,280.9422139300572,314.92948286766426,1.7964524482762185,N
96,30,5,20,6,170.81470704078674,63.04889453662744,175.8127343786872,231.91203039492413,368.75634064450537,1.3576818671681983,N
96,30,6,20,6,190.49153184890747,147.03820440362705,425.81814087356236,472.94615608357856,810.1517929845728,2.482767351877385,N
96,30,7,20,6,181.56218647956848,87.88953407000659,301.72399396770385,312.8294214818691,366.5298159652049,1.7229877407158916,N
96,30,8,20,6,171.8244903087616,263.7664437661229,608.2146221141285,622.3880613928326,395.8751567779747,3.622231384329595,N
96,30,9,20,6,165.90226101875305,222.8185076855232,390.1366534174705,408.0974408093165,508.0743717408253,2.459866660667069,N
96,30,10,20,6,177.06613659858704,211.7260137212441,272.30906305863925,443.35450237988,449.16064489527923,2.5038921100140947,N
96,60,1,20,6,319.2739748954773,281.460816558484,450.83048461756846,479.4725759634259,286.19774589892546,1.5017590335084274,N
96,60,2,20,6,337.17319679260254,125.25546491042077,290.748928111309,295.2446691226355,407.70523041530885,0.875646913607556,N
96,60,3,20,6,328.6060314178467,185.44362811859475,529.3893143193837,544.6381339557312,336.17356598874164,1.6574197728683313,N
96,60,4,20,6,352.84931206703186,170.14649660488453,276.9787969367609,331.4641742153738,384.83592625828345,0.9393930011471995,N
96,60,5,20,6,297.4400508403778,139.62314067804596,409.1284174194558,412.79018912406434,465.3321453276862,1.3878097047044602,N
96,60,6,20,6,328.00371074676514,299.17668935401576,427.321832436912,453.25757842255587,363.63414221700043,1.3818672276317412,N
96,60,7,20,6,293.42863416671753,340.71154559908473,558.2063955574447,523.4779588715402,357.413080644145,1.7840043469449385,N
96,60,8,20,6,341.0098087787628,66.83330877523613,287.2765693025117,306.2546201497362,434.46867512873,0.8980815573795569,N
96,60,9,20,6,390.5282521247864,250.8374469465998,341.73220066054466,420.9999311239968,299.92289196886037,1.0780268234971992,N
96,60,10,20,6,358.29330372810364,123.88331625934542,342.6895462508544,427.46839341617346,301.01461183525595,1.1930683296849007,N
96,120,1,20,6,644.7584028244019,205.94483201913118,520.0741366008218,527.4920891250919,294.0667144684695,0.8181236364107578,N
96,120,2,20,6,657.0053379535675,225.56254248852065,297.8062185618679,293.3274198200562,349.451430631033,0.44646124296905865,N
96,120,3,20,6,655.4007015228271,237.23707391069888,421.54219318092754,518.3503795273574,450.8124942473958,0.7908907914241889,N
96,120,4,20,6,558.4123635292053,176.82874293936507,414.1760079869174,383.77212749241374,425.2505508714169,0.6872557854323765,N
96,120,5,20,6,659.0202853679657,132.82897729123462,212.92128484580417,332.49418877699514,338.5779354069439,0.5045280034002992,N
96,120,6,20,6,645.376219034195,335.3281700497381,476.9241198646755,518.075333052468,298.41066108293984,0.8027493387155903,N
96,120,7,20,6,634.2784533500671,263.5696431188038,368.6514954224233,418.87353834004824,416.5581171499474,0.6603937689002122,N
96,120,8,20,6,571.0308091640472,187.0583055401188,377.7553507469288,432.6756007176991,325.4113973403029,0.7577097308481633,N
96,120,9,20,6,571.6914992332458,108.83418049120857,270.0429296607834,262.78274216428565,417.66299298464804,0.45965829912939155,N
96,120,10,20,6,690.4903695583344,257.3683312286137,501.9887151526351,500.7706721498515,422.22461762859734,0.7252391839587347,N
96,240,1,20,6,1591.4167494773865,219.9639259327783,373.8241487472121,405.6176666723997,289.7644573486036,0.2548783445980461,N
96,240,2,20,6,1583.2079074382782,149.44935159417886,520.7691533061181,509.8652256135875,313.33203205374514,0.3220456537755543,N
96,240,3,20,6,1580.5806787014008,345.19797751189316,457.2784844729156,553.3037296475471,324.72888562497843,0.35006357922971665,N
96,240,4,20,6,1564.2421123981476,89.528890194521,372.8288890075217,375.42177682533725,400.61745869607006,0.24000234608808493,N
96,240,5,20,6,1432.2954607009888,168.52791240087933,276.7536833884899,341.00057487047724,340.66226102236067,0.2380797707084724,N
96,240,6,20,6,1454.5493545532227,264.01967123779093,534.5722994409999,516.3157774986887,382.55359874286387,0.35496614527547576,N
96,240,7,20,6,1598.6170399188995,291.51884541120415,408.91078266129716,470.56654409605005,326.588200286713,0.29435851886072895,N
96,240,8,20,6,1531.623477935791,114.66848019708684,330.9635698848828,348.92490095155273,343.42754864683087,0.22781375839302748,N
96,240,9,20,6,1493.593667268753,262.79867146386607,493.20949888641655,550.8248448617213,317.2348608326875,0.36879163117300995,N
96,240,10,20,6,1500.8219363689423,272.5974569232257,408.4100732211013,463.4270118425627,329.1182736030457,0.30878214171347235,N
96,480,1,20,6,2522.5011100769043,266.4900485167257,489.1338438766389,536.1315134327492,412.95837760699396,0.21253965411194764,N
96,480,2,20,6,2488.744071483612,195.38068628424517,326.21093439465204,360.06216610781064,356.3708101894958,0.1446762526663367,N
96,480,3,20,6,2525.5790634155273,179.23870967622662,315.7099445583045,364.0020479688921,347.7714888410506,0.14412617416800455,N
96,480,4,20,6,2495.9870879650116,236.70665431673214,413.6669827153591,390.0191332898251,354.76302218694406,0.1562584739201553,N
96,480,5,20,6,2508.989138841629,271.59888663456576,369.27877584564294,378.11556426405156,290.69111126448746,0.1507043447938651,N
96,480,6,20,6,2456.3596365451813,227.2944475919433,504.2882394812847,477.8629424458587,219.70905812796727,0.19454111496391588,N
96,480,7,20,6,2559.322738647461,216.4727667903209,409.44752760671537,435.9537698055132,273.7758983505511,0.1703395055349307,N
96,480,8,20,6,2539.7537817955017,157.02975297994686,322.96768226073823,412.3353350357171,370.2903605245093,0.16235248392630128,N
96,480,9,20,6,2499.8703694343567,269.2243482956708,500.5799043207105,504.35324021464834,355.91857062002816,0.20175175736362996,N
96,480,10,20,6,2469.475089788437,218.67475043340139,473.0410144841816,445.2035851251108,360.5462074850824,0.18028267908677384,N
