M,N,L,L_actual,rep,Kused,Kselected,time,ess_mu_min,ess_mu_median,ess_mu_mean,ess_logpost,sweep
12,120,60000,60000,1,20,9,2.1510040760040283,2.2846620657837367,20,18.031629118420415,4.079605088188078,M
12,120,60000,60000,2,20,9,2.2478480339050293,1.7940134519693598,20.000000000000004,16.38433634162241,1.7142796502924686,M
12,120,60000,60000,3,20,15,2.1712541580200195,1.3754502331978677,12.912438060526622,16.674235327703112,1.7171400098151517,M
12,120,60000,60000,4,20,12,2.2617225646972656,1.2293234923749548,19.999999999999996,12.79286651147523,1.5601574049194005,M
12,120,60000,60000,5,20,13,2.1686110496520996,1.3407480810353036,6.326221777155953,11.17348331500691,1.507477805513257,M
12,120,60000,60000,6,20,11,2.310053825378418,1.3318917677260855,6.52495711148324,10.133220233064069,1.6467750626560875,M
12,120,60000,60000,7,20,12,1.792922019958496,1.3629640644406062,14.690815364574554,16.210272375569293,1.6866805284627824,M
12,120,60000,60000,8,20,15,2.135175943374634,1.625722466370692,5.656957942512531,11.578397400493527,1.4952103680618645,M
12,120,60000,60000,9,20,12,2.374708890914917,1.7145624367259216,7.864853880179096,10.941441442723487,2.0729913569240916,M
12,120,60000,60000,10,20,12,2.3790993690490723,2.6097773115284197,14.842695159974937,16.142474179510792,1.4926450064172205,M
24,120,60000,60000,1,20,14,3.6981875896453857,1.2758428721967987,4.420079572762225,9.252138100451809,1.2687587230894706,M
24,120,60000,60000,2,20,15,3.4085333347320557,1.4972994806172961,5.925328483633816,9.138902846865493,1.4769714325178651,M
24,120,60000,60000,3,20,12,3.386746883392334,1.346971241973913,20,20.597425765115297,1.3705966969175911,M
24,120,60000,60000,4,20,11,4.17659068107605,2.576273801553903,20,25.017018670385283,1.6134178271603479,M
24,120,60000,60000,5,20,13,3.4959070682525635,1.7116343370467904,19.999999999999993,12.372507889441101,1.5133018461598737,M
24,120,60000,60000,6,20,11,4.127237796783447,1.5926584513996247,8.829754672781677,19.8745217630883,1.3813260836108125,M
24,120,60000,60000,7,20,15,3.700319766998291,1.181766931091819,2.6538896829980048,4.396690954828244,1.5545483706649446,M
24,120,60000,60000,8,20,12,3.8000571727752686,1.6324280483472762,19.999999999999996,13.200113401701508,1.6246538309388434,M
24,120,60000,60000,9,20,12,3.5620644092559814,2.2295952523562446,14.169357668296964,18.197759387667666,1.9284170390900723,M
24,120,60000,60000,10,20,12,3.455288887023926,1.4482662922410443,3.3745227569746783,7.693659685936217,1.5085024178675188,M
48,120,60000,60000,1,20,10,5.485148191452026,2.5666604869540404,20,13.765294795610822,1.6516083249847864,M
48,120,60000,60000,2,20,14,5.846786022186279,1.5976027203733183,4.145181004421314,10.941231385313133,1.2912587408834695,M
48,120,60000,60000,3,20,12,5.9249114990234375,1.6838032595055945,19.999999999999996,13.529967476332102,2.630501131779556,M
48,120,60000,60000,4,20,9,6.430319786071777,1.9502360033533366,20,21.242051864474245,1.443382817770942,M
48,120,60000,60000,5,20,15,6.060864686965942,1.501242851533664,9.888895327837089,11.675357595855383,1.3863568341806414,M
48,120,60000,60000,6,20,13,6.885706186294556,1.4699364893870777,7.013769052485286,11.308113407555163,1.4092329578011127,M
48,120,60000,60000,7,20,13,5.8471338748931885,1.250052211908913,19.999999999999993,12.341596418900291,1.3605460765813857,M
48,120,60000,60000,8,20,12,6.525708913803101,1.3314700870716363,4.410507887903885,14.69998153569997,1.4089953779274635,M
48,120,60000,60000,9,20,15,6.176359176635742,1.2532422874227067,5.85178814427885,10.120518675274804,1.8045987205312282,M
48,120,60000,60000,10,20,14,5.484299421310425,1.5448813549038005,5.927192729276367,10.011337942416137,1.4934894301705453,M
96,120,60000,60000,1,20,12,11.121627569198608,1.129281056264243,8.52384152334792,10.887584707186207,1.8050106738610932,M
96,120,60000,60000,2,20,14,11.03601861000061,1.158042524048687,8.019284724518819,10.820108139214712,1.7096447946598234,M
96,120,60000,60000,3,20,13,11.202555894851685,1.216177955568936,5.575264935862608,10.987843257350418,1.5310887677900054,M
96,120,60000,60000,4,20,12,11.25198769569397,1.448959925606497,7.553350257793889,11.689823867773411,1.9435395232074006,M
96,120,60000,60000,5,20,11,10.777831077575684,1.6646540156240166,19.999999999999996,12.434341685057317,1.7273115691490541,M
96,120,60000,60000,6,20,11,10.587146997451782,1.8776957698004144,19.999999999999996,14.156150915097511,2.1430923645382287,M
96,120,60000,60000,7,20,12,10.886956214904785,1.5997574201395373,6.37572650645348,10.819359490146553,1.34845310111087,M
96,120,60000,60000,8,20,14,10.57365107536316,1.3651787743094943,7.407220680521721,13.905684803303572,2.287294375457832,M
96,120,60000,60000,9,20,15,11.209507465362549,1.3965767361442698,5.536826994102234,9.5735495379823,1.7088864709042582,M
96,120,60000,60000,10,20,12,10.249852180480957,1.5276031754400095,6.830772662008171,11.435250255152877,1.3630412285645874,M
192,120,60000,60000,1,20,11,20.271565198898315,1.6279758703442444,20,14.628895679013183,2.417807058602004,M
192,120,60000,60000,2,20,13,19.334747791290283,1.5979971237931532,6.234315944255999,11.900783040635448,1.7250541606204015,M
192,120,60000,60000,3,20,11,19.257750511169434,1.7276500115148914,7.885274887192964,11.960888329612569,2.210867689584209,M
192,120,60000,60000,4,20,12,18.974639415740967,1.627636803179374,7.026249042634499,11.156789939578353,1.7034260929421534,M
192,120,60000,60000,5,20,13,16.736480474472046,1.6036529194954807,4.390690940410879,8.36324456395794,1.4220265882184893,M
192,120,60000,60000,6,20,11,18.725178003311157,1.2182089478798142,20,22.43407644014591,1.1334700967134035,M
192,120,60000,60000,7,20,12,18.83966064453125,1.8036269232171815,4.594122271026512,9.251542608156097,1.620484391645575,M
192,120,60000,60000,8,20,12,19.064208507537842,1.4895864730777517,14.561819177793986,12.09040615261475,2.316473608082594,M
192,120,60000,60000,9,20,13,18.689513683319092,1.374087905035083,7.626705010051416,13.58541834267491,1.5039796115352901,M
192,120,60000,60000,10,20,15,19.095026969909668,1.259138162846331,6.54859655340017,9.23129653523954,1.9733567409937758,M
