M,N,L,L_actual,rep,Kused,Kselected,time,ess_mu_min,ess_mu_median,ess_mu_mean,ess_logpost,sweep
96,30,60000,60000,1,20,20,3.6181559562683105,1.1555005048591473,20,16.719241946755595,1.4323567571687095,N
96,30,60000,60000,2,20,18,3.441923141479492,1.1832328187844163,20,18.839583759731028,1.7025078731788252,N
96,30,60000,60000,3,20,19,3.5871353149414062,2.2634585443804736,19.999999999999996,15.747577560689832,6.416104297440217,N
96,30,60000,60000,4,20,17,3.2930996417999268,2.126798410144466,19.999999999999996,31.138109069620114,1.7770092950304053,N
96,30,60000,60000,5,20,18,3.4187116622924805,1.0154182469051678,19.999999999999993,13.667710134671772,2.373732974603494,N
96,30,60000,60000,6,20,18,3.007458209991455,2.867310230786076,20,16.039762170935443,1.9924961258364002,N
96,30,60000,60000,7,20,17,3.6021833419799805,1.410793678106198,19.999999999999996,19.168941406043267,1.8649184874309654,N
96,30,60000,60000,8,20,19,3.642857551574707,2.1447091467921102,19.999999999999996,17.49713876063423,1.417222155291074,N
96,30,60000,60000,9,20,18,3.909389019012451,2.124289304160579,19.999999999999996,15.98761788235641,1.4641849188963563,N
96,30,60000,60000,10,20,18,3.696659803390503,2.2875098082408503,19.999999999999996,15.925395637284074,2.0139490308582153,N
96,60,60000,60000,1,20,18,5.364982843399048,1.3420256713231045,6.483921711999514,10.369788030863171,1.5055341408427971,N
96,60,60000,60000,2,20,16,5.916575193405151,1.3780117918785477,7.328726326236739,9.593630499350397,1.7943189182655035,N
96,60,60000,60000,3,20,13,6.146142959594727,1.2878988803014573,20,15.195419227707259,2.1996163469914123,N
96,60,60000,60000,4,20,18,6.548079013824463,1.257508577223946,19.999999999999996,12.86400264669557,1.6058279830282272,N
96,60,60000,60000,5,20,16,6.411610841751099,1.6090898171215473,19.999999999999993,38.99290728367564,1.6481234787300663,N
96,60,60000,60000,6,20,14,6.194956064224243,3.049715660640794,7.0118444559678785,11.470206615263445,5.062652983632078,N
96,60,60000,60000,7,20,14,5.994469404220581,1.3354661039025884,19.999999999999993,17.42352441557387,1.785303049421984,N
96,60,60000,60000,8,20,14,6.727176904678345,1.2938469084948265,19.999999999999996,16.22906357091186,1.9234399334701138,N
96,60,60000,60000,9,20,15,6.435847043991089,1.3583673878759976,5.62377149111125,13.890620633272286,1.6079962076480114,N
96,60,60000,60000,10,20,15,6.3092896938323975,1.9259556707932761,20,15.879141310273102,1.4959027086733654,N
96,120,60000,60000,1,20,11,10.711870908737183,1.737722111006703,19.999999999999993,12.594631781264695,1.1744172921747515,N
96,120,60000,60000,2,20,11,10.242493152618408,1.410470531939391,8.104620235731241,9.175155312187579,1.9308947177392668,N
96,120,60000,60000,3,20,12,9.687829494476318,1.833168359664482,13.095697277784767,11.945900696735984,1.8349500984212082,N
96,120,60000,60000,4,20,13,9.855583906173706,1.51026263792869,6.202648340287242,9.741064342844561,1.9261476471636234,N
96,120,60000,60000,5,20,18,9.500095129013062,1.177444811319318,4.41852125796258,6.199105842508818,1.499032996028622,N
96,120,60000,60000,6,20,12,10.712857484817505,1.6898589749251622,20,14.674336909610988,1.8314971211455247,N
96,120,60000,60000,7,20,9,11.406115293502808,2.167592059230631,7.883581193609045,16.008027804247895,1.897005600891145,N
96,120,60000,60000,8,20,14,10.23788833618164,1.7962521883575235,6.931270310990689,11.077120456523794,2.0233266484289967,N
96,120,60000,60000,9,20,14,11.035329580307007,1.5816564597774398,14.631772234328453,15.174899700526701,1.6839991805511663,N
96,120,60000,60000,10,20,14,11.574852228164673,1.5709952672437049,6.058503132933368,16.100311604302476,1.4140079531561913,N
96,240,60000,60000,1,20,7,24.561140060424805,1.2700914429361814,20,15.729636581329355,2.852525831820956,N
96,240,60000,60000,2,20,11,23.53861904144287,1.546029022956677,5.4468118010427276,9.379908319883132,1.6378247073133885,N
96,240,60000,60000,3,20,8,23.560643672943115,1.465418236267098,14.148473173804916,12.404736574218987,2.184778207808376,N
96,240,60000,60000,4,20,11,23.23722195625305,1.3596398508491825,4.355207844731586,6.652870520736817,1.9180058970699292,N
96,240,60000,60000,5,20,10,24.103209018707275,1.9093770503421819,5.872423194608623,36.31236276114913,1.1652601863054621,N
96,240,60000,60000,6,20,8,23.72790503501892,1.9510128280721601,19.999999999999996,13.557447874055878,3.9215492952605335,N
96,240,60000,60000,7,20,8,22.813826084136963,4.276707407495831,14.303878379995087,67.56183252757704,1.8909583116990352,N
96,240,60000,60000,8,20,10,24.125624656677246,1.2690788303952225,5.116357763350754,8.954464498643963,2.269667907161291,N
96,240,60000,60000,9,20,8,24.03496479988098,1.6287550332960168,13.011623459096024,11.54752344216548,1.2362218458579006,N
96,240,60000,60000,10,20,9,23.793436288833618,2.717354401948476,7.441931290914506,11.778437873375081,3.3529947619498617,N
96,480,60000,60000,1,20,6,33.37713861465454,2.1325851969787775,19.32673815426365,14.047832652045608,1.7736807106417738,N
96,480,60000,60000,2,20,5,34.053388357162476,1.919111807675098,8.031545605728853,8.87203933126001,5.182388386568,N
96,480,60000,60000,3,20,6,33.023165702819824,1.5105528988238552,4.966233467670801,8.830877934591992,2.3551232772474804,N
96,480,60000,60000,4,20,6,32.705981492996216,3.6187806356572967,20,15.57890309548696,4.988729133149529,N
96,480,60000,60000,5,20,5,33.961456537246704,7.334952161496326,20.000000000000004,18.355909676507483,3.533555297484547,N
96,480,60000,60000,6,20,6,34.56034755706787,5.762343779149776,20,17.627057296524963,20,N
96,480,60000,60000,7,20,5,33.035327672958374,1.6282852850557095,3.8569014207680574,3.4789111520824427,20,N
96,480,60000,60000,8,20,5,33.47413444519043,7.077465094921515,20,23.55912657860726,4.7279011048245865,N
96,480,60000,60000,9,20,6,33.62542128562927,5.195366895132506,10.56089577519302,12.04375006369407,2.2693825707922377,N
96,480,60000,60000,10,20,4,33.06699466705322,5.464768841375557,23.480064083832705,48.152482535921465,9.082033922358338,N
