Method,Simulation,K,rmse_Lambda,rmse_Counts,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,Sensitivity,Precision,cos_sim,time,ESS_Sig_mean,ESS_Sig_sd,ESS_Theta_mean,ESS_Theta_sd,ESS_relweight_mean,ESS_relweight_sd,J,theta,K_new,overd
2.CompNMF,1,11,5.103700911354781,6.30050622754191,0.010037056940198743,0.007159970687013458,0.008598513813606101,6.719908828458859,51.65814297594847,29.189025902203667,1,0.9090909090909091,NA,1555.4666044712067,73.05646113873632,15.040592573558076,216.34781931221204,95.88929146628227,223.92362385041798,150.5976937814208,200,100,6,0.15
2.CompNMF,2,10,4.754240420022982,6.566801860797281,0.002972497015733419,0.005120124184294915,0.004046310600014167,3.5994410946588213,51.184636202613035,27.39203864863593,0.9,0.9,0.9830374173008821,1567.8711333274841,70.6755325076578,13.019529090019798,223.11700990794986,93.90596176421049,205.1947369929203,129.7366969114025,200,100,6,0.15
2.CompNMF,3,12,5.934621593454998,6.299849574095816,0.0217966917667561,0.008653589603714543,0.015225140685235321,8.301298346067256,55.03943982204631,31.670369084056784,1,0.8333333333333334,NA,1569.0241525173187,74.28049334962417,19.413165310295582,199.2044539757323,73.96457832107957,245.12877126285588,240.95847127683334,200,100,6,0.15
2.CompNMF,4,11,4.439378544791671,6.054049212343563,0.013546988124103253,0.006090822569028553,0.009818905346565904,5.001190333763956,49.23962812428074,27.12040922902235,1,0.9090909090909091,NA,1568.900943994522,76.02459942590038,15.940389218754058,255.32999543787355,90.41176775100857,339.9615629517744,255.81874098832066,200,100,6,0.15
2.CompNMF,5,10,4.396373430313129,6.173426547283457,0.003248174555190075,0.004639021919955126,0.0039435982375726,2.1839102460593054,49.072940090494214,25.62842516827676,1,1,0.985187650810466,1562.4384479522705,67.17358460001462,11.816471687100641,202.88260480359813,99.14633631473805,233.28782684354283,236.31279867256188,200,100,6,0.15
2.CompNMF,6,12,9.523269540876797,5.911842327944308,0.02242155039997148,0.00836653927357158,0.01539404483677153,7.406094855425377,59.229198912815775,33.31764688412058,1,0.8333333333333334,NA,1578.8336715698242,69.7952985926141,12.398642743332637,204.77787091364942,57.64257334623304,213.61323813166126,237.6005808056869,200,100,6,0.15
2.CompNMF,7,10,4.249035868394079,6.01877640511383,0.0034549430118041243,0.00409525820417384,0.003775100607988982,3.809741312487017,46.54746813763872,25.17860472506287,1,1,0.9834876235745054,1519.6438384056091,78.744146633132,16.454783598437427,241.69532740870957,104.28396349567278,282.8961082247561,179.79467393246998,200,100,6,0.15
2.CompNMF,8,11,5.136171511806441,6.291123922303159,0.014675140680095984,0.006526014780428464,0.010600577730262224,8.037942677748992,48.77253708355474,28.405239880651866,1,0.9090909090909091,NA,1570.7344336509705,70.25665250824207,13.82879171603924,210.7076745789789,105.29837241395697,271.9274011045148,311.58116382822914,200,100,6,0.15
2.CompNMF,9,12,5.456324900447533,6.246179895775216,0.02339600730982799,0.0077015084752927445,0.015548757892560367,8.047178029204638,49.24389734254048,28.645537685872558,1,0.8333333333333334,NA,1552.0345041751862,79.08075184940867,12.866029490993304,230.49503867078798,90.46166208060352,283.10821439169166,236.13325074725142,200,100,6,0.15
2.CompNMF,10,13,7.280090229346875,5.526959244109234,0.025879473629592545,0.015706516941303532,0.02079299528544804,17.337122809567322,65.24919362591041,41.29315821773886,1,0.7692307692307693,NA,1562.2045781612396,65.92940157235584,12.113397584467588,169.04751308143466,42.886835572634794,124.26331687295944,97.43613459250251,200,100,6,0.15
2.CompNMF,11,12,5.672669666857478,6.55561426769769,0.018479926323466362,0.007278778106084124,0.012879352214775243,8.292494240708143,59.22674563698197,33.759619938845056,1,0.8333333333333334,NA,1564.2970237731934,69.21339996835118,11.360141265358388,191.5736528454567,76.59329877639793,147.48673719722268,124.27548616261709,200,100,6,0.15
2.CompNMF,12,12,5.498721351975377,6.331174824742771,0.022616638413562602,0.005918411448854239,0.01426752493120842,10.015948503716855,53.828165500138326,31.92205700192759,1,0.8333333333333334,NA,1573.9071850776672,65.33782191484306,12.216109035598855,194.76249053489946,67.23212452292991,195.00860204980174,144.3951243717578,200,100,6,0.15
2.CompNMF,13,11,4.79849188025837,6.604393025744671,0.014695238997959383,0.009691334874519317,0.012193286936239351,7.891456481518785,49.74558798191126,28.818522231715022,1,0.9090909090909091,NA,1564.2236304283142,69.06446475645839,13.859794536779855,203.82777267059146,90.5773730161814,220.20617395235587,241.29387742792386,200,100,6,0.15
2.CompNMF,14,10,4.085054213459496,6.748194039500807,0.002742293965899897,0.005090653488601412,0.003916473727250654,1.1597391667784311,44.564095983149826,22.861917574964128,1,1,0.9879658617130569,1569.998098373413,75.94204424347276,17.220659411419092,221.06317098254033,97.50094812629065,269.23202563765744,165.62279679268568,200,100,6,0.15
2.CompNMF,15,10,4.222913673849067,6.847580279980567,0.0026979983022015707,0.004662916877185193,0.0036804575896933816,4.951179342586793,46.518053542986934,25.734616442786862,0.9,0.9,0.9844331419808294,1550.6709868907928,76.49500798750798,16.476037035108856,226.1288844566542,109.39548867410025,303.1745716700427,172.81099605949765,200,100,6,0.15
2.CompNMF,16,12,6.887878858300976,5.890229054512563,0.0223906822750882,0.010620394361067135,0.01650553831807767,13.36402945836624,56.7574373067207,35.060733382543475,1,0.8333333333333334,NA,1567.4867544174194,65.94491990314849,12.30940743320492,193.42057755227447,69.93417635329445,158.1560201978708,180.4741776825963,200,100,6,0.15
2.CompNMF,17,12,5.663380087933792,6.229997279614185,0.02267941928527742,0.007020432165142611,0.014849925725210015,6.689030062379854,55.250258797003184,30.96964442969152,1,0.8333333333333334,NA,1582.9374299049377,66.58557075115966,12.502470388184744,197.95065307212226,84.69483412983058,222.19357346691626,181.93562829915822,200,100,6,0.15
2.CompNMF,18,12,6.555529721512477,6.0151915956867885,0.022036447798126368,0.01137234313629455,0.016704395467210458,10.744811879106335,61.06960697673888,35.90720942792261,1,0.8333333333333334,NA,1565.6665933132172,69.50562889582636,14.895061299523821,187.81703818180222,64.36289467293464,166.11323303320296,120.73136756484325,200,100,6,0.15
2.CompNMF,19,10,4.057098435978344,6.19430714069187,0.002525814067790157,0.0039185252009852735,0.0032221696343877155,1.2111966495540676,45.17615729951241,23.19367697453324,1,1,0.9907604748282957,1562.1406981945038,73.25415261025816,15.129203053096916,244.83192614744516,110.13807749841673,239.97492569288553,189.86362612584617,200,100,6,0.15
2.CompNMF,20,11,4.642558660702517,5.5646458856153735,0.012952932732365504,0.007134650061412592,0.010043791396889047,5.7941175782650784,48.16284320766689,26.978480392965984,0.9,0.8181818181818182,NA,1562.9214417934418,68.97873015449514,13.416176437121488,208.1287066611801,97.2345713288395,233.4054723039248,205.49885703421285,200,100,6,0.15
1.CompNMFcos,1,11,5.026280296959752,6.336275285582238,0.010458804493108416,0.007041998203582764,0.00875040134834559,6.888090220054374,43.59014741081035,25.239118815432363,1,0.9090909090909091,NA,3377.5457854270935,139.78383712020408,91.35958001524854,227.11051856499165,121.47797945624251,304.1335342843811,198.91314093710847,200,100,6,0.15
1.CompNMFcos,2,10,4.747236711138729,6.57863304363826,0.0028666574571427237,0.0026832293327824254,0.0027749433949625746,4.226924270048506,41.92483879994864,23.075881534998572,1,1,0.9914083710986702,3383.2334473133087,127.0499905157504,83.75159364516585,245.53876278826937,137.93341766656522,311.10851244638343,302.81305891370414,200,100,6,0.15
1.CompNMFcos,3,11,5.374227710443936,6.863348631473253,0.013996584407404025,0.005509626522191299,0.009753105464797662,5.801497544436358,45.259053756392255,25.530275650414307,1,0.9090909090909091,NA,3393.4112124443054,139.33068610181357,85.30849143873942,226.1568300859507,132.03677744059567,314.348394648175,330.03959291279625,200,100,6,0.15
1.CompNMFcos,4,10,3.98687540773971,6.497321304110584,0.002600012808085817,0.0032833071411904197,0.0029416599746381186,3.580956603911279,37.42802903391899,20.504492818915132,1,1,0.9948726234120187,3372.321034669876,139.85661889319087,101.46681371786039,292.93398959612625,159.53318082210532,421.00751002184023,335.5614302061087,200,100,6,0.15
1.CompNMFcos,5,10,4.396285187855701,6.1787446824053065,0.0031711944669656914,0.0038922701081221655,0.0035317322875439284,2.9574828623416933,39.18983529347595,21.07365907790882,1,1,0.9906965273092508,3376.9327578544617,130.75554230801706,93.91188751961873,219.68990713705114,136.68091744529067,247.05295062699304,202.24378838680968,200,100,6,0.15
1.CompNMFcos,6,10,6.83898726334437,8.9822620790281391,0.003091363032301479,0.003851353539909407,0.003471358286105443,2.1693960885112675,54.21899607631239,28.194196082411832,1,1,0.9926371624461047,3393.174250602722,132.1126646458752,97.39727899633738,253.87252926821395,137.35321116951022,367.5583958439791,337.2494355914603,200,100,6,0.15
1.CompNMFcos,7,10,4.255232573824586,6.0156956490260605,0.003414383684255963,0.0029345650164166095,0.003174474350336286,3.098148000190814,38.2190341474132,20.658591073802004,1,1,0.9906855385582051,3338.367785692215,141.4217581231453,95.01309822588372,255.9508591619875,142.29979313110104,463.27948255222805,366.8519819558646,200,100,6,0.15
1.CompNMFcos,8,10,4.715343924354868,6.678382065557363,0.0029068702352241346,0.0034584395386462337,0.003182654886935184,4.603534082901416,42.77723931362409,23.690386698262753,1,1,0.9925630254055015,3321.0374898910522,140.65917460014245,99.2523639684724,238.62874300354923,140.09957711664563,259.7878990176902,154.2367847648105,200,100,6,0.15
1.CompNMFcos,9,10,4.287636144720122,7.4408045532910325,0.0028384708963906315,0.00350572182585637,0.003172096361123501,4.555471555517705,38.46345734570211,21.509464450609908,1,1,0.9939090949974708,3354.231282711029,147.58115561701672,93.82959860884495,268.7128301001827,151.22053604749692,451.54450660103305,327.8269229751857,200,100,6,0.15
1.CompNMFcos,10,10,5.47734688630612,7.598427584448349,0.0039807035473719615,0.004195559480925417,0.004088131514148689,5.104521111175451,54.501733402748705,29.803127256962078,0.9,0.9,0.9798927075312647,3368.2961518764496,122.53654399975656,87.58852861504037,238.7182001042373,145.51962847827645,278.8500864972299,288.0236598246477,200,100,6,0.15
1.CompNMFcos,11,10,5.053592209763739,7.320082699600283,0.00287040789784532,0.003774943275949458,0.003322675586897389,5.662798720496297,52.483597909427075,29.073198314961687,1,1,0.9865991550641277,3402.376591205597,126.79384445057867,89.1036695213659,261.1864369727134,147.39310530536244,399.56913003522254,300.0925797177679,200,100,6,0.15
1.CompNMFcos,12,11,5.201283323683509,6.6955446673375505,0.013753078332789605,0.004541227512110749,0.009147152922450177,6.872911705538324,45.95668046536488,26.414796085451602,1,0.9090909090909091,NA,3449.4348039627075,130.09068178631574,94.81971756477057,220.12682717587356,110.82009137379406,206.19978169088375,223.47096512745821,200,100,6,0.15
1.CompNMFcos,13,10,4.439094917689024,6.930015186663095,0.0027471637739335847,0.004669240119755474,0.0037082019468445294,4.890849280625348,38.422260679442296,21.65655498003382,1,1,0.9933272575442008,3405.0036821365356,140.89830290177878,94.21617740380965,246.03264623764215,135.78882571170115,263.0551226004551,173.93867010132462,200,100,6,0.15
1.CompNMFcos,14,10,4.091658166087057,6.75635178137089,0.0027168472813767766,0.004185830117470656,0.0034513386994237164,3.810039118774949,41.406525006189554,22.608282062482253,1,1,0.9877885886925891,3393.314704179764,135.6312597769638,80.70995277692468,251.69665368201288,146.61957428549272,318.3242194891038,303.30031394087257,200,100,6,0.15
1.CompNMFcos,15,10,4.222295708020856,6.853685678688584,0.002668819788405013,0.0034223583184275976,0.0030455890534163053,3.851597997207262,37.447546498130116,20.64957224766869,1,1,0.9937103704966744,3411.6222734451294,138.94494038154403,106.84739028828872,241.67646793937618,142.85551497014663,358.61679796776195,300.74390294790516,200,100,6,0.15
1.CompNMFcos,16,12,6.88938945391579,5.885285548446278,0.02270678717966618,0.01043300393265098,0.01656989555615858,28.413045919961466,54.79352095849851,41.60328343922999,1,0.8333333333333334,NA,3417.9448561668396,126.13125887472182,103.07794634552769,209.75314084379622,93.35186163552528,216.73753953560265,202.7813817679462,200,100,6,0.15
1.CompNMFcos,17,11,5.5630442117459085,6.510727107163289,0.014364604946229048,0.005783155621695387,0.010073880283962217,6.8771498836983165,48.56829724455412,27.722723564126216,1,0.9090909090909091,NA,3432.1934037208557,131.04864642066602,97.63203215941743,220.63471066183538,152.46785569286257,290.11517050468024,359.28801959557086,200,100,6,0.15
1.CompNMFcos,18,11,5.9382198108996285,6.678018169703908,0.015028012093530302,0.009398636919791526,0.012213324506660914,8.4247741579483,49.14938694480732,28.78708055137781,1,0.9090909090909091,NA,3412.861344575882,129.29387888327363,99.17299941106997,227.82447206965114,127.2866250262381,315.8859136285722,270.99473170226395,200,100,6,0.15
1.CompNMFcos,19,10,4.063782305892582,6.1974090754832005,0.0025140694437477697,0.0029534656780514463,0.002733767560899608,1.887665654227614,37.33444156726372,19.611053610745664,1,1,0.9948072191231718,3399.5321638584137,140.92996021836535,99.22276215852484,270.3847791898475,152.71415183980406,460.640060780779,287.04139920714346,200,100,6,0.15
1.CompNMFcos,20,10,3.728675615489915,6.380136121535164,0.0027866344894425608,0.0036323228174422644,0.0032094786534424126,2.8580390003797027,34.7972642899626,18.82765164517115,1,1,0.9927738140341555,3366.6642940044403,138.2446328744982,103.5999234578682,251.38187305988146,153.9205556793631,408.7538335279646,422.42295700085054,200,100,6,0.15
6.CUSP,1,18.016,6.213336219788395,5.13084370820555,0.033216870005835446,0.012305289369219345,0.022761079687527396,23.087513953188214,60.583796120071085,41.835655036629646,0.9,0.5,NA,1465.2963845729828,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,2,19.002,6.362678748859402,4.662252851131127,0.03435426866648119,0.015231376651741341,0.024792822659111265,21.887240169644375,73.47676528801708,47.682002728830724,0.9,0.47368421052631576,NA,1467.5345611572266,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,3,18.018,7.245723689071979,4.842373668563954,0.0368284861366869,0.017436486579325085,0.02713248635800599,26.544437953461,72.26332552974685,49.403881741603925,1,0.5555555555555556,NA,1436.4312930107117,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,4,19.009,5.925561102884205,4.5871906949417305,0.03231604252435212,0.017988244854064077,0.0251521436892081,16.27973429661099,63.738480799376525,40.00910754799376,0.9,0.47368421052631576,NA,1467.5305185317993,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,5,19.008,6.191593179875002,4.198218036953308,0.03579282630214621,0.012869473695032888,0.024331149998589548,26.94085547526487,59.527188387454544,43.234021931359706,0.9,0.47368421052631576,NA,1461.4253194332123,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,6,18.001,10.457475849429294,5.012616976050882,0.029307507373764002,0.01502931932726834,0.02216841335051617,18.77567089936413,83.64714937065878,51.211410135011455,0.8,0.4444444444444444,NA,1446.4864854812622,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,7,19.01,5.577101608665772,4.527439996690836,0.03254767808764991,0.013564735135727706,0.02305620661168881,16.361975452635306,57.835231250772715,37.098603351704014,0.9,0.47368421052631576,NA,1453.172329902649,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,8,18.006,6.316742460277524,5.077051703226746,0.031441957414418915,0.0138778489458508,0.022659903180134857,26.211111196757443,59.311954273289075,42.76153273502326,0.8,0.4444444444444444,NA,1423.4261240959167,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,9,19.003,6.679068522324167,5.065185242099282,0.03696676553226444,0.012557543647259386,0.024762154589761914,29.55499682867212,77.0669228475052,53.31095983808866,1,0.5263157894736842,NA,1450.0335402488708,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,10,19.062,8.048980506663524,4.710130627192493,0.03307985846924591,0.020979232906005972,0.02702954568762594,30.552459809387113,82.35218028843651,56.452320048911815,0.9,0.47368421052631576,NA,1443.7115156650543,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,11,19.021,6.8436494832497194,5.618884151074659,0.032536362803379355,0.011864709907711954,0.022200536355545655,27.174944719379145,80.35450260893761,53.764723664158375,0.9,0.5263157894736842,NA,1471.837913274765,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,12,19.063,7.008496988300535,4.61654779283884,0.035198468150393625,0.019683940365553466,0.027441204257973546,24.504139841859377,83.45869391818643,53.981416880022906,0.8,0.42105263157894735,NA,1479.0252771377563,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,13,18.137,6.024349154852481,5.3433118279128085,0.029890711124382723,0.013684399753195407,0.021787555438789064,28.947971465563505,60.06723442702736,44.507602946295435,0.8,0.4444444444444444,NA,1453.5152597427368,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,14,19.018,5.959712319087061,4.857297012113603,0.03441626465255647,0.015362858072785692,0.02488956136267108,20.850166850281344,65.06099011143448,42.95557848085791,0.9,0.47368421052631576,NA,1458.1952095031738,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,15,19.004,6.039287343198946,4.9841806132425,0.036153986521215285,0.014492458329711569,0.025323222425463428,28.01783421838879,56.11573993452019,42.06678707645449,0.9,0.47368421052631576,NA,1457.6430592536926,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,16,19.003,7.809092800403374,4.777807942861724,0.03624252847934156,0.016031871065747764,0.026137199772544664,28.28560506132111,71.298885975314775,49.79224551831794,0.9,0.47368421052631576,NA,1464.847725868225,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,17,19.006,6.953623521140979,5.009981259049527,0.030701161343131934,0.011659502788402266,0.0211803320657671,23.22198337516489,62.48272049419045,42.85235193467767,0.9,0.47368421052631576,NA,1478.1455841064453,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,18,19.005,7.428933437978426,4.899539738358429,0.03290229692994974,0.017271122973574225,0.02508670995176198,22.433648586538318,72.2106628109746,47.32215569875646,0.9,0.47368421052631576,NA,1475.3293626308441,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,19,18.003,5.571192703577936,4.676547599652144,0.030854476003130626,0.013630523355601384,0.022242499679366007,17.911396509897727,60.731083572996816,39.32124004144727,1,0.5555555555555556,NA,1446.17733836174,NA,NA,NA,NA,NA,NA,200,100,6,0.15
6.CUSP,20,19.003,5.675426993755377,4.240241308918298,0.03301568530728679,0.013626471665385923,0.023321078486336355,19.674618267348194,54.43182292398339,37.05322059566579,0.8,0.42105263157894735,NA,1450.1066114902496,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,1,16,6.424204829050608,5.085941172125285,0.043602138320386445,0.01518819231826174,0.029395165319324092,13.000326477214157,54.074549075757844,33.537437776486,1,0.625,NA,27.715939044952393,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,2,15,6.2961473514458826,4.994189528277033,0.04065575181249771,0.012723734897541377,0.026689743355019543,10.030022833117032,57.93801383127663,33.98401833219683,0.9,0.6,NA,31.95337224006653,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,3,15,7.244982390687484,5.177909543402377,0.04084708567835609,0.01673578068404321,0.02879143318119965,22.86738745443066,66.11410996747519,44.49074871095292,1,0.6666666666666666,NA,30.066648960113525,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,4,14,6.083885800113408,4.824576793956044,0.03045640633624586,0.033316207189563934,0.031886306762904895,17.739859824799442,77.55012829118024,47.64499405798984,0.8,0.5714285714285714,NA,24.052385568618774,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,5,16,6.427334626290203,4.291723296454761,0.04574963073255894,0.014147315764029594,0.029948473248294263,24.478291388482333,55.63336921033125,40.05583029940679,1,0.625,NA,33.468616008758545,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,6,14,10.894330883744667,5.1308724846708555,0.0353951164611626,0.014995147399298712,0.025195131930230655,12.306819631563775,78.08135498706379,45.19408730931378,0.9,0.6428571428571429,NA,28.938771963119507,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,7,14,5.63017852098942,4.770335455891545,0.035422674007579466,0.012265849267251636,0.02384426163741555,10.685627891991611,51.520060559184735,31.10284422558817,1,0.7142857142857143,NA,27.707108736038208,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,8,13,6.194239282360227,5.539681435768941,0.026879753540175886,0.015898150064535137,0.02138895180235551,11.5401325085293,57.77811624641714,34.65912437747322,1,0.7692307692307693,NA,26.58156704902649,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,9,15,6.954197513383189,5.010978147151958,0.04295761518584961,0.015142316362359484,0.02904996577410455,25.37396195104504,58.21035664408135,41.792159297563195,1,0.6666666666666666,NA,27.438546895980835,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,10,17,8.363691753536568,4.631796002051866,0.04620308770129582,0.018355859547765762,0.03227947362453079,25.856768060008722,70.45065890537104,48.15371348268988,1,0.5882352941176471,NA,37.47224950790405,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,11,16,7.309363069206974,5.318734784718937,0.04610304447456749,0.014681569319375181,0.03039230689697134,38.80589476989028,62.87649435876868,50.841194564329484,0.9,0.5625,NA,28.97356867790222,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,12,15,7.2438557949907345,4.824996445949005,0.03888443413597915,0.019499735749863814,0.02919208494292148,14.962607230296497,72.0840891236742,43.52334817698535,0.9,0.6,NA,27.22466778755188,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,13,18,6.510147486748162,4.940812821817465,0.051637047643904865,0.015038281025279075,0.03333766433459197,10.12597297022952,58.54243891057809,34.334205940403805,0.9,0.5,NA,37.21014761924744,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,14,15,5.812255510816551,5.286581432684393,0.04046749065582685,0.013152286466969546,0.0268098885613982,11.612910895139905,52.27498402118128,31.943947458160594,1,0.6666666666666666,NA,26.79452133178711,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,15,15,6.038587987237078,5.297866692446083,0.03885734456576653,0.017810217429986418,0.028333780997876475,12.63611085055252,48.3389844250739,30.48754763781321,0.9,0.6,NA,31.489397525787354,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,16,18,8.216758239993434,4.547836999864698,0.05491894514316183,0.016077194335097734,0.035498069739129785,34.53746149650961,65.78459447830757,50.16102798740859,1,0.5555555555555556,NA,30.116080045700073,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,17,17,7.331236998621771,4.6899028213911915,0.04392103848270972,0.012848725944524497,0.02838488221361711,14.297239809107415,58.92684835124387,36.61204408017564,1,0.5882352941176471,NA,26.915176153182983,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,18,14,7.303246586043404,5.445074373252291,0.036721910217319353,0.017950528615086253,0.027336219416202803,13.689461382289537,63.5600898347565,38.624775608523024,0.9,0.6428571428571429,NA,27.593435049057007,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,19,14,5.669354216722167,4.894809856520345,0.029826813898842997,0.01805466969709375,0.023940741797968373,10.894276329860599,59.578950810404876,35.23661357013274,0.9,0.6428571428571429,NA,22.619359016418457,NA,NA,NA,NA,NA,NA,200,100,6,0.15
5.ARD,20,14,5.655422711241192,4.652851631660639,0.03605824209398107,0.013413874979113444,0.024736058536547256,9.860179366805093,51.134066617572714,30.497122992188903,0.9,0.6428571428571429,NA,27.220524311065674,NA,NA,NA,NA,NA,NA,200,100,6,0.15
3.signeR,1,10,4.3774098571774465,6.960709015441751,0.002638866186581814,0.0037474827772111703,0.0031931744818964923,2.8836984662463347,43.66833231454515,23.27601539039574,1,1,0.9874022355030402,1974.342027425766,67.84992674421842,10.63187629240859,221.4373339155425,120.44407726154128,NA,NA,200,100,6,0.15
