Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,rmse_Lambda_filter,rmse_Counts_filter,epsilon,Kused,a,alpha,overdispersion
20,NA,NA,NA,0.5,0.2,0.0393881821739162,0.026282819671817136,0.03283550092286667,15.245612432828823,60.64672567117759,37.946169052003206,NA,1.449936056258755,1.8205155626520952,1.4571994648083095,1.8347482218124234,0.001,20,0.1,0.01,0
20,NA,NA,NA,0.3333333333333333,0.15,0.04378256030016297,0.03436667963295599,0.039074619966559476,32.62953587947666,136.0901685242335,84.35985220185508,NA,1.770971637902695,1.9330974149734543,1.770892251105819,1.9406454286139285,0.001,20,0.1,0.01,0
19,NA,NA,NA,0.5,0.2631578947368421,0.04376631365465558,0.010385913627742722,0.02707611364119915,26.57487352918239,68.50393785975007,47.539405694466225,NA,1.7709807195167357,2.0348220842403792,1.7721182309056245,2.0411051195053385,0.001,20,0.1,0.01,0
20,NA,NA,NA,0.8333333333333334,0.4,0.038472624401964826,0.011299810653404475,0.02488621752768465,17.337299888939096,101.40048717718034,59.36889353305972,NA,1.6584726656581747,2.0786219855694936,1.666074416442762,2.0882836066395094,0.001,20,0.1,0.01,0
20,NA,NA,NA,0.3333333333333333,0.25,0.042547291859344624,0.017296757563859094,0.02992202471160186,17.03778998450624,69.69024403807744,43.364017011291836,NA,1.6485112211179127,1.9578228011875798,1.6611317064111129,1.9818400366966629,0.001,20,0.1,0.01,0
18,NA,NA,NA,0.16666666666666666,0.05555555555555555,0.045527284030971685,0.03665767657109323,0.04109248030103246,23.239815637933205,67.98488385362961,45.61234974578141,NA,1.5988376419466648,1.770814521292124,1.6084129021029845,1.7797452627621801,0.001,20,0.5,0.01,0
17,NA,NA,NA,0.16666666666666666,0.058823529411764705,0.05131395053489984,0.02988061692969861,0.04059728373229922,27.82063990444331,87.95170495499968,57.8861724297215,NA,3.5695951824821877,3.6147677032261387,3.6129101497743257,3.6654954131367523,0.001,20,0.5,0.01,0
17,NA,NA,NA,0,0,0.049992131859472336,0.04031092386581672,0.04515152786264453,31.606805973932882,90.11307696373797,60.85994146883542,NA,1.944689379515437,1.901834063431864,1.9551802717351225,1.9172641022304828,0.001,20,0.5,0.01,0
19,NA,NA,NA,0.16666666666666666,0.05263157894736842,0.04621880263725807,0.03768210701707136,0.04195045482716471,26.989089331919317,80.7641633400566,53.87662633598796,NA,1.927210591448199,1.9929324909579071,1.9465727731331763,2.033296000043633,0.001,20,0.5,0.01,0
18,NA,NA,NA,0,0,0.054331485429933234,0.03567769495199462,0.04500459019096392,26.490759399730766,74.65443234665644,50.5725958731936,NA,1.9528995835442422,1.9295434920026642,1.9579233870589512,1.9394742264564002,0.001,20,0.5,0.01,0
15,NA,NA,NA,0.16666666666666666,0.06666666666666667,0.04987140543058037,0.03443089022806776,0.04215114782932407,25.95009058322563,66.94028406768534,46.445187325455485,NA,1.8309704433706107,2.0542590559631524,1.8644615326745693,2.09299109985001,0.001,20,1,0.01,0
15,NA,NA,NA,0,0,0.052563951095117405,0.040487833950823095,0.04652589252297025,36.759105507582014,92.26148121286855,64.51029336022528,NA,2.3149174834271817,2.3385500912861845,2.3162155884282885,2.3419391045737417,0.001,20,1,0.01,0
13,NA,NA,NA,0.3333333333333333,0.15384615384615385,0.03878013899152457,0.022697379102958753,0.03073875904724166,35.00359315659274,61.07371356369643,48.038653360144586,NA,2.202993159982662,2.630272893315104,2.2104827761253163,2.6390913516669423,0.001,20,1,0.01,0
13,NA,NA,NA,0.16666666666666666,0.07692307692307693,0.04444509858826074,0.0303851496645794,0.03741512412642007,40.291203648322956,72.98979974746986,56.64050169789641,NA,2.4012994579380447,2.556347340521832,2.414281343784958,2.570978815772289,0.001,20,1,0.01,0
15,NA,NA,NA,0.16666666666666666,0.06666666666666667,0.04655672077747016,0.04520687487639623,0.04588179782693319,31.986298459291774,80.17618533536837,56.081241897330074,NA,1.951683358830754,2.1696905792736527,1.9583616712464662,2.1764379397178613,0.001,20,1,0.01,0
13,NA,NA,NA,0,0,0.05128168173620018,0.04487627026499619,0.048078976000598184,32.40730540834405,81.39379531983023,56.90055036408714,NA,2.8567636703163872,3.0843310147670455,2.922447178316493,3.155317857490414,0.001,20,2,0.01,0
13,NA,NA,NA,0.6666666666666666,0.3076923076923077,0.03760273560430402,0.016813917706112798,0.02720832665520841,26.66922645223127,68.64319178860654,47.65620912041891,NA,2.11107376418351,2.62190204740205,2.194726594743888,2.710490540426544,0.001,20,2,0.01,0
12,NA,NA,NA,0.16666666666666666,0.08333333333333333,0.046551692644109445,0.04649199098943775,0.0465218418167736,45.08423176589761,74.26552380893075,59.67487778741418,NA,2.795637047127678,3.010376546101822,2.7994733128528657,3.015326247079327,0.001,20,2,0.01,0
10,NA,NA,NA,0,0,0.05038927287038031,0.03997119365351616,0.045180233261948234,39.03814826674174,93.01858727904987,66.0283677728958,NA,9.014348137390007,8.946625907361913,9.032946916054884,8.965636259570699,0.001,20,2,0.01,0
13,NA,NA,NA,0.16666666666666666,0.07692307692307693,0.04942141505174665,0.04037072329103708,0.04489606917139187,36.73559840345779,84.2831325108971,60.50936545717745,NA,2.2991800205186887,2.535570499068522,2.3110303255374585,2.5600418992461265,0.001,20,2,0.01,0
19,NA,NA,NA,1,0.5789473684210527,0.024970748606195844,0.0033612344552190563,0.01416599153070745,22.433081418746664,54.50780019265953,38.4704408057031,NA,1.2306785924094452,1.9193536607148594,1.2371179383456692,1.9329849281834879,0.001,20,0.1,0.1,0
20,NA,NA,NA,0.8333333333333334,0.75,0.03325438704162619,0.003033380482101393,0.018143883761863794,21.208118634953884,97.23484493725633,59.2214817861051,NA,1.5292242295453229,2.0385318262179526,1.5307710898622564,2.0641603325177003,0.001,20,0.1,0.1,0
20,NA,NA,NA,1,0.6,0.025279005397579594,0.0030622638138183356,0.014170634605698965,22.94946077838536,79.6491835425543,51.29932216046983,NA,1.456091033274135,2.118976585864934,1.4638085553193065,2.1412703514200615,0.001,20,0.1,0.1,0
19,NA,NA,NA,1,0.5789473684210527,0.03126586022241126,0.002982834209174813,0.017124347215793038,16.944446211221287,102.63163785137222,59.788042031296754,NA,1.532076628842006,2.0303241118981137,1.5490676038749118,2.06609431055253,0.001,20,0.1,0.1,0
18,NA,NA,NA,1,0.7777777777777778,0.030394210179925808,0.002574831709757688,0.01648452094484175,25.752703936365013,83.63671285873201,54.69470839754851,NA,1.4058037221854018,2.100781466748878,1.4122330516368307,2.116353051009022,0.001,20,0.1,0.1,0
10,NA,NA,NA,0.8333333333333334,0.5,0.02285350643699613,0.008126138809261415,0.015489822623128771,19.82798253229284,33.053668484942165,26.4408255086175,NA,1.1669032388618419,1.9773182862235867,1.167556291700369,1.9834236434742567,0.001,20,0.5,0.1,0
11,NA,NA,NA,0.6666666666666666,0.36363636363636365,0.030830103175260953,0.005474032082307629,0.01815206762878429,22.583132993101348,31.29964049969816,26.941386746399754,NA,1.425794526372001,2.137650802041435,1.4344127180688346,2.151031976935892,0.001,20,0.5,0.1,0
9,NA,NA,NA,1,0.6666666666666666,0.012191072033559189,0.0026539599502057353,0.007422515991882463,5.227726252577647,21.7020022734804,13.464864263029023,NA,1.3524502357759571,2.2437283341342518,1.3605021628408058,2.2576356905414867,0.001,20,0.5,0.1,0
11,NA,NA,NA,0.8333333333333334,0.45454545454545453,0.027176959839169616,0.013214413097961088,0.02019568646856535,28.87878657724558,38.960160252042115,33.919473414643846,NA,1.5149252577792014,2.0730943750949127,1.5223197070837091,2.114593587899197,0.001,20,0.5,0.1,0
11,NA,NA,NA,1,0.6363636363636364,0.032674208824083985,0.007513661559718926,0.020093935191901457,18.121427914651985,48.630402707261545,33.37591531095676,NA,1.4973690720175732,2.0815829582780507,1.5099201771398512,2.106796380153509,0.001,20,0.5,0.1,0
9,NA,NA,NA,0.8333333333333334,0.6666666666666666,0.025703432505224548,0.008161063277571866,0.016932247891398206,39.76698507426373,38.3864251731319,39.07670512369781,NA,1.2623212436865558,2.004560148327437,1.3494062285413855,2.0797448349330976,0.001,20,1,0.1,0
9,NA,NA,NA,0.5,0.3333333333333333,0.0303397163709745,0.023675469217858836,0.02700759279441667,29.491693168308654,72.44819014287162,50.96994165559014,NA,1.5291820097098496,2.1106177219704225,1.5300905547337433,2.112959045131305,0.001,20,1,0.1,0
10,NA,NA,NA,0.6666666666666666,0.4,0.021415462374125744,0.004867692061111808,0.013141577217618775,29.186998671958023,34.73280080261734,31.95989973728768,NA,1.4425851560260154,2.183215593411122,1.4584715716771277,2.2061656560684404,0.001,20,1,0.1,0
11,NA,NA,NA,0.3333333333333333,0.18181818181818182,0.035802809165523086,0.021010786160361332,0.02840679766294221,41.28351807314145,64.97901612528445,53.13126709921295,NA,1.7024940321670883,1.99609230651435,1.7219266423302602,2.0268646090786446,0.001,20,1,0.1,0
11,NA,NA,NA,0.6666666666666666,0.36363636363636365,0.024703236896515275,0.030116821092273177,0.027410028994394226,22.019159132482255,64.80289094427303,43.411025038377645,NA,1.6574317596434256,2.0535242284316557,1.6702443328914232,2.0683508122797907,0.001,20,1,0.1,0
7,NA,NA,NA,0.8333333333333334,0.7142857142857143,0.007109549423270685,0.0038208875509272385,0.005465218487098962,5.795372035060757,23.641827231738045,14.718599633399402,NA,1.2406656220043335,2.191839569209008,1.244474722020985,2.196376595298941,0.001,20,2,0.1,0
8,NA,NA,NA,1,0.75,0.018502698305298788,0.00556891982638307,0.012035809065840928,6.79682944553432,23.64774835294909,15.222288899241706,NA,1.4562840126894778,2.29357222161326,1.8870363775575332,2.616425557518248,0.001,20,2,0.1,0
7,NA,NA,NA,0.8333333333333334,0.7142857142857143,0.016947713154669385,0.0026773880461209293,0.009812550600395157,37.53450765805726,23.35544446805822,30.444976063057737,NA,1.5254627004922405,2.3434513870827507,1.5250657245820456,2.3444445333019672,0.001,20,2,0.1,0
7,NA,NA,NA,0.8333333333333334,0.7142857142857143,0.025699929969733974,0.015950164077425787,0.02082504702357988,21.19655417823153,44.93837080309039,33.06746249066096,NA,1.7553427729470334,2.230842077370731,1.7550843870880282,2.2307734719504126,0.001,20,2,0.1,0
6,NA,NA,NA,1,1,0.0026922210365427244,0.002965147246914929,0.0028286841417288267,1.8772373823252382,21.79881237768068,11.838024880002958,0.9830114131831994,1.4015162449997054,2.3086788671125418,1.401511354106075,2.3090114610474686,0.001,20,2,0.1,0
18,NA,NA,NA,1,0.8333333333333334,0.025160767749220363,0.004481401290345391,0.014821084519782878,21.515215068141572,76.50563338910865,49.01042422862511,NA,1.2188709260452433,1.9397435183250944,1.2270407503170255,1.9544856149346772,0.001,20,0.1,0.5,0
19,NA,NA,NA,1,0.7894736842105263,0.024441666695955842,0.005157609703069808,0.014799638199512825,23.384849454688958,109.71604490871637,66.55044718170267,NA,1.4870046409755757,2.093340003062878,1.4882495878530995,2.1078799825637593,0.001,20,0.1,0.5,0
19,NA,NA,NA,1,0.631578947368421,0.02481100769844453,0.004918121521781547,0.014864564610113038,24.0442251920683,100.03700389124785,62.04061454165807,NA,1.5011194897037285,2.145608672150802,1.5048814299567375,2.1625374869207357,0.001,20,0.1,0.5,0
19,NA,NA,NA,1,0.8421052631578947,0.02596973035014894,0.005666704955749089,0.015818217652949017,29.729804353498576,117.31827474223084,73.5240395478647,NA,1.6159773292492126,2.0564796839805046,1.626319118082058,2.075424958416336,0.001,20,0.1,0.5,0
18,NA,NA,NA,1,0.7777777777777778,0.024110952945611774,0.003724547729166688,0.01391775033738923,20.105590223493845,84.32873334162028,52.21716178255706,NA,1.4092650988853277,2.095259061800465,1.430615564776116,2.1159628728786535,0.001,20,0.1,0.5,0
7,NA,NA,NA,1,0.8571428571428571,0.0069601915812872485,0.0032314596131967984,0.005095825597242023,6.539128628443884,15.005069141435412,10.772098884939648,NA,1.0588773405230836,2.028799504500689,1.0760986928413632,2.0424774135571164,0.001,20,0.5,0.5,0
9,NA,NA,NA,1,0.8888888888888888,0.020559101725184638,0.004067035258320404,0.01231306849175252,13.21803987641522,34.200512524337626,23.709276200376422,NA,1.3453407835126292,2.1954055330117006,1.429010859475336,2.254658888123821,0.001,20,0.5,0.5,0
8,NA,NA,NA,1,1,0.014094687411376986,0.00289049500504184,0.008492591208209412,17.87932238963331,18.87738719946492,18.378354794549114,NA,1.3240794022178135,2.2381803981097974,1.3518600875519429,2.279160642468847,0.001,20,0.5,0.5,0
7,NA,NA,NA,1,0.8571428571428571,0.00463885871779003,0.00263954569331043,0.00363920220555023,0.8573685628713421,16.364952694641186,8.611160628756265,NA,1.3267239585266928,2.181800439865054,1.3266959681962474,2.182287725342966,0.001,20,0.5,0.5,0
8,NA,NA,NA,1,0.75,0.008168103100865324,0.002920625672774646,0.005544364386819985,6.988062549455038,17.666529483395106,12.327296016425072,NA,1.2409228164664856,2.198903300145998,1.2408016869885043,2.20478181434122,0.001,20,0.5,0.5,0
6,NA,NA,NA,1,1,0.0016623152314636331,0.002924782207624026,0.0022935487195438293,1.2703330171011025,15.74289377546015,8.506613396280626,0.9925313467697684,1.053929708794415,2.0672851083702097,1.0537495093796834,2.067976724937121,0.001,20,1,0.5,0
7,NA,NA,NA,1,0.8571428571428571,0.005733456299949288,0.0031317425403040626,0.004432599420126675,7.216815774264061,27.627735224537563,17.42227549940081,NA,1.301847416427196,2.22670478624957,1.309450287488609,2.239327268720195,0.001,20,1,0.5,0
