Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,rmse_Lambda_filter,rmse_Counts_filter,epsilon,Kused,a,alpha,overdispersion
16,NA,NA,NA,0.6666666666666666,0.3125,0.04740021007148124,0.020147633381054814,0.03377392172626803,25.409473619450264,72.16989609134052,48.78968485539539,NA,4.99286940237478,2.6308802425944418,4.993176796168065,2.642769569138371,0.001,20,0.1,0.01,0.15
17,NA,NA,NA,0.6666666666666666,0.35294117647058826,0.05168414369109086,0.012675592248429516,0.03217986796976019,21.220374815256196,86.47279241745635,53.84658361635627,NA,6.010946354462152,3.1903028710035612,6.012286120822371,3.199810658466867,0.001,20,0.1,0.01,0.15
18,NA,NA,NA,0.8333333333333334,0.2777777777777778,0.05625070482357192,0.01760288164015799,0.03692679323186496,14.631208160854055,66.11092963084204,40.37106889584805,NA,9.238307005535237,2.7643967775491274,9.241760550783281,2.7743201260715202,0.001,20,0.1,0.01,0.15
19,NA,NA,NA,0.8333333333333334,0.2631578947368421,0.05578351273734617,0.014195605579787824,0.034989559158566996,11.66875058395751,68.67452563237342,40.17163810816546,NA,6.863171173862521,2.879378643957306,6.868637026874237,2.905455375786134,0.001,20,0.1,0.01,0.15
19,NA,NA,NA,0.6666666666666666,0.3157894736842105,0.0466896309014645,0.024909663301670867,0.03579964710156769,20.358675413358657,131.402804855925,75.88074013464184,NA,9.193279233956439,2.9640654852058272,9.169433309369397,3.0099885058955667,0.001,20,0.1,0.01,0.15
20,NA,NA,NA,0.6666666666666666,0.2,0.06012406773545834,0.009546016963284368,0.034835042349371355,18.438627724686366,67.1761204659493,42.80737409531783,NA,6.300315319640262,2.798128477421286,6.300265621200213,2.813333783528901,0.001,20,0.1,0.01,0.15
17,NA,NA,NA,0.5,0.23529411764705882,0.05875825106439639,0.00983859976942382,0.034298425416910104,31.257423179244146,69.44873049482767,50.35307683703591,NA,6.25415479953907,2.844635740650336,6.260584159779123,2.858696607717529,0.001,20,0.1,0.01,0.15
19,NA,NA,NA,0.5,0.21052631578947367,0.04941286939334946,0.030980001927290984,0.040196435660320225,21.90952013120868,106.41377142389318,64.16164577755093,NA,6.519871929058454,2.908504727382918,6.517727904581187,2.9255449220041507,0.001,20,0.1,0.01,0.15
18,NA,NA,NA,0.8333333333333334,0.3333333333333333,0.04990634986707597,0.011604863799311796,0.030755606833193883,13.48062590180365,63.02740940724483,38.25401765452424,NA,5.190661396896068,2.9678649280382494,5.186390846250941,2.988709051361651,0.001,20,0.1,0.01,0.15
18,NA,NA,NA,0.8333333333333334,0.3888888888888889,0.056035045922110956,0.014873014391962477,0.035454030157036714,17.3644911168461,76.13496976317933,46.74973044001271,NA,6.965812618784608,2.6267980339608235,6.963732899358711,2.643837105253581,0.001,20,0.1,0.01,0.15
17,NA,NA,NA,0.6666666666666666,0.29411764705882354,0.050361476586762335,0.013021419099145023,0.03169144784295368,30.05760766143721,70.6254693178639,50.34153848965056,NA,5.182834237650304,2.929727726023791,5.187273810753047,2.9452169931497663,0.001,20,0.1,0.01,0.15
19,NA,NA,NA,0.6666666666666666,0.2631578947368421,0.0481341440952179,0.011262546290504164,0.029698345192861034,15.893059502574467,76.94865621781103,46.420857860192754,NA,5.449273416211751,3.1481955891001183,5.452604958622376,3.1635036381078203,0.001,20,0.1,0.01,0.15
19,NA,NA,NA,0.8333333333333334,0.2631578947368421,0.061202210651957405,0.012887346509357227,0.037044778580657314,13.748186129176592,87.63802182404142,50.693103976609,NA,6.665505405346995,2.8233540824074845,6.676067987593257,2.831220061181614,0.001,20,0.1,0.01,0.15
18,NA,NA,NA,0.5,0.2222222222222222,0.05709515020043153,0.014532650049645822,0.03581390012503868,29.083576694956108,68.21055089375378,48.64706379435494,NA,5.815718690902858,2.6225502398389797,5.816324421973712,2.63067949040647,0.001,20,0.1,0.01,0.15
20,NA,NA,NA,0.8333333333333334,0.35,0.049999267070052866,0.01651346874239755,0.03325636790622521,22.193890323775125,123.97487871148658,73.08438451763085,NA,8.13877291332329,3.176154493353089,8.14060107251593,3.1889177907286883,0.001,20,0.1,0.01,0.15
18,NA,NA,NA,0.8333333333333334,0.3333333333333333,0.05760366504766116,0.01462112719429804,0.0361123961209796,15.21649323682293,78.62970830610037,46.92310077146165,NA,6.955751992362127,2.928182120785718,6.9580484273143774,2.940292610774451,0.001,20,0.1,0.01,0.15
17,NA,NA,NA,0.8333333333333334,0.35294117647058826,0.05309555327928458,0.012786617148259304,0.03294108521377194,13.427074781234886,83.02002727951698,48.22355103037593,NA,5.568873396757595,2.837540272097786,5.573717732444822,2.8493005929911024,0.001,20,0.1,0.01,0.15
19,NA,NA,NA,0.8333333333333334,0.3157894736842105,0.05252494757853283,0.024745956594144497,0.03863545208633866,22.193285090561602,137.7816294492339,79.98745726989775,NA,9.327728683065986,3.37583153811917,9.3425980899224,3.3923566844430515,0.001,20,0.1,0.01,0.15
18,NA,NA,NA,0.6666666666666666,0.3333333333333333,0.05007028867178748,0.012270010070758973,0.031170149371273225,15.792207906272454,82.51828156533799,49.15524473580522,NA,5.420842987360058,2.5658778575309094,5.427986857967914,2.57990766695223,0.001,20,0.1,0.01,0.15
20,NA,NA,NA,1,0.35,0.05600248047728868,0.010983113256275163,0.03349279686678192,23.56265967268798,111.3800906109071,67.47137514179754,NA,7.850750853223618,2.778349226014503,7.882598839207157,2.7910207957795015,0.001,20,0.1,0.01,0.15
20,NA,NA,NA,0.6666666666666666,0.2,0.053934118815741346,0.012521899018260353,0.03322800891700085,18.51550104804838,67.99144408873218,43.25347256839028,NA,5.142061846068966,2.866999932890099,5.145006885279939,2.8833028863459758,0.001,20,0.1,0.01,0.15
18,NA,NA,NA,0.5,0.16666666666666666,0.055876746886507775,0.009996181823841346,0.03293646435517456,25.2839816063812,78.6846336252556,51.9843076158184,NA,6.049224334121214,3.112196259164453,6.0621354489819135,3.118079684404212,0.001,20,0.1,0.01,0.15
19,NA,NA,NA,0.5,0.21052631578947367,0.05240519961908954,0.012248824535484665,0.0323270120772871,32.016327527493075,108.31318493943226,70.16475623346267,NA,6.510167278369644,2.9402684878765255,6.5110453768119925,2.957260706102388,0.001,20,0.1,0.01,0.15
18,NA,NA,NA,0.6666666666666666,0.2777777777777778,0.05507245476776562,0.010255352476312695,0.03266390362203916,30.603292147865815,91.7947911752818,61.19904166157381,NA,6.381852481477004,3.3528109869752627,6.386774109080978,3.3638984807155357,0.001,20,0.1,0.01,0.15
20,NA,NA,NA,0.6666666666666666,0.3,0.059337424709508826,0.009922449816352322,0.03462993726293057,20.285307182385633,102.57652036453388,61.43091377345976,NA,5.572667040846868,2.8854692662170702,5.57003043731755,2.900935705317863,0.001,20,0.1,0.01,0.15
18,NA,NA,NA,0.6666666666666666,0.2777777777777778,0.05840502786027872,0.017065406670184736,0.03773521726523173,26.798285047351907,89.10442035358832,57.95135270047012,NA,5.937929433605992,2.686665161040603,5.938631114368513,2.6956074340241094,0.001,20,0.1,0.01,0.15
19,NA,NA,NA,0.8333333333333334,0.3157894736842105,0.054895859032499335,0.011746894509661947,0.033321376771080644,17.163868225928436,73.93437326897224,45.54912074745034,NA,5.4543696472399414,2.526728074985023,5.4536025592259305,2.541632549809803,0.001,20,0.1,0.01,0.15
17,NA,NA,NA,0.8333333333333334,0.29411764705882354,0.05042671557404008,0.01046319306857889,0.030444954321309486,10.066163072142434,47.62862201044768,28.847392541295058,NA,5.324563082060447,3.225558594237396,5.322671720452625,3.2398811285371036,0.001,20,0.1,0.01,0.15
20,NA,NA,NA,0.5,0.25,0.05755764256123828,0.012971176020162692,0.03526440929070049,27.497979428004992,100.3848948006124,63.9414371143087,NA,6.7227695392181035,2.7205769067605172,6.711319200268175,2.737600045900339,0.001,20,0.1,0.01,0.15
15,NA,NA,NA,1,0.5333333333333333,0.05255465974176818,0.01495912284586338,0.03375689129381578,32.23437787783856,104.29885492416324,68.2666164010009,NA,6.263523392683402,2.644866567321766,6.266097553504818,2.654179472510196,0.001,20,0.1,0.01,0.15
17,NA,NA,NA,0.8333333333333334,0.29411764705882354,0.047286879700226554,0.010190809256553026,0.02873884447838979,14.74856546202814,89.68510162143684,52.21683354173249,NA,9.042900435051367,3.0851041452692742,9.044303826018945,3.096771217587225,0.001,20,0.1,0.01,0.15
18,NA,NA,NA,0.6666666666666666,0.2222222222222222,0.05644074619256153,0.010667459890718916,0.03355410304164022,30.47597183566458,66.80422255584148,48.64009719575303,NA,5.209421372195425,3.6976834009345994,5.210606377290607,3.70833176995552,0.001,20,0.1,0.01,0.15
15,NA,NA,NA,0.8333333333333334,0.3333333333333333,0.05310697226692918,0.010031278347105304,0.03156912530701724,12.51105369777942,77.6887052423219,45.09987947005066,NA,6.182252870019704,3.0892747809832257,6.188814223515161,3.0980402103448164,0.001,20,0.1,0.01,0.15
20,NA,NA,NA,0.8333333333333334,0.3,0.05539982258974599,0.01171468828928629,0.03355725543951614,14.416607930410493,80.40719231447962,47.411900122445054,NA,6.3835765686212955,2.8861666724349693,6.383933049590824,2.9028348847636414,0.001,20,0.1,0.01,0.15
17,NA,NA,NA,0.8333333333333334,0.35294117647058826,0.05083875117865926,0.01546795607442825,0.03315335362654376,19.298819000550285,93.98258651043956,56.64070275549492,NA,6.572114362234668,3.032342551797947,6.571930678328944,3.041766464512832,0.001,20,0.1,0.01,0.15
20,NA,NA,NA,0.6666666666666666,0.25,0.04965400106356411,0.015377118100778976,0.03251555958217154,28.75979714857688,77.31244138928461,53.03611926893075,NA,5.072008416316727,2.99272919494525,5.079097675191703,3.009373323751374,0.001,20,0.1,0.01,0.15
19,NA,NA,NA,0.6666666666666666,0.21052631578947367,0.047528514059817235,0.02536924699845472,0.036448880529135974,18.538072234941737,95.92796898388187,57.2330206094118,NA,4.868319585980274,2.9064754016940175,4.867945920397333,2.919850864361032,0.001,20,0.1,0.01,0.15
17,NA,NA,NA,0.6666666666666666,0.35294117647058826,0.0498330817819435,0.021740488742903165,0.035786785262423335,29.873351008610964,111.7383632429047,70.80585712575783,NA,5.568137288036178,2.737637148948353,5.567774698741647,2.745377159511322,0.001,20,0.1,0.01,0.15
19,NA,NA,NA,0.6666666666666666,0.21052631578947367,0.05711124074977494,0.013239979194686597,0.035175609972230765,21.395718949424047,83.97542295394007,52.68557095168206,NA,6.291384080211864,3.050113364118648,6.289509635711334,3.064843819039531,0.001,20,0.1,0.01,0.15
19,NA,NA,NA,0.6666666666666666,0.21052631578947367,0.050042943918301906,0.01847979292319226,0.03426136842074708,30.755011882980106,110.8396286848653,70.7973202839227,NA,6.06635163879604,3.065953465486141,6.074325541464692,3.082436670845458,0.001,20,0.1,0.01,0.15
11,NA,NA,NA,0.6666666666666666,0.36363636363636365,0.0482816539696553,0.01388399179787468,0.03108282288376499,28.15244704174768,54.11587569465015,41.13416136819892,NA,4.27905676639414,3.284563840805274,4.2786821907511525,3.2897544310200906,0.001,20,0.5,0.01,0.15
12,NA,NA,NA,0.3333333333333333,0.16666666666666666,0.055944603972301235,0.02239240274769783,0.03916850335999953,42.325499810215184,71.43398052874623,56.87974016948071,NA,5.864513715400809,3.472243539280014,5.864747371363858,3.478890441797291,0.001,20,0.5,0.01,0.15
10,NA,NA,NA,0.6666666666666666,0.4,0.054521318015785206,0.021170716472111346,0.037846017243948274,21.385708655256845,53.168045547168674,37.27687710121276,NA,8.30069275257164,4.2696397256275205,8.471501586787062,4.300516181809992,0.001,20,0.5,0.01,0.15
12,NA,NA,NA,0.3333333333333333,0.16666666666666666,0.0453294283879791,0.02736402434446652,0.03634672636622281,31.44088828369732,72.70072515602565,52.07080671986149,NA,6.30124748482662,3.8298397639588173,6.301258736479142,3.833539039356017,0.001,20,0.5,0.01,0.15
12,NA,NA,NA,0.5,0.25,0.05551279978604521,0.02306637495328442,0.039289587369664813,16.170241447296743,81.71727740903796,48.943759428167354,NA,8.630700168450591,4.167612339667564,8.632310083209344,4.171109429089769,0.001,20,0.5,0.01,0.15
11,NA,NA,NA,0.5,0.2727272727272727,0.052369167921948054,0.015319010579691542,0.033844089250819796,29.707525342310756,58.73834792934831,44.222936635829534,NA,5.216347258579472,4.247587942848044,5.225232876653621,4.277550221598327,0.001,20,0.5,0.01,0.15
12,NA,NA,NA,0.3333333333333333,0.16666666666666666,0.05382609486518995,0.03298521037522886,0.04340565262020941,36.66634352929675,70.50410200398254,53.585222766639646,NA,5.81174109411046,3.2248320115330205,5.81277300768749,3.234466643064336,0.001,20,0.5,0.01,0.15
13,NA,NA,NA,0.5,0.23076923076923078,0.05390421707675241,0.02858155375221541,0.04124288541448391,30.92184854094406,76.12405750284515,53.52295302189461,NA,6.003230385320309,3.5487380662407753,5.9951393343745245,3.587516764929887,0.001,20,0.5,0.01,0.15
11,NA,NA,NA,0.3333333333333333,0.18181818181818182,0.03530396399212735,0.025415140560341845,0.0303595522762346,36.17081911134734,70.51891968019916,53.34486939577325,NA,4.631511231146061,3.975550994419056,4.632814287771222,3.9803398716351195,0.001,20,0.5,0.01,0.15
13,NA,NA,NA,0.5,0.23076923076923078,0.05766405055286455,0.010735338630925451,0.034199694591895,27.386218408587958,57.72421877127224,42.5552185899301,NA,6.417356278487518,3.1785438140329725,6.4191772608840765,3.1855617107249654,0.001,20,0.5,0.01,0.15
12,NA,NA,NA,0.6666666666666666,0.3333333333333333,0.042964886855756175,0.022247442559477023,0.0326061647076166,22.974286646791693,67.50950308149294,45.24189486414232,NA,4.562569154494239,3.804529334752013,4.560111426989931,3.9243717213831752,0.001,20,0.5,0.01,0.15
11,NA,NA,NA,0.5,0.2727272727272727,0.04514880892186232,0.010021301773165986,0.027585055347514154,33.33315587001983,64.9272787192899,49.13021729465487,NA,4.398679402496532,4.555592644856979,4.400405832534442,4.557889877843224,0.001,20,0.5,0.01,0.15
13,NA,NA,NA,0.5,0.23076923076923078,0.05489761219810132,0.019011431588957566,0.03695452189352944,32.905437520881996,78.43888740797058,55.67216246442629,NA,6.304716487655806,3.437681376882915,6.298265523913387,3.457182564937398,0.001,20,0.5,0.01,0.15
11,NA,NA,NA,0.6666666666666666,0.36363636363636365,0.05250280728988623,0.018372832292520035,0.03543781979120313,24.057984474585595,55.391607225899136,39.724795850242366,NA,5.2116755039909615,3.418090919743564,5.2123550084185455,3.425268971810543,0.001,20,0.5,0.01,0.15
13,NA,NA,NA,0.3333333333333333,0.15384615384615385,0.059902592387747956,0.0250820258774993,0.042492309132623626,45.98900074616082,81.84783952882638,63.9184201374936,NA,7.788143095845192,3.5580328163056953,7.786015166373889,3.5622393168555284,0.001,20,0.5,0.01,0.15
