Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,rmse_Lambda_filter,rmse_Counts_filter,epsilon,Kused,overdispersion
5,NA,NA,NA,0.8333333333333334,1,0.003520432195695606,0.011212881861322042,0.007366657028508824,19.303736758692928,54.325619928279444,36.814678343486186,NA,2.3349992269098094,3.018778436269892,2.8861597968942228,3.4958103329247248,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.0043815466178464615,0.006226697172064853,0.005304121894955657,31.725563083754075,52.27497373971343,42.00026841173376,NA,1.926944241311499,2.6320546209017706,1.927049352384124,2.6322028993282185,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.005667151465543347,0.006792882155040223,0.006230016810291785,32.770091601454205,54.32051675102239,43.5453041762383,NA,1.8500600964910356,2.743147958413485,1.8501457171509057,2.7432294717891756,0.001,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.007831362334377518,0.0064680883795540005,0.00714972535696576,39.51429446264056,69.39994755990183,54.4571210112712,NA,2.549015792706198,3.1674570130583004,2.5493751485757263,3.167844154832324,0.001,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.006833411702913588,0.00601475178489539,0.006424081743904488,50.05203952262351,70.91143469508162,60.48173710885257,NA,2.6085547542481695,3.151428991418084,2.6087271016573337,3.1517655208949846,0.001,5,0
7,0.0010319921272439255,0.0010123129555511426,0.0010478140059105448,1,1,0.016765806939111266,0.0031685248133213203,0.009967165876216292,19.642495185188153,38.70970119581766,29.176098190502906,NA,1.3605564274865505,2.2947088660278414,1.3601230548643122,2.296324218195289,0.001,10,0
7,9.833360546670023e-4,9.678991402574663e-4,9.938207402658222e-4,1,1,0.01585566859993841,0.004111496026760558,0.009983582313349485,6.435174570037502,20.60213288687975,13.518653728458627,NA,1.210861646244685,2.086928278663417,1.2828285070066976,2.14807951156749,0.001,10,0
7,0.0010113745175924806,9.8126962922005e-4,0.0010432282845340723,1,0.8571428571428571,0.006183161456900359,0.0029444703639498445,0.004563815910425102,3.0649465397076443,21.36585874483452,12.215402642271082,NA,1.150423711457162,2.242820911176449,1.1582640587329665,2.2474829873374516,0.001,10,0
6,0.0010132180799602934,9.92002421909343e-4,0.0010410690616144411,1,1,0.001923781860215832,0.0028851686686200964,0.002404475264417964,4.493626894023441,18.5576998674226,11.52566338072302,0.9928093490640056,1.2533071274417613,2.1080913574334827,1.2538500979215164,2.1082238128169153,0.001,10,0
7,0.0010015280721591795,9.908778636276198e-4,0.0010161321032283019,1,0.8571428571428571,0.007262418513382215,0.0032170748112891764,0.005239746662335696,2.2150753908553367,22.51248900849959,12.363782199677463,NA,1.2787058196050303,2.319675618687631,1.293350420137754,2.3297086630221697,0.001,10,0
9,0.00100935967819469,9.918225759946576e-4,0.001037163166635277,1,0.7777777777777778,0.014565224249540678,0.003289150555673427,0.008927187402607053,5.7828302900576185,25.259812092783356,15.521321191420487,NA,1.3533693165429197,2.222974442778966,1.3614395705206004,2.241110255484495,0.001,20,0
9,0.001006107521871268,9.75724205446276e-4,0.0010303063760676947,1,0.7777777777777778,0.013658188629745367,0.002696358731823664,0.008177273680784516,4.722253024866564,25.138248697996293,14.930250861431428,NA,1.3394137295153075,2.2833573714346076,1.3863276804318811,2.318262453714847,0.001,20,0
8,9.944880900038785e-4,9.638489396503003e-4,0.0010221698716067153,1,0.75,0.007735801001217801,0.004449005545205678,0.006092403273211739,15.054341246386159,48.093065453586036,31.573703349986097,NA,1.2901186669550273,2.2481619706094427,1.2906224841124967,2.250754878315899,0.001,20,0
8,9.953721190737162e-4,9.673076384740065e-4,0.0010399097966776855,1,0.75,0.01562730583760024,0.003482416304078044,0.009554861070839141,6.2678188599870515,23.83886162375866,15.053340241872856,NA,1.4397165766047462,2.3356721780242737,1.4691334592821574,2.370564204200695,0.001,20,0
9,0.0010027176319164608,9.815576295500545e-4,0.00102115747660703,1,0.8888888888888888,0.01731860596183684,0.004322190996214151,0.010820398479025495,38.05976328763426,37.81295198683525,37.93635763723476,NA,1.4191916920349679,2.2577207658127856,1.4268698290765989,2.2738091763266906,0.001,20,0
6,0.001003865304670425,9.771212144410043e-4,0.0010446571004950544,1,1,0.0025774380327162998,0.0027915106607698326,0.002684474346743066,2.7396569932734063,24.69586510231425,13.717761047793829,0.9929944832285498,1.2984853397655214,2.1817742522068815,1.2985406341579555,2.1822884825877327,0.001,30,0
7,0.0010139456239585355,9.642036475733136e-4,0.0010612574945124788,1,0.8571428571428571,0.005624589918326645,0.0027902821570326653,0.004207436037679655,3.15681048674078,21.117967785516555,12.137389136128668,NA,1.239100812201217,2.1886984988141815,1.239860834476031,2.190931956117533,0.001,30,0
8,0.0010073367270213968,9.602851961612842e-4,0.001049645849671043,1,0.875,0.016741722515353004,0.0039318331509822,0.010336777833167603,15.579571027792257,45.12640185136491,30.352986439578583,NA,1.5156298468304563,2.3206747131574175,1.5207275713601733,2.3242413960423796,0.001,30,0
9,9.935155109932507e-4,9.565629648064233e-4,0.0010227941856441544,1,0.6666666666666666,0.009565454268449545,0.003469365909653954,0.00651741008905175,10.726690409185897,20.48615187935914,15.60642114427252,NA,1.354534391809806,2.1971491446286784,1.3560460889536778,2.20075998774657,0.001,30,0
8,0.0010000136231359475,9.539250409570251e-4,0.0010477993190735986,1,0.75,0.007038525188980083,0.0034386054144275933,0.005238565301703838,2.3041111976075315,22.42199381902892,12.363052508318226,NA,1.3394985862873876,2.144770652037251,1.3477077304503335,2.148708904355191,0.001,30,0
7,0.0010108424954245853,9.709447954226369e-4,0.0010569086647367397,1,0.8571428571428571,0.00514903975203219,0.0030205374364518315,0.00408478859424201,1.315268777077917,19.865303748852916,10.590286262965417,NA,1.4143664431040188,2.156820536723607,1.4144541013418876,2.15755649442203,0.001,40,0
10,0.0010036384458390456,9.562938385328152e-4,0.0010484756896279558,1,0.7,0.018388834643319946,0.0032473283253232764,0.01081808148432161,8.177308959603351,29.742030330143418,18.959669644873387,NA,1.3006818794089943,2.223631397088369,1.3523347071388716,2.2780945773282246,0.001,40,0
8,0.0010004061672111543,9.61991035601797e-4,0.0010433154505484685,1,0.75,0.006362360727323289,0.0024136006366315393,0.004387980681977414,0.2606140748121759,21.645725690692622,10.953169882752398,NA,1.2886678424973383,2.1507632986126226,1.2888947422260806,2.1511515230267775,0.001,40,0
7,9.949281356307865e-4,9.583939996893039e-4,0.0010298023795119818,1,1,0.016564334663698492,0.0027805628382120205,0.009672448750955256,9.429391873511173,22.323184775532702,15.876288324521937,NA,1.2041533601311785,2.17606713908497,1.2550539604120945,2.1980344437158994,0.001,40,0
7,9.97603801211709e-4,9.68964771646372e-4,0.0010268134429571155,1,0.8571428571428571,0.0051443097183377405,0.002961431929152074,0.0040528708237449074,2.865237530485134,20.83727851880503,11.851258024645082,NA,1.4191800763854903,2.2922990673955908,1.4190966746317382,2.2925952533991367,0.001,40,0
8,0.0010000439833207691,9.518053379588986e-4,0.0010414281955820372,1,0.75,0.007137448282917027,0.003366319186948955,0.005251883734932991,1.4572777799381411,24.535556755067713,12.996417267502927,NA,1.2945352141033681,2.2286318410453436,1.2942650690679278,2.2309025839617695,0.001,50,0
7,9.962508478371214e-4,9.612856993706998e-4,0.0010375252556205417,1,0.8571428571428571,0.006371703844813042,0.0038738951298247296,0.005122799487318886,15.099482957112874,35.838318958203224,25.46890095765805,NA,1.321487167846632,2.197857808154159,1.320295770467122,2.1991676336130346,0.001,50,0
6,9.9922371435449e-4,9.678449014051379e-4,0.0010299034628411348,1,1,0.0023846709015085434,0.003234133853646199,0.002809402377577371,2.649272829439267,20.81610753853689,11.732690183988078,0.9905229519701111,1.2447391150255793,2.1988667724027087,1.2448401859184448,2.1992765632247537,0.001,50,0
9,0.0010006657027538542,9.635035117544273e-4,0.001036691787614642,1,0.7777777777777778,0.017599977995326855,0.0033304429354785257,0.010465210465402691,32.39705957465348,40.073627948594066,36.235343761623774,NA,1.4078131265052607,2.1906767352881116,1.4103773507814419,2.194478040458733,0.001,50,0
6,0.0010022646085979295,9.57578868979414e-4,0.0010407378398828734,1,1,0.002193610149615867,0.0030346052808668017,0.002614107715241334,1.3311344916714534,18.76528224172422,10.048208366697835,0.9889593777833592,1.4018554698010868,2.065725246512699,1.4016522795549566,2.0660880606685494,0.001,50,0
5,NA,NA,NA,0.6666666666666666,0.8,0.006893398989879205,0.005890923591567871,0.006392161290723538,43.71952540876414,66.05285908451003,54.88619224663709,NA,2.574302511092711,3.0122082267325982,2.574316215635147,3.0123517518025307,0.01,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.01973265163820219,0.004986134140692652,0.01235939288944742,72.07899920268983,23.52659149955658,47.80279535112321,NA,3.075659988444425,3.381582165189143,3.075748644548531,3.381846037004061,0.01,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.007369592603573884,0.005670264226370672,0.006519928414972278,43.51697597651339,63.49794722994193,53.50746160322766,NA,2.196431079390446,2.8627517761648122,2.196573694004585,2.8627369813501335,0.01,5,0
5,NA,NA,NA,0.8333333333333334,1,0.0062850577602671775,0.006402198991126585,0.006343628375696881,49.980268574910085,69.58981159140562,59.78504008315785,NA,2.3380876101684307,3.0592003453490006,2.3402535455148024,3.0613700439130014,0.01,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.00925804844374788,0.006637694081472121,0.00794787126261,42.22458879271821,67.51312148823067,54.86885514047444,NA,2.0798523034700773,2.7993889974605857,2.0817481978403523,2.8008335409528344,0.01,5,0
8,0.010125852825811882,0.010050509513391323,0.010201196138232442,1,0.75,0.009097167688085531,0.0031348698938815592,0.006116018790983545,7.6593024902631255,27.93100924315295,17.795155866708036,NA,1.4166751863437088,2.3689576594232213,1.4185124511281633,2.3794470456639187,0.01,10,0
8,0.010039012388460604,0.0099178840084182,0.010160140768503008,1,0.75,0.014523968349527074,0.0036056199143360834,0.009064794131931578,33.820671060706765,21.015185084174107,27.417928072440436,NA,1.2917191803885095,2.092892895092221,1.2944720981964752,2.0990701971041728,0.01,10,0
8,0.010077652677943395,0.00994315835862076,0.010212146997266029,1,0.75,0.012647391366441524,0.0028734868513043614,0.007760439108872943,43.17003241279501,18.038949162771814,30.604490787783412,NA,1.3258561743520163,2.3037562544850254,1.3282654273661312,2.308793498130699,0.01,10,0
7,0.011917630776414717,0.010199573297975766,0.013297226498184917,1,0.8571428571428571,0.005691554289289965,0.0035066255107181078,0.004599089900004036,1.289813416066528,25.60772942633232,13.448771421199424,NA,1.1521737244086823,2.222957398644773,1.1526221057586679,2.2231329699188267,0.01,10,0
7,0.009877930625407538,0.009581651938342324,0.010150461903711402,1,0.8571428571428571,0.004882374510202064,0.0031165516310828322,0.0039994630706424485,5.172587876277202,20.981662156621958,13.07712501644958,NA,1.2602867699341715,2.168274504887893,1.2596349404301281,2.1688281117434776,0.01,10,0
6,0.01009740333246501,0.009822381256735737,0.010450185467865926,1,1,0.001582993921413148,0.0033145456816110327,0.00244876980151209,1.583748672614608,23.295165612224668,12.439457142419638,0.9907240250738869,1.3658521262280037,2.21416353361874,1.365736198615548,2.2145206869059453,0.01,20,0
9,0.010130825998880634,0.009710123592858666,0.0107159829136127,1,0.6666666666666666,0.01632370219519293,0.003817989647357737,0.010070845921275334,17.034017474241068,32.717882154370855,24.87594981430596,NA,1.396680454631478,2.196235525765681,1.4157718237583852,2.2169779583868072,0.01,20,0
7,0.010000342266178538,0.00972256924163123,0.010429527650666244,1,0.8571428571428571,0.006434632420605796,0.003195367812251481,0.004815000116428638,0.9832272395053476,26.48558289289089,13.734405066198118,NA,1.3407100795619808,2.342922355238391,1.340486588850945,2.3433847883432803,0.01,20,0
8,0.009986240370107351,0.00966303745334134,0.010349204412652272,1,0.875,0.010733286174435657,0.004562891635288872,0.007648088904862264,3.566138794565238,20.061385720826337,11.813762257695787,NA,1.261841875360694,2.1232496483428687,1.3179744549480945,2.1577047473321502,0.01,20,0
