Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,rmse_Lambda_filter,rmse_Counts_filter,epsilon,Kused,overdispersion
5,NA,NA,NA,0.6666666666666666,0.8,0.007278792190939892,0.006578456594167888,0.00692862439255389,31.905931329801014,56.69318688925662,44.299559109528815,NA,3.421090842594298,4.9098670146208185,3.421213054303315,4.910262083633698,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.004962575570740703,0.007285790894767823,0.006124183232754263,28.09437629879301,72.91767267102563,50.50602448490932,NA,4.198176488760837,6.1220146219171,4.198795563741132,6.122819371555494,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.004822334302333035,0.006084092443443125,0.00545321337288808,28.31244210240166,79.38637735571851,53.849409729060085,NA,6.994302341708602,5.967344125240562,6.99544135027257,5.967491681055421,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.005587581758822286,0.008102708378739092,0.006845145068780689,33.12096684324989,83.99600909122634,58.558487967238115,NA,5.087535707987476,6.114381785295079,5.08951716364276,6.116566862307055,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.007502579302145632,0.007470044849925471,0.007486312076035551,25.12445195445003,74.64487497487407,49.884663464662054,NA,6.396302643451491,6.838782097468973,6.39615967492253,6.839469315622279,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.005812154982131419,0.006829154869468169,0.006320654925799794,30.811855567737513,70.05690951261786,50.43438254017769,NA,3.9820320561185,6.2117009136106756,3.982305828995604,6.211984800904665,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.006878781925920489,0.006987740377769636,0.006933261151845062,21.319425337453275,70.13309886993378,45.72626210369353,NA,4.45713981983585,5.546728796223084,4.457519678126951,5.547392935661091,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.006063202825987403,0.007131608764195806,0.006597405795091604,36.128278686988786,69.10959998643968,52.618939336714234,NA,4.219351633701892,6.206233206478419,4.219895725739195,6.2066857570794,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.0038016295068286025,0.008696827882283868,0.006249228694556235,26.245871856609952,73.31704067181522,49.781456264212586,NA,4.212704765242624,5.15791801859168,4.213590681104999,5.159548753404476,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.016245099231637007,0.004547629908059091,0.010396364569848049,72.65768502029901,45.040150177523024,58.848917598911015,NA,5.007616919830065,5.923381921299152,5.008385149494627,5.924865670738843,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.0032027034194616693,0.00939975037087166,0.006301226895166665,22.644064259812517,77.13435462438048,49.8892094420965,NA,4.023753514521619,5.408400743641641,4.024415785639819,5.409265720930855,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.005259829743706705,0.007155969720527865,0.0062078997321172846,44.35781014069946,90.83994493155107,67.59887753612527,NA,4.364859580862539,5.567469999429662,4.3652832956535965,5.567940739612081,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.018572855006525068,0.004262388579059962,0.011417621792792515,76.44637432473154,46.35113443770646,61.398754381219,NA,5.207019517762286,6.052791400250306,5.2077087340707555,6.053421654923211,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.009273322769084966,0.006406254721987508,0.007839788745536237,30.888239715100674,66.27137851080768,48.57980911295418,NA,3.9425156165844126,5.396135899450701,3.9426194446879945,5.3970131430044725,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.0063617046501103,0.007618542616884973,0.006990123633497636,26.83355357426587,88.45400730444028,57.64378043935308,NA,5.941390477088897,6.75386814871614,5.941228871562699,6.7549288751063825,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.0060289738561630285,0.007322433049597278,0.006675703452880153,35.541674428867,88.7630009651889,62.152337697027946,NA,4.722905476109584,6.236837560500674,4.723556304079997,6.237474608184973,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.008348417183444102,0.0073741655024990175,0.00786129134297156,39.855702939673996,83.73811890129723,61.796910920485615,NA,3.959349942211438,5.693865014645523,3.9599394262711836,5.6942697137349105,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.005708123367599738,0.0072829348721622,0.006495529119880969,36.8512140354407,94.70737782789095,65.77929593166583,NA,6.414085470185007,8.105863421203072,6.414862314509871,8.106359122608307,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.0069225496735084,0.0071164320133762,0.0070194908434423,34.526082086458686,77.26255944562406,55.894320766041375,NA,4.110926419756936,5.016674553055092,4.111839572242213,5.01741966116305,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.004933808510637702,0.006775492259509483,0.005854650385073592,28.885701023621344,72.87016023406392,50.877930628842634,NA,4.88346795579256,7.273490574497797,4.8836216078960755,7.274495960066513,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.012819758141010704,0.011241480104198114,0.012030619122604409,69.6897788636383,62.72075038569354,66.20526462466592,NA,4.383549850915812,5.9644057619852315,4.386168365096391,5.966717833859843,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.005464624297188065,0.007728169479856594,0.0065963968885223295,30.918788711388967,81.55439306405728,56.236590887723125,NA,4.599378098180525,5.9080048957060125,4.600055553863314,5.908323184062141,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.004167764614177091,0.007699065749521307,0.005933415181849199,23.823479278086566,71.50498594065083,47.664232609368696,NA,4.528768831592482,6.06131094571553,4.52923064568467,6.062198760347226,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.0053521691594129155,0.0221524386725591,0.013752303915986006,4.506471161366009,85.937262323124,45.221866742245005,NA,6.852289372407411,7.576860300541295,6.853767765373834,7.578495308659527,0.001,5,0.15
5,NA,NA,NA,0.6666666666666666,0.8,0.006403894044237529,0.006772326859530062,0.0065881104518837955,34.94801745277697,67.45028100166861,51.19914922722279,NA,4.234820691805532,6.059826855699743,4.235168861381829,6.060358260621726,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.006310836120599094,0.005801222289775277,0.006056029205187186,32.16633267957415,69.62899441462666,50.89766354710041,NA,3.8373863761040257,5.917251283071122,3.837534557169966,5.917628508471793,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.006350783160660111,0.006884218981225503,0.006617501070942807,24.208294180505288,65.03594454414348,44.62211936232438,NA,4.05737275850331,5.41826057926812,4.05770937526235,5.418919253733907,0.001,5,0.15
5,NA,NA,NA,0.8333333333333334,1,0.004678998385385389,0.008381309366220448,0.006530153875802918,31.435837450042953,72.99519055800728,52.21551400402512,NA,3.8606073001998182,5.100354016151596,3.860763878704669,5.1010077811735455,0.001,5,0.15
