Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	14	1	9	9	39	14	0	12	0	6	0	0
V2	188	12	60	6	6	31	4	11	0	0	0	8
V3	26	52	0	2	33	17	35	10	62	0	0	0
V4	31	0	11	4	27	37	11	36	0	20	0	0
V5	0	302	2	0	34	2	17	5	34	0	13	34
V6	0	3	116	0	0	16	3	1	0	0	1	0
V7	56	174	48	16	25	0	14	13	24	0	0	64
V8	26	46	10	6	3	41	2	12	11	0	0	7
V9	264	0	33	5	80	0	88	0	0	7	3	4
V10	37	72	130	9	2	0	0	0	5	1	0	36
V11	88	10	0	37	45	12	1	3	4	16	0	20
V12	13	114	237	3	3	9	0	7	3	0	0	5
V13	53	2	0	33	77	6	6	8	7	25	0	0
V14	17	51	1	50	38	27	24	101	0	0	0	0
V15	67	7	59	9	11	6	14	7	2	45	0	25
V16	58	26	113	11	0	3	0	0	0	9	0	9
V17	47	20	18	2	13	9	0	1	17	0	45	17
V18	10	26	11	19	56	1	20	0	3	0	13	0
V19	13	19	11	7	14	64	16	157	0	5	0	0
V20	29	0	3	1	46	0	26	0	18	21	0	0
V21	9	84	203	80	28	4	30	0	0	0	215	0
V22	9	138	37	41	0	18	0	6	14	0	18	0
V23	128	103	9	18	84	10	252	11	0	0	4	0
V24	102	349	94	13	153	121	19	134	0	74	0	12
V25	36	228	81	4	24	45	0	70	23	7	2	0
V26	531	23	0	13	12	43	1	40	0	38	11	0
V27	1	142	56	0	6	37	7	83	4	15	0	0
V28	3	44	28	9	25	83	13	31	20	24	0	0
V29	35	0	187	32	33	0	37	1	36	0	11	0
V30	26	0	173	32	2	41	7	35	0	13	11	0
V31	46	19	18	0	3	4	8	3	0	6	0	24
V32	60	9	12	31	12	45	71	25	0	67	0	0
V33	0	24	4	18	9	2	0	0	0	0	0	11
V34	0	59	4	18	3	4	0	6	0	5	0	0
V35	41	104	4	0	2	1	0	13	16	7	0	16
V36	0	35	20	0	54	19	6	16	0	5	2	2
V37	73	41	2	51	7	1	0	0	21	4	0	0
V38	217	0	15	3	0	3	4	0	1	0	0	25
V39	75	330	70	36	12	8	23	1	14	0	0	0
V40	72	54	0	107	17	0	86	24	71	0	36	0
V41	12	50	6	71	3	9	1	3	6	0	10	0
V42	83	15	5	4	29	28	15	1	9	11	0	21
V43	51	18	51	176	16	2	5	0	10	0	0	0
V44	29	104	8	39	102	17	41	0	33	20	4	0
V45	46	274	54	3	54	30	26	16	0	23	0	0
V46	64	6	223	4	8	19	8	16	7	22	4	0
V47	241	151	0	0	0	3	1	5	50	0	0	0
V48	20	0	33	42	38	11	20	38	0	2	0	2
V49	5	26	16	0	38	28	53	66	17	0	0	0
V50	1	373	3	7	44	0	35	3	26	0	0	0
V51	2	10	23	25	29	0	7	10	46	0	0	0
V52	1	60	0	12	3	1	10	0	8	0	2	8
V53	0	0	33	89	18	90	0	59	5	0	25	0
V54	0	56	3	0	10	0	5	33	10	0	2	51
V55	331	8	96	3	13	1	0	22	0	0	0	0
V56	25	32	2	49	175	57	29	8	0	0	35	0
V57	160	5	138	9	0	0	0	1	5	11	11	0
V58	27	13	40	14	178	0	75	2	0	62	0	0
V59	0	16	18	70	2	7	0	3	0	0	0	1
V60	29	51	33	3	9	0	17	0	0	0	0	38
V61	20	3	47	5	13	1	4	1	0	5	19	0
V62	0	221	57	4	15	0	13	0	18	1	0	0
V63	13	7	0	25	109	7	67	0	3	0	0	0
V64	48	61	7	0	15	48	5	52	0	54	6	0
V65	38	70	14	63	0	10	12	16	6	8	0	30
V66	79	16	26	13	6	0	0	0	14	32	6	9
V67	222	28	2	9	56	2	42	2	6	2	0	0
V68	61	6	32	13	0	7	3	8	6	0	0	0
V69	28	0	113	7	5	21	3	16	0	0	3	0
V70	334	0	0	155	32	12	2	14	0	0	90	0
V71	7	0	4	15	11	31	6	30	0	6	9	0
V72	35	9	0	64	0	0	0	0	0	0	23	0
V73	0	155	7	0	19	20	16	5	0	6	2	0
V74	35	51	55	49	0	0	0	3	2	0	36	0
V75	58	6	34	34	47	0	0	0	13	10	20	0
V76	7	98	7	0	26	3	53	6	13	8	0	7
V77	96	75	112	53	18	1	20	1	0	0	0	10
V78	40	38	1	114	25	47	61	29	0	57	62	0
V79	6	1	468	87	22	7	7	25	0	5	0	0
V80	167	71	2	9	0	85	6	164	0	0	11	88
V81	3	10	179	92	7	1	21	18	0	0	0	0
V82	198	73	42	0	7	0	6	0	24	3	0	2
V83	7	42	49	759	0	17	0	19	0	0	57	0
V84	10	174	126	21	71	11	0	16	38	5	5	0
V85	5	40	21	11	16	0	0	0	10	5	14	0
V86	11	76	90	2	3	0	0	0	0	4	2	26
V87	5	18	73	0	22	26	4	8	0	11	3	0
V88	233	50	11	3	6	23	8	8	15	1	0	21
V89	0	6	79	1	30	7	17	8	16	4	0	0
V90	0	2	32	5	48	114	17	10	12	0	0	0
V91	81	3	50	8	5	50	0	5	3	3	7	0
V92	119	2	1	8	0	6	1	5	0	1	0	0
V93	2	6	4	43	55	5	35	1	15	10	26	0
V94	16	224	9	324	0	0	0	0	0	7	0	67
V95	467	35	14	45	0	0	0	4	22	26	0	61
V96	35	5	11	0	14	5	22	7	14	5	1	0
V97	144	10	0	50	4	0	4	0	0	15	0	0
V98	6	21	4	43	56	133	33	11	36	49	2	0
V99	5	31	47	2	0	43	2	0	0	0	0	14
V100	12	258	0	0	14	3	6	3	21	5	0	0
