MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	0.00E+00	7.80E-08	2.03E-08	2.00E-03	2.14E-02	1.45E-02	4.35E-07	2.80E-03	1.47E-02	5.15E-03	3.55E-02	1.05E-02	4.17E-02	4.66E-02	4.85E-03	1.18E-03
1:Del:C:1	0.00E+00	2.97E-04	1.82E-04	1.40E-04	1.38E-02	1.40E-02	1.47E-03	5.83E-03	5.36E-04	1.13E-02	0.00E+00	1.40E-02	2.31E-02	1.39E-02	1.88E-02	3.84E-03
1:Del:C:2	0.00E+00	3.47E-04	2.78E-07	0.00E+00	1.47E-04	6.39E-04	1.23E-03	2.64E-03	1.93E-03	1.39E-03	1.77E-03	0.00E+00	2.41E-03	1.46E-04	1.82E-03	5.86E-03
1:Del:C:3	2.40E-04	9.43E-04	0.00E+00	2.90E-04	1.64E-03	4.65E-03	2.31E-03	6.24E-04	2.38E-03	1.40E-46	7.83E-03	6.32E-03	5.56E-03	3.81E-03	7.06E-03	6.72E-03
1:Del:C:4	3.36E-04	7.48E-04	7.77E-05	0.00E+00	2.20E-03	1.00E-03	0.00E+00	3.07E-03	6.72E-04	1.36E-04	0.00E+00	2.00E-02	7.65E-03	2.26E-03	6.15E-03	3.71E-03
1:Del:C:5	1.31E-04	5.05E-03	2.69E-05	0.00E+00	9.15E-04	2.60E-04	1.77E-03	1.94E-03	1.30E-02	2.42E-03	2.24E-03	1.75E-02	4.45E-03	0.00E+00	5.39E-03	2.29E-02
1:Del:T:0	3.17E-04	1.37E-04	1.51E-03	0.00E+00	1.15E-14	2.35E-02	1.03E-02	4.55E-03	1.15E-02	1.15E-02	2.01E-02	2.23E-02	1.55E-02	1.59E-02	1.70E-02	1.17E-02
1:Del:T:1	0.00E+00	7.48E-04	0.00E+00	3.19E-04	4.08E-03	1.14E-02	2.57E-03	1.80E-03	1.10E-04	0.00E+00	3.77E-03	1.23E-03	3.26E-02	2.33E-02	0.00E+00	1.13E-02
1:Del:T:2	0.00E+00	1.22E-03	4.29E-04	7.75E-04	1.11E-02	2.22E-02	1.40E-46	1.55E-03	9.52E-04	2.23E-02	7.44E-03	1.43E-02	1.69E-02	1.94E-02	7.35E-03	1.36E-02
1:Del:T:3	4.54E-04	2.59E-03	3.03E-04	5.38E-04	1.55E-02	3.28E-02	2.80E-46	3.32E-03	1.97E-02	4.72E-03	9.87E-03	4.82E-02	1.76E-02	4.26E-02	1.59E-02	1.34E-02
