Samples	ID83A	ID83B	ID83C
V1	9.57E+00	9.97E+00	7.18E+00
V2	7.51E+00	8.95E+00	8.86E+00
V3	1.71E+01	2.09E+01	1.19E+01
V4	1.83E+01	1.99E+01	1.28E+01
V5	3.43E+01	7.90E+00	3.60E+01
V6	1.73E+01	2.09E+01	1.67E+01
V7	2.41E+01	7.04E+00	2.39E+01
V8	6.76E+00	7.99E+00	7.65E+00
V9	1.70E+01	2.38E+01	1.58E+01
V10	2.24E+01	2.27E+01	1.92E+01
V11	7.12E+00	1.01E+01	7.47E+00
V12	3.68E+01	4.12E+01	3.11E+01
V13	1.62E+01	1.95E+01	1.19E+01
V14	2.39E+01	2.89E+01	1.75E+01
V15	9.38E+00	7.79E+00	7.59E+00
V16	1.63E+01	2.08E+01	1.65E+01
V17	4.79E+00	2.86E+00	5.73E+00
V18	9.12E+00	1.12E+01	6.71E+00
V19	3.71E+01	3.90E+01	2.47E+01
V20	1.55E+01	1.65E+01	1.02E+01
V21	2.79E+01	4.09E+01	3.14E+01
V22	1.76E+01	7.39E+00	1.46E+01
V23	4.04E+01	5.10E+01	2.93E+01
V24	5.23E+01	6.31E+01	4.63E+01
V25	2.29E+01	1.53E+01	2.29E+01
V26	9.81E+00	1.70E+01	1.11E+01
V27	1.66E+01	1.65E+01	1.59E+01
V28	2.13E+01	2.38E+01	1.58E+01
V29	2.72E+01	3.03E+01	2.54E+01
V30	2.45E+01	2.74E+01	2.39E+01
V31	3.97E+00	3.43E+00	4.16E+00
V32	2.62E+01	2.99E+01	1.92E+01
V33	4.90E+00	3.22E+00	3.91E+00
V34	6.57E+00	2.78E+00	6.10E+00
V35	1.20E+01	4.23E+00	1.27E+01
V36	1.15E+01	1.30E+01	9.29E+00
V37	9.28E+00	7.97E+00	7.08E+00
V38	2.38E+00	2.80E+00	2.90E+00
V39	3.58E+01	1.10E+01	3.10E+01
V40	2.37E+01	2.76E+01	1.90E+01
V41	1.34E+01	1.22E+01	1.09E+01
V42	1.07E+01	1.31E+01	7.47E+00
V43	2.33E+01	2.99E+01	2.22E+01
V44	1.95E+01	2.53E+01	1.65E+01
V45	2.55E+01	1.36E+01	2.70E+01
V46	3.49E+01	3.78E+01	3.15E+01
V47	1.74E+01	9.00E-01	1.75E+01
V48	1.46E+01	1.40E+01	9.35E+00
V49	2.87E+01	2.99E+01	1.85E+01
V50	3.74E+01	7.06E+00	3.87E+01
V51	8.13E+00	9.11E+00	6.24E+00
V52	8.23E+00	3.07E+00	8.12E+00
V53	2.18E+01	2.36E+01	1.74E+01
V54	9.40E+00	8.77E+00	1.11E+01
V55	1.24E+01	1.44E+01	1.11E+01
V56	3.68E+01	4.29E+01	2.65E+01
V57	1.97E+01	2.53E+01	2.01E+01
V58	4.00E+01	4.28E+01	2.76E+01
V59	9.54E+00	1.01E+01	8.15E+00
V60	7.86E+00	5.65E+00	7.48E+00
V61	7.97E+00	8.32E+00	6.52E+00
V62	2.63E+01	9.54E+00	2.25E+01
V63	2.80E+01	3.14E+01	1.68E+01
V64	1.98E+01	2.24E+01	1.60E+01
V65	1.11E+01	8.96E+00	9.57E+00
V66	4.55E+00	4.99E+00	5.17E+00
V67	9.87E+00	1.39E+01	8.53E+00
V68	4.44E+00	5.21E+00	5.00E+00
V69	1.60E+01	1.99E+01	1.66E+01
V70	2.58E+01	2.98E+01	2.39E+01
V71	1.29E+01	1.37E+01	9.57E+00
V72	1.18E+01	1.43E+01	1.06E+01
V73	1.33E+01	6.74E+00	1.48E+01
V74	1.24E+01	1.36E+01	1.02E+01
V75	6.80E+00	8.45E+00	7.21E+00
V76	1.19E+01	1.33E+01	1.01E+01
V77	1.77E+01	1.84E+01	1.36E+01
V78	2.78E+01	3.26E+01	2.05E+01
V79	6.67E+01	8.63E+01	6.72E+01
V80	3.40E+01	4.38E+01	2.76E+01
V81	2.46E+01	3.50E+01	2.59E+01
V82	1.07E+01	7.05E+00	8.75E+00
V83	1.22E+02	1.36E+02	1.08E+02
V84	2.13E+01	1.54E+01	2.08E+01
V85	4.96E+00	4.05E+00	5.03E+00
V86	1.79E+01	1.63E+01	1.46E+01
V87	1.18E+01	1.02E+01	1.07E+01
V88	6.45E+00	7.00E+00	8.57E+00
V89	1.48E+01	1.29E+01	1.23E+01
V90	2.74E+01	2.71E+01	1.78E+01
V91	7.78E+00	7.25E+00	8.26E+00
V92	8.70E-01	1.34E+00	1.54E+00
V93	1.68E+01	1.91E+01	8.79E+00
V94	6.40E+01	5.64E+01	4.99E+01
V95	1.11E+01	6.67E+00	9.53E+00
V96	7.16E+00	7.97E+00	6.35E+00
V97	7.09E+00	8.03E+00	6.15E+00
V98	4.39E+01	4.98E+01	2.79E+01
V99	7.24E+00	6.13E+00	7.44E+00
V100	2.72E+01	2.70E+00	2.74E+01
