Samples	ID83A	ID83B	ID83C	ID83D
V1	75	1	16	12
V2	34	18	203	71
V3	123	80	34	0
V4	124	0	40	13
V5	48	395	0	0
V6	0	2	0	138
V7	47	276	65	46
V8	58	66	31	9
V9	155	2	294	33
V10	0	105	37	150
V11	98	27	104	7
V12	0	125	8	261
V13	143	4	63	7
V14	212	64	22	11
V15	43	29	96	84
V16	0	35	60	134
V17	49	46	62	32
V18	98	32	11	18
V19	255	21	18	12
V20	100	2	41	1
V21	144	132	11	366
V22	30	183	12	56
V23	319	141	159	0
V24	443	429	124	75
V25	115	285	40	80
V26	86	25	601	0
V27	108	182	3	58
V28	179	58	9	34
V29	63	2	39	268
V30	67	0	31	242
V31	13	42	57	19
V32	190	14	101	27
V33	19	39	1	9
V34	14	77	2	6
V35	10	145	49	0
V36	102	39	0	18
V37	30	60	93	17
V38	0	16	239	13
V39	5	412	84	68
V40	212	101	112	42
V41	47	71	19	34
V42	88	34	98	1
V43	90	30	71	138
V44	213	134	39	11
V45	104	332	53	37
V46	12	5	72	292
V47	0	185	266	0
V48	125	1	24	56
V49	192	35	7	15
V50	50	441	1	0
V51	83	21	5	43
V52	14	89	2	0
V53	228	0	5	86
V54	56	114	0	0
V55	2	7	354	111
V56	333	37	26	16
V57	0	5	168	167
V58	309	16	41	45
V59	38	24	3	52
V60	13	96	34	37
V61	24	5	23	66
V62	2	276	0	51
V63	205	9	14	3
V64	142	82	72	0
V65	58	120	53	36
V66	17	33	111	40
V67	98	32	241	0
V68	12	8	71	45
V69	24	0	28	144
V70	161	10	401	67
V71	96	0	11	12
V72	26	19	53	33
V73	44	186	0	0
V74	19	71	43	98
V75	86	11	68	57
V76	78	140	10	0
V77	27	99	108	152
V78	274	65	75	60
V79	4	0	2	622
V80	254	151	198	0
V81	39	14	4	274
V82	0	93	221	41
V83	374	91	55	430
V84	105	215	10	147
V85	31	53	7	31
V86	0	103	10	101
V87	54	21	6	89
V88	35	77	265	2
V89	59	8	0	101
V90	200	1	1	38
V91	55	2	93	65
V92	7	2	133	1
V93	156	13	7	26
V94	111	373	40	123
V95	5	92	561	16
V96	53	9	44	13
V97	23	14	175	15
V98	324	31	22	17
V99	36	47	5	56
V100	3	305	14	0
