Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	3.14E-01	7.72E-01	2.24E+00	1.28E+00	6.54E-01	2.38E+00
V2	1.00E+00	3.23E+00	1.01E+00	1.42E+00	5.58E-01	1.79E+00
V3	2.15E+00	1.55E+00	2.81E+00	0.00E+00	3.35E-01	2.04E+00
V4	0.00E+00	6.99E-01	2.65E+00	1.01E+00	8.14E-01	2.61E+00
V5	5.87E+00	0.00E+00	6.91E+00	7.16E-01	7.03E-01	9.29E-01
V6	4.48E-01	0.00E+00	0.00E+00	1.66E+00	0.00E+00	1.29E+00
V7	3.40E+00	2.06E+00	2.89E+00	2.44E+00	1.37E+00	1.23E+00
V8	1.70E+00	1.51E+00	1.59E+00	1.08E+00	7.77E-01	1.61E+00
V9	4.90E-01	5.13E+00	4.85E+00	1.65E+00	4.42E-01	0.00E+00
V10	3.41E+00	1.61E+00	5.62E-01	2.26E+00	7.22E-01	6.80E-01
V11	1.40E+00	3.20E+00	2.09E+00	0.00E+00	2.53E+00	1.73E+00
V12	4.82E+00	1.25E+00	6.00E-01	5.26E+00	5.77E-01	1.48E+00
V13	6.15E-01	2.09E+00	2.40E+00	0.00E+00	2.15E+00	1.28E+00
V14	2.52E+00	1.70E+00	4.13E+00	2.77E-01	1.76E+00	4.76E+00
V15	1.13E+00	1.18E+00	2.40E+00	2.30E+00	9.22E-01	8.33E-01
V16	1.86E+00	2.04E+00	0.00E+00	2.31E+00	7.02E-01	5.59E-01
V17	1.89E+00	2.67E+00	1.98E+00	1.16E+00	1.20E+00	1.07E+00
V18	1.65E+00	1.54E+00	2.52E+00	1.65E+00	1.19E+00	3.35E-01
V19	1.51E+00	1.36E+00	3.81E+00	1.19E+00	9.22E-01	5.52E+00
V20	2.67E-01	2.05E+00	2.06E+00	4.99E-01	4.67E-01	0.00E+00
V21	2.87E+00	1.31E+00	4.12E+00	4.46E+00	3.00E+00	9.29E-01
V22	2.51E+00	7.90E-01	7.72E-01	1.59E+00	1.44E+00	2.20E+00
V23	4.15E+00	2.68E+00	3.15E+00	9.80E-01	1.84E+00	1.55E+00
V24	5.81E+00	2.73E+00	6.42E+00	1.79E+00	1.28E+00	5.50E+00
V25	4.25E+00	2.25E+00	3.91E+00	2.39E+00	5.81E-01	6.02E+00
V26	1.12E+00	1.86E+00	1.85E+00	2.67E-01	9.34E-01	2.79E+00
V27	2.38E+00	9.09E-01	1.16E+00	1.94E+00	0.00E+00	2.72E+00
V28	2.52E+00	8.03E-01	4.17E+00	2.03E+00	9.68E-01	4.03E+00
V29	8.09E-01	1.83E+00	1.85E+00	2.55E+00	9.68E-01	0.00E+00
V30	2.13E-01	1.54E+00	1.56E+00	2.75E+00	1.65E+00	2.02E+00
V31	1.61E+00	2.26E+00	1.48E+00	1.48E+00	0.00E+00	1.34E+00
V32	9.07E-01	2.36E+00	3.21E+00	1.26E+00	1.48E+00	3.89E+00
V33	1.36E+00	0.00E+00	1.35E+00	8.46E-01	1.53E+00	6.05E-01
