Samples	ID1	ID2	ID8	ID9	ID83D	ID83E
V1	14	0	27	47	8	8
V2	205	0	57	0	64	0
V3	32	75	38	92	0	0
V4	36	0	89	40	12	0
V5	0	378	0	65	0	0
V6	0	0	0	0	140	0
V7	74	299	0	0	61	0
V8	28	59	66	0	11	0
V9	284	0	0	165	35	0
V10	42	110	0	0	140	0
V11	99	25	0	72	0	40
V12	0	139	0	0	255	0
V13	61	0	0	121	0	35
V14	0	56	147	54	0	52
V15	102	31	0	43	76	0
V16	68	38	0	0	123	0
V17	66	46	0	46	31	0
V18	9	28	0	90	12	20
V19	0	0	306	0	0	0
V20	41	0	0	103	0	0
V21	0	120	0	141	266	126
V22	0	181	0	0	47	53
V23	165	141	0	313	0	0
V24	111	384	294	189	93	0
V25	37	262	137	0	84	0
V26	712	0	0	0	0	0
V27	0	159	135	0	57	0
V28	0	54	157	38	31	0
V29	40	0	0	86	207	39
V30	30	0	93	0	182	35
V31	65	44	0	0	22	0
V32	96	0	117	77	0	42
V33	0	44	0	0	0	24
V34	0	77	0	0	0	22
V35	53	151	0	0	0	0
V36	0	36	37	67	19	0
V37	86	54	0	0	0	60
V38	268	0	0	0	0	0
V39	80	378	0	0	72	39
V40	98	89	0	130	0	150
V41	15	67	0	0	0	89
V42	94	32	42	53	0	0
V43	62	0	0	0	58	209
V44	36	126	0	190	0	45
V45	55	323	0	90	58	0
V46	92	0	0	0	289	0
V47	269	182	0	0	0	0
V48	20	0	52	59	33	42
V49	0	32	115	84	18	0
V50	0	492	0	0	0	0
V51	0	20	0	69	29	34
V52	0	89	0	0	0	16
V53	0	0	185	0	38	96
V54	0	118	52	0	0	0
V55	371	0	0	0	103	0
V56	0	33	78	250	0	51
V57	187	0	0	0	153	0
V58	42	0	0	326	43	0
V59	0	20	0	0	19	78
V60	38	100	0	0	42	0
V61	26	0	0	33	59	0
V62	0	267	0	0	62	0
V63	0	0	0	203	0	28
V64	70	80	146	0	0	0
V65	44	101	36	0	16	70
V66	114	33	0	0	34	20
V67	237	31	0	103	0	0
V68	79	0	0	0	40	17
V69	30	0	47	0	119	0
V70	427	0	0	0	0	212
V71	7	0	75	16	5	16
V72	41	13	0	0	0	77
V73	0	230	0	0	0	0
V74	40	65	0	0	66	60
V75	64	0	0	81	38	39
V76	0	143	0	85	0	0
V77	109	97	0	0	120	60
V78	59	53	113	103	0	146
V79	0	0	0	0	527	101
V80	175	134	294	0	0	0
V81	0	0	0	0	216	115
V82	221	89	0	0	45	0
V83	0	0	0	0	0	950
V84	0	219	0	117	141	0
V85	0	50	0	33	25	14
V86	12	106	0	0	96	0
V87	0	20	44	30	76	0
V88	295	84	0	0	0	0
V89	0	0	0	70	98	0
V90	0	0	147	62	31	0
V91	90	0	72	0	53	0
V92	143	0	0	0	0	0
V93	0	0	0	142	0	60
V94	0	299	0	0	0	348
V95	536	85	0	0	0	53
V96	51	0	0	52	16	0
V97	169	0	0	0	0	58
V98	0	0	224	118	0	52
V99	0	42	56	0	46	0
V100	0	322	0	0	0	0
