MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	0.00E+00	5.05E-04	9.17E-08	1.24E-03	4.87E-04	4.02E-04	3.65E-02	5.32E-02	2.16E-02	4.78E-03	2.80E-04	1.12E-06
1:Del:C:1	0.00E+00	1.16E-03	5.17E-04	1.55E-02	1.03E-03	5.06E-19	1.56E-02	2.78E-02	1.35E-02	1.65E-03	6.67E-04	3.33E-02
1:Del:C:2	1.59E-04	5.53E-04	5.52E-05	3.17E-04	5.03E-04	4.41E-03	4.74E-03	3.94E-02	2.44E-03	1.03E-03	1.07E-02	2.61E-03
1:Del:C:3	7.02E-07	7.95E-08	3.38E-04	6.85E-04	2.09E-07	4.11E-02	5.51E-07	1.54E-06	3.98E-03	1.33E-03	2.45E-02	2.42E-07
1:Del:C:4	5.25E-04	2.58E-04	3.80E-04	6.98E-04	3.73E-04	0.00E+00	2.44E-03	2.27E-03	2.30E-03	1.85E-03	7.70E-04	4.26E-03
1:Del:C:5	1.87E-03	0.00E+00	1.18E-04	0.00E+00	1.25E-03	0.00E+00	2.26E-03	2.24E-07	5.25E-04	8.90E-03	1.44E-03	4.43E-03
1:Del:T:0	1.13E-03	0.00E+00	1.68E-03	4.77E-03	1.25E-03	2.02E-03	1.05E-02	1.60E-02	5.58E-02	7.46E-03	0.00E+00	1.83E-02
1:Del:T:1	7.99E-05	1.40E-46	4.25E-07	2.33E-03	7.31E-04	0.00E+00	5.27E-03	1.77E-02	1.15E-02	1.13E-06	2.00E-07	1.31E-02
1:Del:T:2	1.17E-03	4.54E-04	0.00E+00	8.10E-04	5.24E-04	1.78E-03	7.53E-03	2.06E-02	3.63E-03	1.81E-02	3.23E-03	1.45E-02
1:Del:T:3	3.33E-03	2.40E-04	2.75E-03	1.56E-03	6.08E-04	0.00E+00	1.43E-02	2.97E-02	2.04E-02	5.72E-02	2.06E-03	1.49E-02
1:Del:T:4	6.75E-03	1.40E-46	0.00E+00	1.99E-03	1.86E-03	2.51E-04	1.25E-02	1.15E-02	9.84E-04	2.14E-02	0.00E+00	4.29E-02
1:Del:T:5	1.12E-02	1.43E-07	1.70E-04	2.19E-07	5.01E-06	7.49E-04	7.45E-03	6.89E-08	7.53E-03	1.12E-01	2.32E-07	3.48E-07
1:Ins:C:0	8.43E-09	1.44E-04	0.00E+00	2.97E-04	8.86E-05	2.53E-05	2.91E-09	0.00E+00	6.63E-04	6.05E-04	6.82E-07	4.37E-04
1:Ins:C:1	1.14E-08	4.19E-09	0.00E+00	5.65E-04	1.63E-08	4.67E-05	9.97E-05	7.95E-05	1.63E-03	4.67E-04	1.87E-05	4.65E-08
1:Ins:C:2	6.69E-09	1.48E-04	1.42E-07	3.45E-04	3.23E-08	8.41E-09	3.17E-05	2.95E-04	9.39E-05	5.34E-04	4.27E-08	9.45E-05
1:Ins:C:3	4.49E-09	1.82E-09	1.85E-08	1.06E-04	1.20E-04	3.11E-08	1.28E-08	8.92E-09	6.30E-05	7.11E-05	1.39E-04	0.00E+00
1:Ins:C:4	5.30E-04	1.63E-04	2.01E-04	5.92E-05	3.65E-04	3.49E-05	0.00E+00	0.00E+00	7.93E-04	1.79E-03	3.22E-04	8.38E-04
