Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	4.15E+00	9.94E-01	2.44E+00	4.96E-01	4.96E-01	4.48E+00	1.74E+00
V2	3.44E+00	2.72E+01	1.28E+01	2.27E+00	3.19E+00	2.68E+01	1.22E+00
V3	2.00E+00	4.32E+00	0.00E+00	0.00E+00	3.53E+00	4.66E+00	0.00E+00
V4	2.53E+00	1.91E+00	2.09E+00	2.87E+00	5.24E+00	5.87E+00	1.74E+00
V5	2.69E+00	9.08E+00	4.70E+00	3.94E-01	7.75E-01	7.86E+00	5.33E-01
V6	2.56E+00	2.74E+00	5.97E+00	3.92E+00	2.93E+00	4.70E+00	2.83E+00
V7	6.29E-01	9.20E-01	2.90E+00	0.00E+00	0.00E+00	1.16E+00	2.34E+00
V8	1.13E+00	8.39E+00	7.50E+00	3.49E+00	2.45E+00	6.94E+00	1.81E+00
V9	8.03E-01	4.76E-01	0.00E+00	0.00E+00	4.07E-01	4.58E-01	7.75E-01
V10	1.57E+00	1.76E+00	2.10E+00	4.31E+00	2.49E-01	4.15E+00	1.48E+00
V11	2.53E+00	5.67E+00	7.30E-01	4.29E+00	9.33E-01	5.70E+00	8.00E-01
V12	1.17E+00	1.00E-01	3.35E-01	0.00E+00	1.83E+00	1.12E+00	0.00E+00
V13	8.19E-01	4.33E+00	4.35E+00	2.22E+01	4.70E+00	2.61E+01	1.25E+00
V14	3.01E+00	1.53E+00	8.49E+00	1.66E+00	6.00E-01	7.73E+00	1.38E+00
V15	2.81E+00	5.33E+00	2.70E+00	6.36E+00	3.82E+00	6.29E+00	2.91E-01
V16	4.04E+00	2.78E+00	1.05E+00	1.38E+00	1.43E+00	2.06E+00	1.59E+00
V17	3.67E-01	5.04E+01	2.64E+00	1.22E+00	9.75E-01	5.25E+01	1.33E-01
V18	2.69E+00	7.92E-01	1.60E+00	4.72E+00	6.52E+00	5.50E+00	8.56E-01
V19	3.36E+00	5.04E-01	1.60E+00	1.76E+00	4.58E-01	1.23E+00	2.91E+00
V20	1.50E+00	2.67E-01	5.93E-01	0.00E+00	4.33E-01	1.37E+00	4.99E-01
V21	3.04E+00	4.81E+00	1.98E+00	2.82E+00	1.60E+00	5.44E+00	3.79E+00
V22	2.34E+00	2.49E+00	3.14E+00	2.24E+00	1.61E+00	4.27E+00	9.94E-01
V23	6.82E+00	2.25E+01	1.60E+00	7.22E-01	4.27E+00	1.85E+01	1.28E+00
V24	2.18E+00	1.25E+01	3.39E+00	1.98E+00	1.73E+00	1.09E+01	4.48E-01
V25	1.00E+00	1.13E+01	1.92E+00	3.60E+00	6.20E+00	1.30E+01	3.02E+00
V26	1.01E+00	2.24E+00	1.73E+00	3.24E+00	1.79E+00	1.86E+00	1.84E+00
V27	3.36E+00	1.73E+00	6.35E+00	1.91E+00	2.27E+00	7.29E+00	9.43E-01
V28	3.27E+00	1.51E+00	1.83E+00	2.76E+00	1.78E+00	6.00E+00	1.86E+00
V29	2.22E+00	4.83E+00	7.12E+00	2.52E+00	1.01E+00	5.67E+00	1.11E+00
V30	1.15E+00	1.14E+01	5.89E+00	2.14E+00	8.66E+00	9.73E+00	7.02E-01
V31	1.21E+00	9.42E+00	5.42E-01	3.56E+00	8.44E-01	9.33E+00	2.48E+00
V32	1.89E+00	1.42E+00	1.16E+00	5.89E+00	4.03E+00	6.90E+00	0.00E+00
V33	2.41E+00	6.02E+00	2.18E+00	4.81E+00	1.22E+01	1.25E+01	1.83E+00
V34	0.00E+00	1.45E+00	0.00E+00	0.00E+00	9.94E-01	1.13E+00	1.34E+00
V35	1.02E+00	1.43E+01	3.15E+00	9.31E-01	3.11E+00	1.42E+01	4.74E+00
V36	1.04E+00	3.12E+01	7.05E+00	2.02E+00	0.00E+00	3.15E+01	2.86E+00
V37	2.32E+00	1.91E+00	1.04E+00	1.61E+00	1.46E+00	2.06E+00	4.94E-01
V38	3.54E+00	1.32E+00	1.26E+00	2.10E+00	5.86E-01	1.26E+00	3.10E+00
V39	3.63E+00	1.31E+00	2.09E+00	2.41E+00	4.41E+00	4.14E+00	1.32E+00
V40	0.00E+00	0.00E+00	9.69E-01	7.78E-01	7.06E-01	1.00E+00	5.33E-01
V41	1.61E+00	1.67E+00	2.82E+00	5.59E-01	1.40E+00	2.60E+00	1.31E+00
V42	0.00E+00	2.51E+00	2.37E+00	7.00E+00	1.07E+00	8.09E+00	1.01E+00
V43	1.38E+00	2.27E+01	1.73E+00	0.00E+00	1.05E+00	2.11E+01	1.60E+00
V44	1.46E+00	1.58E+00	9.83E+00	2.83E+00	9.60E-01	9.00E+00	1.49E+00
V45	2.66E+00	4.73E-01	2.21E-01	8.94E-01	7.57E-01	2.54E+00	6.29E-01
V46	2.23E+00	1.59E+00	1.38E+00	4.52E-01	2.94E+00	2.31E+00	1.16E+00
V47	4.42E+00	4.12E+01	8.72E-01	1.72E+00	1.92E+00	4.21E+01	1.62E+00
V48	2.13E-01	6.84E+00	4.34E+00	5.11E+00	8.72E+00	5.52E+00	4.00E-01
