Samples	ID1	ID2	ID8	ID9	ID83B	ID83E
V1	56	348	0	0	0	0
V2	0	0	0	0	1245	0
V3	0	66	0	0	34	81
V4	32	126	113	0	0	68
V5	0	31	0	43	95	0
V6	92	31	85	212	0	36
V7	36	0	0	82	0	0
V8	0	0	165	102	103	47
V9	140	0	0	0	0	0
V10	17	15	80	66	0	0
V11	0	109	169	0	47	0
V12	0	95	0	0	0	19
V13	0	0	452	0	0	69
V14	42	89	0	370	0	0
V15	0	121	131	0	46	66
V16	24	222	0	0	46	0
V17	0	0	0	0	379	0
V18	0	54	135	0	0	85
V19	84	68	48	0	0	0
V20	0	317	0	0	0	0
V21	90	103	61	0	86	0
V22	28	39	45	71	68	0
V23	0	923	0	0	370	0
V24	0	0	0	0	395	0
V25	179	0	77	0	93	111
V26	0	0	228	0	0	0
V27	0	196	0	72	0	45
V28	29	172	97	0	0	0
V29	0	69	69	194	26	0
V30	0	0	0	105	77	445
V31	293	0	0	0	75	0
V32	0	109	116	0	0	76
V33	69	50	107	0	65	205
V34	46	0	0	0	8	13
V35	238	0	0	130	113	85
V36	93	0	0	212	327	0
V37	0	87	35	0	45	25
V38	205	292	0	0	0	0
V39	0	91	0	0	0	241
V40	8	0	0	7	0	8
V41	26	29	0	19	10	15
V42	0	0	121	38	33	0
V43	48	62	0	0	270	0
V44	36	69	0	245	0	0
V45	0	240	0	0	0	0
V46	0	102	0	0	31	74
V47	81	300	0	0	342	0
V48	0	0	204	0	126	159
V49	0	209	0	0	164	273
V50	0	23	0	96	0	36
V51	105	57	0	0	0	43
V52	0	0	1248	0	0	0
V53	0	61	499	0	0	0
V54	0	21	21	0	109	0
V55	115	237	0	85	126	0
V56	52	216	311	0	0	0
V57	0	110	0	62	0	115
V58	0	0	0	176	107	83
V59	186	0	0	0	62	79
V60	0	0	0	192	0	0
V61	0	0	0	259	181	146
V62	0	0	0	0	217	0
V63	0	0	0	0	0	501
V64	126	329	0	114	0	0
V65	32	0	0	46	105	35
V66	33	133	243	0	0	0
V67	33	105	0	93	125	0
V68	34	0	87	0	25	117
V69	0	263	118	0	64	0
V70	15	40	65	0	0	92
V71	0	55	0	0	48	84
V72	0	0	64	0	125	0
V73	0	34	91	139	0	0
V74	0	0	0	0	191	0
V75	0	427	0	510	0	0
V76	51	176	0	0	156	0
V77	66	0	0	475	263	0
V78	0	0	0	0	203	134
V79	0	101	203	0	44	0
V80	0	123	287	0	0	0
V81	0	95	0	0	93	111
V82	0	145	0	48	47	0
V83	42	225	0	0	137	0
V84	0	95	0	0	72	72
V85	60	0	58	0	0	22
V86	0	48	212	70	0	0
V87	23	34	0	0	140	0
V88	42	17	0	29	55	42
V89	88	57	0	0	0	220
V90	5	13	0	0	26	0
V91	0	0	272	223	183	0
V92	0	53	0	68	14	40
V93	0	0	0	108	19	42
V94	8	20	80	14	16	14
V95	0	0	0	47	0	113
V96	286	362	244	0	107	0
V97	0	89	0	31	0	48
V98	46	39	0	0	97	0
V99	83	95	0	0	231	0
V100	0	0	0	38	60	0
