Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
V1	5	45	252	39	114	109	175	4	0	3
V2	7	31	2	7	0	0	4	0	28	0
V3	313	75	18	8	0	1	1	19	8	1
V4	0	27	0	0	116	1	129	0	146	0
V5	10	62	2	0	25	2	41	57	36	5
V6	17	22	178	37	0	44	7	88	14	3
V7	31	14	59	0	0	8	0	16	55	8
V8	24	12	83	92	9	175	13	0	0	73
V9	221	96	175	101	1	134	0	2	0	0
V10	280	12	51	26	0	30	2	0	0	0
V11	33	2	6	0	20	4	101	0	8	0
V12	1	36	2	1	19	1	60	0	0	0
V13	5	25	4	5	20	2	17	57	3	0
V14	5	26	0	0	29	0	6	0	3	12
V15	0	87	87	1	0	39	0	22	55	0
V16	40	0	2	0	13	2	27	0	2	0
V17	42	60	37	12	5	17	0	2	0	22
V18	45	1	1	21	0	1	4	29	23	8
V19	67	32	79	27	5	66	3	4	12	7
V20	0	28	25	34	43	1	31	199	104	0
V21	24	137	2	0	277	0	90	12	0	3
V22	3	3	7	0	134	13	24	0	0	10
V23	1	21	0	124	12	3	6	50	36	49
V24	0	21	57	5	0	13	28	12	75	0
V25	0	0	19	0	36	9	22	3	0	0
V26	75	12	31	0	49	3	36	6	0	23
V27	2	0	2	0	92	0	88	0	0	0
V28	0	11	30	36	13	30	0	0	3	2
V29	0	22	0	6	258	0	38	0	0	0
V30	21	87	2	101	71	0	58	5	0	41
V31	58	9	14	43	5	25	10	0	0	24
V32	6	2	13	128	13	11	17	0	0	7
V33	0	15	282	0	77	202	50	65	0	0
V34	6	15	0	3	102	111	0	7	1	0
V35	11	11	11	28	46	2	45	0	18	0
V36	1	3	6	0	111	16	112	0	0	0
V37	68	1	37	13	7	19	31	16	71	0
V38	112	12	16	144	3	19	0	35	0	0
V39	5	60	20	8	7	18	0	0	0	13
V40	3	70	12	0	42	2	31	30	0	0
V41	23	8	0	25	19	0	24	30	0	33
V42	95	14	8	45	0	0	31	42	111	0
V43	64	74	102	61	10	37	14	75	0	76
V44	31	59	15	48	23	0	61	47	62	42
V45	14	12	5	0	15	10	20	0	8	1
V46	0	36	28	1	0	50	0	0	0	18
V47	92	32	31	30	11	26	37	27	82	28
V48	0	1	6	122	20	1	15	15	4	9
V49	530	34	18	8	19	29	0	95	0	4
V50	71	0	0	1	0	1	0	3	5	3
V51	25	73	55	0	2	15	0	8	4	9
V52	8	5	23	22	55	14	10	112	0	0
V53	153	1	0	0	40	7	12	0	20	10
V54	11	151	16	0	153	4	35	0	13	0
V55	244	0	3	167	7	13	2	0	0	0
V56	9	209	4	3	26	5	0	0	8	1
V57	30	46	88	36	10	22	0	35	42	20
V58	53	91	0	0	66	1	61	0	0	12
V59	0	1	56	0	17	81	1	24	90	1
V60	59	4	17	0	158	13	35	16	23	0
V61	2	53	20	41	0	4	13	118	10	8
V62	87	50	21	8	18	24	0	21	11	21
V63	51	52	8	60	10	28	0	14	0	0
V64	86	0	101	0	1	20	6	1	0	9
V65	3	390	15	12	0	7	3	0	0	0
V66	0	185	0	35	0	4	0	16	50	23
V67	2	144	1	121	0	1	0	10	15	0
V68	40	2	12	0	38	9	63	0	3	0
V69	70	55	37	125	0	35	6	0	0	66
V70	59	136	0	10	0	2	0	0	0	36
V71	0	10	31	110	0	51	13	53	95	34
V72	145	1	0	0	19	2	10	3	26	7
V73	21	91	22	6	62	12	27	0	0	0
V74	42	9	4	95	2	24	17	7	0	28
V75	95	68	14	0	1	3	1	52	7	4
V76	46	6	75	2	1	74	0	0	0	0
V77	63	1	2	45	6	4	13	15	16	10
V78	13	22	13	5	0	15	1	0	0	0
V79	45	48	65	76	0	118	25	6	0	0
V80	3	25	3	46	9	6	2	0	4	0
V81	78	3	6	0	23	6	4	54	101	0
V82	7	4	19	9	4	13	0	14	0	0
V83	39	4	1	0	39	6	30	15	0	0
V84	60	4	79	0	20	5	68	51	9	18
V85	284	37	35	23	12	13	8	8	2	12
V86	67	209	5	104	31	12	33	84	30	2
V87	102	179	90	15	3	41	1	0	0	7
V88	0	31	27	20	118	52	32	0	65	0
V89	29	1	0	44	26	0	24	9	0	15
V90	41	4	150	40	0	41	15	10	35	4
V91	19	7	40	0	0	43	0	3	14	0
V92	158	0	51	40	14	24	7	22	5	0
V93	0	1	134	109	13	23	16	7	40	27
V94	79	19	9	0	3	28	0	1	0	16
V95	36	156	1	0	89	5	78	8	13	18
V96	63	82	6	56	6	8	0	49	0	17
V97	33	3	104	3	10	23	16	15	25	8
V98	5	45	9	148	4	9	14	67	35	2
V99	0	177	3	6	0	3	0	30	18	19
V100	0	47	26	0	9	5	30	107	43	1
