Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	1	39	252	58	81	132	98	0	13	39	22	11	0
V2	9	32	3	7	0	4	0	21	0	0	1	0	2
V3	309	73	17	6	0	0	1	19	8	0	5	6	0
V4	1	26	0	6	82	106	2	96	0	100	0	0	0
V5	9	60	0	1	21	30	2	49	43	0	9	0	16
V6	15	21	171	32	0	0	38	43	59	18	0	13	0
V7	34	14	57	1	1	0	7	43	16	3	0	6	9
V8	23	8	97	79	5	14	155	0	2	2	19	77	0
V9	221	98	181	96	0	0	120	9	0	0	5	0	0
V10	276	12	51	24	0	1	26	0	0	3	0	2	6
V11	32	2	7	5	11	76	6	13	0	10	0	0	12
V12	1	35	1	7	10	45	2	0	0	12	6	1	0
V13	5	24	2	5	16	14	2	18	47	0	4	1	0
V14	5	24	1	0	20	9	0	0	0	13	0	9	0
V15	2	88	88	5	0	1	35	55	15	1	1	0	0
V16	38	0	2	0	7	20	2	0	0	12	0	0	5
V17	36	55	37	7	4	0	14	0	3	2	16	9	14
V18	46	0	1	16	1	3	1	40	10	0	8	5	2
V19	67	32	79	24	4	5	57	10	6	0	2	16	0
V20	7	22	21	33	42	25	1	169	129	0	16	0	0
V21	23	137	1	10	222	113	1	7	13	0	0	15	3
V22	3	3	8	0	111	45	12	1	0	1	0	10	0
V23	3	6	0	89	10	5	1	42	31	20	50	40	5
V24	2	19	57	10	4	16	12	62	12	8	6	2	1
V25	0	0	21	0	29	23	9	4	3	0	0	0	0
V26	71	12	32	0	37	35	3	2	9	0	3	16	15
V27	2	0	1	0	61	79	0	0	0	41	0	0	0
V28	0	2	29	27	9	4	24	3	0	0	27	0	0
V29	0	22	0	10	209	75	1	0	2	0	0	5	0
V30	17	72	1	80	49	51	0	0	2	23	50	31	10
V31	36	1	13	27	4	2	18	0	0	7	24	3	53
V32	5	0	11	96	7	12	8	0	0	19	10	29	0
V33	0	15	287	2	53	55	178	18	56	19	0	8	0
V34	6	15	4	6	84	4	96	0	0	30	0	0	0
V35	12	11	10	28	32	35	2	2	1	35	0	2	2
V36	1	0	7	6	95	110	17	0	0	0	11	2	0
V37	70	0	36	16	7	23	16	48	20	9	7	0	11
V38	110	0	12	111	2	1	16	7	26	4	41	11	0
V39	5	56	21	5	4	2	15	0	0	6	8	9	0
V40	3	66	11	2	29	27	2	6	22	17	5	0	0
V41	23	8	0	20	13	20	0	3	31	0	0	44	0
V42	110	15	8	49	8	18	0	95	38	4	1	0	0
V43	61	43	97	38	5	6	32	13	59	35	112	10	2
V44	37	62	17	46	22	41	0	54	51	0	0	54	4
V45	11	12	5	0	10	16	9	9	0	3	0	0	10
V46	0	27	29	0	0	0	44	0	0	0	33	0	0
V47	85	32	33	28	14	24	22	71	23	0	0	27	37
V48	0	0	5	92	15	10	0	8	6	20	5	32	0
V49	526	33	17	6	17	1	25	25	73	0	0	14	0
V50	66	0	0	0	0	0	1	4	3	0	0	0	10
V51	21	72	55	0	2	0	13	7	6	0	2	6	7
V52	8	5	21	21	43	17	13	33	87	1	0	0	0
V53	135	1	1	0	28	13	6	3	0	28	0	0	28
V54	11	138	14	0	99	49	3	0	0	69	0	0	0
V55	248	0	3	143	6	1	11	0	0	0	0	24	0
V56	8	203	4	1	17	5	3	0	0	14	0	7	3
V57	33	45	86	28	9	0	19	26	35	23	3	22	0
V58	49	82	0	2	38	49	1	0	0	48	12	3	0
V59	2	1	56	2	14	6	66	54	24	31	0	2	13
V60	59	4	16	2	116	52	11	1	17	46	0	1	0
V61	3	43	15	32	1	4	3	36	97	3	32	0	0
V62	78	45	21	5	16	1	20	11	19	4	13	8	20
V63	49	42	6	44	7	3	23	8	7	1	31	0	2
V64	80	0	101	0	0	5	19	2	2	0	0	5	10
V65	2	371	13	7	0	2	5	0	0	0	24	3	3
