NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	45.328	17.593	11.397	11.476	0.102	0.991	40000.0
2	55.058	21.426	15.513	15.302	0.112	0.983	40000.0
3	45.531	17.611	11.139	11.248	0.105	0.991	40000.0
4	47.723	18.533	12.665	12.47	0.1	0.99	30000.0
5	53.574	20.766	15.698	15.226	0.11	0.982	50000.0
6	53.848	21.19	15.736	15.663	0.113	0.981	40000.0
7	46.603	18.322	11.877	11.892	0.103	0.99	50000.0
8	43.854	16.76	10.843	10.862	0.1	0.991	40000.0
9	54.58	21.486	14.311	14.414	0.118	0.985	40000.0
10	51.841	20.435	13.487	13.655	0.112	0.988	60000.0
