MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	4.04E-04	4.97E-07	9.03E-04	9.77E-07	4.81E-03	2.16E-03
1:Del:C:1	4.12E-04	1.38E-03	0.00E+00	8.84E-04	3.40E-03	2.10E-03
1:Del:C:2	7.30E-05	8.37E-05	5.13E-05	7.24E-05	2.62E-04	3.49E-04
1:Del:C:3	3.00E-04	1.53E-04	3.95E-04	4.21E-04	8.04E-04	5.49E-04
1:Del:C:4	6.81E-04	7.57E-08	1.97E-08	2.05E-03	4.57E-04	6.63E-04
1:Del:C:5	1.35E-03	3.34E-03	5.66E-04	9.51E-04	2.14E-03	1.40E-46
1:Del:T:0	6.02E-04	8.28E-04	1.26E-03	5.32E-04	2.38E-03	1.82E-03
1:Del:T:1	1.54E-04	5.30E-04	4.12E-04	7.75E-05	1.44E-03	9.61E-04
1:Del:T:2	2.34E-04	3.66E-04	1.32E-03	7.25E-04	1.28E-03	2.81E-04
1:Del:T:3	7.43E-04	9.62E-04	1.67E-03	5.55E-04	1.73E-03	6.57E-04
1:Del:T:4	6.74E-04	9.75E-04	1.83E-03	8.64E-04	2.02E-03	7.07E-04
1:Del:T:5	5.35E-08	1.09E-07	3.10E-03	6.93E-08	4.54E-08	8.87E-04
1:Ins:C:0	4.32E-05	3.23E-05	2.14E-08	2.14E-08	5.19E-05	3.92E-04
1:Ins:C:1	9.89E-06	7.70E-09	6.51E-05	2.91E-08	3.44E-08	2.72E-04
1:Ins:C:2	8.21E-05	6.02E-09	3.09E-08	1.55E-08	1.26E-08	1.13E-04
1:Ins:C:3	1.56E-04	1.86E-09	1.23E-04	4.58E-08	0.00E+00	2.34E-04
1:Ins:C:4	2.87E-04	4.49E-05	2.04E-04	2.88E-04	4.07E-04	0.00E+00
1:Ins:C:5	5.97E-04	1.03E-08	4.31E-04	6.22E-09	0.00E+00	4.67E-04
1:Ins:T:0	4.52E-04	1.75E-04	3.62E-04	1.52E-04	5.25E-04	9.95E-04
1:Ins:T:1	1.91E-04	2.62E-05	1.65E-05	2.92E-10	6.69E-04	2.46E-04
1:Ins:T:2	2.40E-05	2.48E-04	1.57E-04	2.06E-09	2.47E-04	1.96E-04
1:Ins:T:3	2.56E-04	2.28E-04	7.79E-05	3.08E-04	4.56E-04	0.00E+00
1:Ins:T:4	6.89E-04	2.88E-04	5.00E-04	4.11E-04	0.00E+00	5.11E-04
1:Ins:T:5	2.70E-03	1.29E-08	3.12E-08	3.73E-08	4.75E-08	6.69E-34
2:Del:R:0	2.35E-04	1.41E-04	6.25E-05	2.30E-04	7.32E-04	5.38E-04
2:Del:R:1	1.43E-04	3.87E-04	5.75E-04	1.68E-04	5.63E-04	5.30E-04
2:Del:R:2	1.09E-04	1.36E-04	1.40E-04	1.40E-46	1.94E-04	1.54E-04
2:Del:R:3	4.76E-08	4.81E-08	2.72E-07	4.50E-05	5.78E-08	5.36E-08
2:Del:R:4	1.82E-05	4.66E-05	1.92E-04	2.67E-05	9.05E-08	9.92E-05
2:Del:R:5	1.82E-08	1.15E-04	1.28E-04	1.61E-08	4.54E-08	5.21E-05
3:Del:R:0	0.00E+00	4.30E-04	1.82E-08	3.53E-04	3.48E-05	7.30E-04
3:Del:R:1	4.29E-04	7.13E-05	2.31E-04	2.36E-04	5.27E-04	6.48E-04
3:Del:R:2	1.82E-04	0.00E+00	3.44E-04	1.49E-04	3.18E-04	2.80E-04
3:Del:R:3	3.58E-08	6.69E-09	5.43E-08	4.37E-08	8.14E-05	1.06E-04
3:Del:R:4	2.27E-09	2.95E-09	2.22E-09	1.77E-09	4.03E-09	4.17E-09
3:Del:R:5	2.27E-09	2.95E-09	2.22E-09	1.77E-09	4.03E-09	4.17E-09
4:Del:R:0	0.00E+00	1.03E-07	3.50E-04	2.48E-03	2.39E-05	1.67E-03
4:Del:R:1	3.17E-04	2.63E-04	1.93E-04	6.89E-05	5.25E-04	3.95E-04
4:Del:R:2	1.02E-04	4.12E-09	1.31E-04	1.61E-04	1.40E-04	0.00E+00
4:Del:R:3	2.27E-09	2.95E-09	2.22E-09	1.77E-09	4.03E-09	4.17E-09
4:Del:R:4	4.15E-08	4.41E-08	2.14E-05	6.62E-08	7.38E-05	5.42E-08
4:Del:R:5	2.27E-09	2.95E-09	2.22E-09	1.77E-09	4.03E-09	4.17E-09
5:Del:R:0	3.93E-07	4.41E-08	4.18E-08	3.50E-08	4.09E-08	2.43E-03
5:Del:R:1	1.73E-04	1.54E-05	3.76E-04	9.23E-05	1.33E-04	3.28E-05
5:Del:R:2	1.40E-08	1.11E-04	4.20E-05	6.86E-05	0.00E+00	1.25E-04
5:Del:R:3	5.30E-08	4.15E-08	4.10E-08	4.82E-08	2.48E-05	1.05E-04
5:Del:R:4	2.27E-09	2.95E-09	2.22E-09	1.77E-09	4.03E-09	4.17E-09
5:Del:R:5	2.27E-09	2.95E-09	2.22E-09	1.77E-09	4.03E-09	4.17E-09
2:Ins:R:0	2.10E-05	1.00E-04	1.39E-04	8.84E-09	1.01E-08	2.30E-04
2:Ins:R:1	1.69E-04	3.69E-09	1.57E-04	1.11E-08	2.02E-04	7.20E-05
2:Ins:R:2	0.00E+00	3.65E-04	7.55E-05	1.90E-03	2.20E-04	2.56E-07
2:Ins:R:3	7.93E-05	4.95E-05	1.35E-04	1.32E-04	9.18E-05	1.68E-04
2:Ins:R:4	1.75E-04	4.87E-05	2.03E-04	2.54E-09	1.31E-04	3.45E-04
2:Ins:R:5	4.74E-04	2.00E-04	7.10E-04	1.92E-08	9.13E-05	1.79E-04
3:Ins:R:0	2.51E-09	9.40E-05	2.36E-08	1.50E-08	2.36E-07	2.34E-04
3:Ins:R:1	0.00E+00	0.00E+00	1.73E-04	1.65E-04	2.47E-04	9.56E-05
3:Ins:R:2	1.12E-04	3.44E-05	9.00E-05	6.32E-09	7.64E-09	0.00E+00
3:Ins:R:3	2.27E-09	2.95E-09	2.22E-09	1.77E-09	4.03E-09	4.17E-09
3:Ins:R:4	3.91E-08	1.15E-06	2.12E-08	4.12E-04	1.95E-08	3.62E-05
3:Ins:R:5	2.28E-04	1.02E-08	1.07E-04	1.53E-05	1.11E-04	2.38E-04
4:Ins:R:0	2.16E-07	6.49E-08	4.35E-08	3.30E-08	2.50E-05	1.36E-04
4:Ins:R:1	2.77E-04	1.07E-04	2.31E-04	7.66E-05	1.21E-04	3.64E-04
4:Ins:R:2	9.15E-05	5.88E-04	0.00E+00	0.00E+00	3.11E-04	1.94E-04
4:Ins:R:3	3.06E-08	4.71E-08	7.84E-05	5.99E-08	5.05E-08	4.72E-08
4:Ins:R:4	2.27E-09	2.95E-09	2.22E-09	1.77E-09	4.03E-09	4.17E-09
4:Ins:R:5	1.19E-04	5.68E-05	1.90E-04	3.56E-09	1.87E-04	3.44E-04
5:Ins:R:0	5.12E-05	6.26E-09	3.05E-05	3.53E-05	7.23E-05	3.17E-08
5:Ins:R:1	1.04E-04	8.71E-05	1.99E-08	8.14E-05	4.08E-04	7.24E-04
5:Ins:R:2	3.46E-08	2.95E-08	5.44E-05	4.20E-08	3.23E-07	1.30E-04
5:Ins:R:3	7.04E-05	1.06E-08	3.37E-09	6.16E-09	9.31E-07	0.00E+00
5:Ins:R:4	9.74E-05	3.23E-08	4.15E-08	5.10E-08	4.67E-08	4.27E-08
5:Ins:R:5	4.63E-08	3.66E-08	4.75E-08	5.67E-08	1.38E-04	5.34E-05
2:Del:M:1	0.00E+00	3.78E-05	8.10E-06	1.08E-04	4.96E-04	4.90E-04
3:Del:M:1	5.52E-05	7.09E-05	0.00E+00	1.01E-04	4.49E-04	7.79E-04
3:Del:M:2	1.35E-04	2.65E-04	4.25E-04	8.73E-09	7.33E-05	6.36E-04
4:Del:M:1	1.97E-04	2.98E-04	0.00E+00	1.03E-08	6.51E-05	5.58E-04
4:Del:M:2	1.77E-04	2.02E-04	1.14E-04	1.41E-04	2.03E-04	4.80E-04
4:Del:M:3	2.16E-04	1.57E-04	1.80E-05	1.14E-04	3.69E-04	4.16E-04
5:Del:M:1	3.52E-05	2.45E-04	4.13E-08	7.04E-04	2.64E-04	2.39E-03
5:Del:M:2	4.94E-04	5.69E-04	3.03E-04	4.42E-04	2.72E-05	2.55E-03
5:Del:M:3	0.00E+00	4.48E-03	4.48E-04	0.00E+00	6.82E-04	3.01E-03
5:Del:M:4	8.51E-05	1.34E-04	9.22E-07	3.10E-08	7.97E-05	9.88E-04
5:Del:M:5	3.69E-08	2.43E-08	2.97E-04	4.94E-08	1.72E-04	8.23E-04
