Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	9.64E-01	2.51E+00	2.13E+01	1.62E+01	6.71E+00	3.03E+00	1.78E+01	1.71E+01	5.17E+00
V2	1.08E+00	1.85E+00	5.59E-01	9.57E-01	1.25E+00	2.83E+00	7.00E-01	2.13E+00	2.40E+00
V3	8.47E+00	1.87E+00	1.33E-01	1.55E+00	1.94E+00	5.79E+00	5.97E-01	4.43E+00	9.40E+00
V4	4.22E-01	1.17E+00	1.96E+01	7.31E-01	1.69E+00	1.83E+01	1.15E+01	1.78E+01	1.69E+01
V5	2.35E+00	2.21E+00	4.26E+00	8.20E-01	1.58E+00	4.55E+00	3.19E+00	6.82E+00	5.21E+00
V6	2.24E+00	2.42E+00	0.00E+00	6.60E+00	4.13E+00	1.01E+01	9.59E+00	1.17E+01	4.28E+00
V7	4.28E+00	8.03E-01	2.24E-01	3.22E+00	1.07E+00	4.55E+00	2.84E+00	2.40E+00	5.98E+00
V8	2.30E+00	9.00E-01	2.64E+00	2.30E+01	1.03E+01	2.13E-01	2.11E+01	8.56E+00	2.91E+00
V9	6.67E+00	2.98E+00	3.06E-01	2.44E+01	8.88E+00	1.42E+00	2.46E+01	7.00E-01	1.80E+01
V10	2.38E+00	9.78E-01	4.52E-01	6.72E+00	2.19E+00	3.27E-01	5.88E+00	8.31E-01	2.53E+00
V11	2.88E+00	6.70E-01	1.19E+01	1.39E+00	1.71E+00	1.23E+00	7.26E+00	1.01E+01	3.07E+00
V12	2.49E-01	1.25E+00	7.67E+00	5.78E-01	1.66E+00	0.00E+00	4.56E+00	6.63E+00	4.99E-01
V13	1.19E+00	1.50E+00	2.52E+00	8.67E-01	1.51E+00	3.69E+00	1.28E+00	2.20E+00	2.64E+00
V14	5.77E-01	1.29E+00	2.26E+00	2.58E-01	2.00E-01	2.58E-01	1.00E+00	1.46E+00	4.99E-01
V15	7.72E-01	1.94E+00	3.27E-01	1.19E+01	1.20E+00	5.45E+00	1.20E+01	1.65E+00	5.06E+00
V16	3.10E+00	0.00E+00	3.14E+00	4.01E-01	8.94E-01	7.31E-01	1.89E+00	3.26E+00	1.66E+00
V17	4.44E+00	2.03E+00	5.21E-01	3.87E+00	1.25E+00	5.63E-01	3.26E+00	2.92E+00	5.33E+00
V18	1.59E+00	3.48E-01	6.36E-01	8.33E-01	2.57E+00	7.25E+00	3.48E-01	1.26E+00	5.50E+00
V19	1.84E+00	1.19E+00	1.08E+00	1.08E+01	3.06E+00	1.70E+00	1.09E+01	2.00E+00	2.02E+00
V20	1.01E+00	1.84E+00	4.70E+00	3.06E+00	3.57E+00	2.55E+01	2.46E+00	1.17E+01	2.49E+01
V21	2.04E+00	3.22E+00	1.78E+01	9.12E-01	1.96E+00	2.48E+00	1.19E+01	1.36E+01	4.36E+00
V22	5.81E-01	5.97E-01	5.83E+00	1.93E+00	3.59E-01	4.82E-01	3.11E+00	5.14E+00	5.54E-01
V23	1.03E+00	1.56E+00	1.58E+00	1.51E+00	7.81E+00	5.03E+00	6.37E-01	9.20E+00	4.59E+00
V24	8.54E-01	1.34E+00	2.54E+00	4.15E+00	2.59E+00	9.53E+00	3.25E+00	9.56E+00	6.47E+00
V25	0.00E+00	0.00E+00	3.79E+00	3.20E+00	0.00E+00	1.42E+00	3.26E+00	2.42E+00	2.24E-01
V26	3.00E+00	1.65E+00	5.55E+00	2.04E+00	1.97E+00	1.45E+00	2.85E+00	4.23E+00	2.94E+00
V27	8.00E-01	0.00E+00	1.56E+01	3.96E-01	8.60E-01	4.33E-01	8.61E+00	1.46E+01	1.00E-01
V28	0.00E+00	8.95E-01	1.31E+00	5.31E+00	1.61E+00	1.06E+00	5.32E+00	1.61E+00	1.24E+00
V29	0.00E+00	1.40E+00	1.40E+01	0.00E+00	1.70E+00	1.00E-01	8.65E+00	1.33E+01	1.01E+00
V30	2.33E+00	2.87E+00	8.17E+00	1.34E+00	6.49E+00	2.10E+00	5.86E+00	8.14E+00	3.37E+00
V31	7.18E+00	1.34E+00	6.96E-01	3.34E+00	4.14E+00	0.00E+00	3.08E+00	4.91E+00	8.13E+00
V32	6.05E-01	5.96E-01	2.02E+00	2.36E+00	5.45E+00	0.00E+00	2.81E+00	4.77E+00	2.01E+00
V33	0.00E+00	1.37E+00	9.58E+00	2.88E+01	1.22E+00	6.15E+00	2.97E+01	7.18E+00	5.79E+00
V34	1.39E+00	7.30E-01	2.89E+00	9.83E+00	2.08E+00	1.30E+00	9.22E+00	1.58E+00	1.43E+00
V35	1.08E+00	1.49E+00	6.58E+00	1.57E+00	2.08E+00	2.01E+00	2.63E+00	7.24E+00	1.28E+00
V36	3.07E-01	5.33E-01	1.73E+01	2.25E+00	1.51E+00	0.00E+00	1.04E+01	1.52E+01	7.57E-01
V37	3.65E+00	2.58E-01	2.58E+00	3.88E+00	2.43E+00	4.51E+00	3.95E+00	5.40E+00	4.45E+00
V38	1.15E+01	1.67E+00	5.54E-01	3.31E+00	1.34E+01	4.27E+00	3.99E+00	5.14E+00	3.12E+01
V39	9.10E-01	2.15E+00	1.41E+00	3.48E+00	1.32E+00	0.00E+00	4.04E+00	1.96E+00	1.00E-01
V40	6.46E-01	2.56E+00	5.65E+00	1.20E+00	1.21E+00	2.55E+00	3.27E+00	4.32E+00	1.03E+00
V41	3.27E+00	1.37E+00	3.67E+00	8.17E-01	4.82E+00	3.60E+00	2.14E+00	5.14E+00	4.03E+00
V42	2.78E+00	1.00E+00	2.67E+00	2.06E+00	2.96E+00	1.34E+01	1.90E+00	1.49E+01	9.57E+00
V43	4.47E+00	4.28E+00	1.99E+00	5.87E+00	9.71E+00	9.38E+00	8.68E+00	1.17E+01	5.32E+00
V44	5.46E+00	1.94E+00	5.13E+00	2.97E+00	5.77E+00	1.11E+01	3.91E+00	1.03E+01	5.26E+00
V45	2.39E+00	4.27E-01	3.19E+00	1.21E+00	0.00E+00	1.84E+00	9.68E-01	3.12E+00	2.28E+00
V46	0.00E+00	2.31E+00	0.00E+00	6.61E+00	1.63E+00	0.00E+00	7.69E+00	2.63E+00	4.00E-01
V47	5.33E+00	2.57E+00	4.74E+00	4.07E+00	2.07E+00	6.96E+00	2.57E+00	6.84E+00	7.93E+00
