MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	1.43E-03	8.38E-04	1.28E-07	6.58E-04	1.57E-02	2.60E-03	1.97E-03	2.03E-02	3.84E-02
1:Del:C:1	3.56E-04	0.00E+00	3.15E-04	4.22E-03	1.31E-02	5.33E-03	5.54E-03	4.82E-02	5.62E-02
1:Del:C:2	9.35E-05	4.81E-06	1.02E-04	2.26E-04	1.84E-04	6.87E-04	1.82E-05	9.04E-04	1.73E-03
1:Del:C:3	3.00E-04	4.96E-04	3.85E-04	6.00E-04	1.42E-03	1.07E-03	0.00E+00	4.96E-03	2.30E-03
1:Del:C:4	8.53E-04	2.24E-08	3.95E-02	5.27E-08	1.53E-04	8.12E-04	9.05E-03	1.43E-02	4.50E-03
1:Del:C:5	7.12E-04	1.08E-04	1.54E-03	3.38E-02	1.12E-03	0.00E+00	8.26E-02	2.17E-07	7.15E-03
1:Del:T:0	1.08E-03	1.18E-03	4.00E-04	2.80E-46	5.72E-03	7.44E-03	2.83E-03	1.25E-02	1.67E-02
1:Del:T:1	1.60E-04	2.15E-04	1.51E-04	1.82E-03	1.83E-03	1.64E-03	1.78E-03	8.71E-03	5.99E-03
1:Del:T:2	1.29E-04	1.63E-03	9.81E-04	7.73E-04	3.53E-03	0.00E+00	1.67E-03	9.72E-03	6.78E-03
1:Del:T:3	1.84E-04	3.03E-03	8.83E-04	1.51E-03	8.18E-03	1.04E-03	1.23E-03	3.52E-02	6.03E-03
1:Del:T:4	9.60E-04	3.60E-03	1.63E-03	4.62E-03	1.36E-02	6.00E-04	3.36E-04	5.68E-02	1.14E-02
1:Del:T:5	5.56E-08	9.58E-03	1.07E-07	5.36E-04	2.29E-04	7.01E-07	2.31E-06	1.41E-02	3.84E-03
1:Ins:C:0	8.05E-05	4.88E-08	1.93E-08	1.06E-04	3.10E-05	1.07E-03	8.34E-07	3.97E-04	1.42E-03
1:Ins:C:1	6.43E-07	6.59E-05	2.71E-08	6.10E-05	2.85E-08	5.25E-04	3.90E-08	4.49E-04	4.53E-04
1:Ins:C:2	7.74E-05	2.66E-08	2.83E-08	4.22E-09	8.35E-09	1.13E-04	8.91E-08	1.75E-04	2.78E-04
1:Ins:C:3	1.51E-04	1.26E-04	4.07E-05	0.00E+00	8.45E-10	2.83E-04	4.62E-08	1.48E-07	3.12E-04
1:Ins:C:4	3.07E-04	1.86E-04	2.51E-04	0.00E+00	7.03E-04	0.00E+00	3.20E-04	3.16E-03	1.51E-03
1:Ins:C:5	1.92E-03	9.55E-04	1.27E-08	7.33E-09	1.53E-08	6.07E-04	1.83E-04	9.38E-03	2.38E-02
1:Ins:T:0	5.43E-04	5.21E-04	1.47E-04	3.03E-04	1.34E-03	7.50E-04	0.00E+00	4.87E-03	6.30E-03
1:Ins:T:1	1.97E-04	3.42E-06	2.34E-08	2.75E-04	1.17E-03	3.00E-04	2.64E-05	2.90E-03	2.53E-03
1:Ins:T:2	8.85E-09	1.55E-04	0.00E+00	1.22E-04	2.44E-04	2.63E-04	7.36E-04	5.37E-04	3.36E-04
1:Ins:T:3	4.74E-04	0.00E+00	2.11E-04	2.38E-04	6.30E-04	7.86E-05	2.66E-04	5.39E-03	1.63E-03
1:Ins:T:4	1.97E-03	6.75E-04	3.92E-04	2.44E-04	0.00E+00	7.45E-04	8.28E-04	1.71E-02	2.14E-02
1:Ins:T:5	6.51E-03	6.74E-08	5.13E-08	3.75E-08	1.98E-07	2.98E-07	1.20E-07	5.15E-07	7.99E-02
2:Del:R:0	2.25E-04	0.00E+00	2.44E-04	8.33E-04	1.31E-03	8.65E-04	7.67E-04	5.69E-03	3.84E-03
2:Del:R:1	2.48E-04	5.27E-04	2.36E-04	8.62E-04	6.30E-04	1.28E-03	3.54E-04	1.99E-03	2.19E-03
2:Del:R:2	9.28E-05	1.60E-04	5.48E-05	6.49E-05	2.43E-04	1.84E-04	3.57E-04	7.52E-04	5.35E-04
2:Del:R:3	3.09E-08	2.64E-07	3.57E-05	3.39E-08	5.47E-08	5.42E-08	8.87E-08	9.07E-05	2.35E-07
2:Del:R:4	2.38E-05	1.82E-04	2.48E-05	6.68E-05	4.89E-08	1.70E-04	8.95E-09	1.57E-04	7.64E-05
2:Del:R:5	1.72E-08	1.36E-04	1.16E-08	1.13E-04	2.38E-07	6.51E-05	2.46E-04	3.47E-04	4.62E-08
3:Del:R:0	0.00E+00	0.00E+00	6.09E-04	3.23E-04	8.95E-06	2.04E-03	1.35E-03	2.99E-03	1.76E-03
3:Del:R:1	7.65E-04	2.71E-04	2.22E-04	4.38E-04	7.75E-04	1.58E-03	0.00E+00	1.11E-02	1.12E-02
3:Del:R:2	2.13E-04	4.03E-04	1.65E-04	0.00E+00	4.35E-04	4.35E-04	0.00E+00	2.88E-03	4.96E-04
3:Del:R:3	3.97E-08	2.96E-08	4.30E-08	3.69E-09	7.50E-05	2.99E-04	5.28E-08	2.57E-04	1.44E-04
3:Del:R:4	2.16E-08	7.06E-09	2.24E-08	2.80E-08	1.51E-08	2.96E-08	2.98E-08	1.80E-07	2.04E-07
3:Del:R:5	2.16E-08	7.06E-09	2.24E-08	2.80E-08	1.51E-08	2.96E-08	2.98E-08	1.80E-07	2.04E-07
4:Del:R:0	1.31E-07	2.86E-07	4.69E-02	4.45E-04	5.76E-07	2.65E-03	7.90E-02	9.17E-02	3.13E-03
4:Del:R:1	3.16E-04	2.20E-04	6.97E-05	5.21E-04	6.60E-04	5.24E-04	1.12E-03	2.20E-03	4.23E-03
4:Del:R:2	1.39E-04	1.18E-04	1.71E-04	0.00E+00	1.70E-04	1.86E-05	1.43E-08	2.45E-04	7.47E-04
4:Del:R:3	2.16E-08	7.06E-09	2.24E-08	2.80E-08	1.51E-08	2.96E-08	2.98E-08	1.80E-07	2.04E-07
4:Del:R:4	4.03E-08	2.14E-05	5.16E-08	3.16E-08	8.22E-05	5.38E-08	7.04E-08	1.49E-07	1.14E-04
4:Del:R:5	2.16E-08	7.06E-09	2.24E-08	2.80E-08	1.51E-08	2.96E-08	2.98E-08	1.80E-07	2.04E-07
5:Del:R:0	6.88E-05	7.88E-08	2.53E-08	1.92E-03	3.79E-08	1.96E-02	1.11E-07	2.68E-02	6.23E-02
5:Del:R:1	1.80E-04	3.97E-04	1.12E-04	9.16E-05	1.86E-04	2.98E-05	9.81E-09	4.40E-04	0.00E+00
5:Del:R:2	2.62E-08	7.37E-05	4.76E-05	8.12E-05	2.83E-08	1.87E-04	1.90E-04	1.23E-04	6.00E-05
5:Del:R:3	4.37E-08	3.63E-08	4.05E-08	2.76E-08	7.89E-08	1.01E-04	6.84E-08	3.10E-04	1.55E-07
5:Del:R:4	2.16E-08	7.06E-09	2.24E-08	2.80E-08	1.51E-08	2.96E-08	2.98E-08	1.80E-07	2.04E-07
5:Del:R:5	2.16E-08	7.06E-09	2.24E-08	2.80E-08	1.51E-08	2.96E-08	2.98E-08	1.80E-07	2.04E-07
2:Ins:R:0	2.32E-05	1.50E-04	2.29E-08	1.41E-04	1.26E-08	4.91E-04	1.34E-04	8.22E-04	6.91E-04
