Samples	ID1	ID2	ID8	ID9	ID83B	ID83D
V1	0	0	0	0	464	282
V2	12	40	27	0	0	0
V3	354	90	0	0	0	0
V4	0	0	158	0	0	261
V5	13	72	102	0	0	53
V6	0	0	151	0	259	0
V7	42	0	73	0	76	0
V8	0	0	0	192	289	0
V9	225	103	0	118	284	0
V10	317	0	0	0	84	0
V11	54	0	0	0	0	120
V12	0	50	0	0	0	70
V13	0	29	77	0	0	32
V14	0	36	0	0	0	45
V15	0	96	73	0	122	0
V16	51	0	0	0	0	35
V17	52	79	0	0	66	0
V18	51	0	55	27	0	0
V19	76	38	0	43	145	0
V20	0	0	383	0	0	82
V21	0	169	0	0	0	376
V22	0	0	0	0	0	194
V23	0	26	96	180	0	0
V24	0	27	98	0	86	0
V25	0	0	0	0	32	57
V26	97	0	0	0	49	89
V27	0	0	0	0	0	184
V28	0	12	0	46	53	14
V29	0	0	0	0	0	324
V30	22	102	0	152	0	110
V31	71	0	0	76	41	0
V32	0	0	0	172	25	0
V33	0	0	89	0	482	120
V34	0	0	0	0	106	139
V35	15	12	0	47	15	83
V36	0	0	0	0	0	249
V37	84	0	87	0	58	34
V38	122	0	0	185	34	0
V39	0	85	0	0	46	0
V40	0	75	39	0	14	62
V41	27	0	43	52	0	40
V42	124	0	157	65	0	0
V43	68	88	98	102	157	0
V44	41	72	124	85	0	66
V45	19	17	0	0	15	34
V46	0	50	0	0	83	0
V47	108	37	103	53	57	38
V48	0	0	0	166	0	27
V49	737	0	0	0	0	0
V50	84	0	0	0	0	0
V51	27	87	0	0	77	0
V52	0	0	143	0	37	69
V53	184	0	0	0	0	59
V54	0	181	0	0	0	202
V55	244	0	0	192	0	0
V56	0	265	0	0	0	0
V57	35	51	79	47	117	0
V58	60	109	0	0	0	115
V59	0	0	120	0	151	0
V60	82	0	0	0	0	243
V61	0	57	146	43	23	0
V62	108	64	41	0	48	0
V63	55	61	0	76	31	0
V64	92	0	0	0	132	0
V65	0	430	0	0	0	0
V66	0	209	60	44	0	0
V67	0	155	0	139	0	0
V68	57	0	0	0	0	110
V69	74	64	0	180	76	0
V70	70	173	0	0	0	0
V71	0	0	150	167	80	0
V72	180	0	0	0	0	33
V73	22	102	0	0	33	84
V74	48	0	0	152	28	0
V75	100	76	69	0	0	0
V76	53	0	0	0	151	0
V77	73	0	35	67	0	0
V78	15	26	0	0	28	0
V79	48	55	0	121	159	0
V80	0	32	0	66	0	0
V81	94	0	143	0	0	38
V82	7	5	17	11	30	0
V83	46	0	22	0	0	66
V84	65	0	84	0	100	65
V85	332	46	0	0	56	0
V86	68	223	120	117	0	49
V87	107	200	0	0	131	0
V88	0	39	58	0	75	173
V89	32	0	0	75	0	41
V90	65	0	0	0	275	0
V91	28	0	0	0	98	0
V92	181	0	0	58	82	0
V93	0	0	0	175	195	0
V94	95	24	0	0	36	0
V95	45	200	0	0	0	159
V96	66	93	59	69	0	0
V97	41	0	52	0	147	0
V98	0	48	109	181	0	0
V99	0	203	53	0	0	0
V100	0	50	158	0	30	30
