MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	2.28E-03	1.23E-03	1.27E-03	2.30E-08	3.48E-02	4.60E-02	1.90E-03	3.19E-02	4.22E-02	1.11E-05	5.66E-02
1:Del:C:1	1.02E-03	1.66E-03	0.00E+00	0.00E+00	2.37E-02	3.24E-03	9.05E-03	3.42E-02	1.33E-02	6.64E-03	5.07E-03
1:Del:C:2	1.60E-04	8.62E-05	1.17E-04	2.00E-04	1.12E-03	6.77E-04	3.08E-04	4.57E-04	1.86E-07	7.67E-04	0.00E+00
1:Del:C:3	5.61E-05	4.37E-04	8.19E-05	3.30E-04	1.05E-03	7.73E-03	2.06E-03	4.29E-03	3.09E-03	3.63E-03	1.67E-03
1:Del:C:4	1.78E-04	2.74E-05	3.63E-04	1.61E-04	4.42E-03	2.13E-03	0.00E+00	4.32E-03	5.74E-03	7.04E-03	1.66E-03
1:Del:C:5	1.19E-08	2.86E-05	1.99E-03	2.45E-09	0.00E+00	6.74E-04	9.12E-04	0.00E+00	1.02E-02	3.74E-03	9.60E-03
1:Del:T:0	1.87E-04	0.00E+00	2.12E-03	7.53E-04	1.53E-02	7.74E-03	6.97E-03	2.60E-02	3.83E-03	3.82E-02	1.50E-02
1:Del:T:1	1.02E-03	2.67E-04	1.11E-05	6.25E-04	9.03E-03	7.52E-03	1.73E-03	6.00E-03	7.56E-03	1.29E-02	1.12E-02
1:Del:T:2	1.32E-03	1.31E-05	1.28E-03	0.00E+00	6.83E-03	1.02E-02	2.99E-03	1.44E-02	1.20E-02	2.62E-03	8.58E-03
1:Del:T:3	2.62E-04	1.37E-03	1.40E-46	5.69E-04	1.61E-02	2.36E-02	3.37E-03	1.76E-02	1.95E-02	5.13E-02	1.20E-02
1:Del:T:4	4.50E-04	1.46E-03	6.63E-03	1.31E-03	1.56E-02	1.61E-03	0.00E+00	2.14E-02	5.12E-02	6.41E-03	2.19E-02
1:Del:T:5	2.18E-06	6.07E-08	8.99E-03	4.83E-08	5.77E-07	2.00E-02	1.31E-03	4.49E-08	7.45E-02	3.27E-03	2.99E-02
1:Ins:C:0	6.12E-07	2.24E-08	1.21E-06	3.78E-08	1.22E-08	3.92E-04	8.21E-04	2.52E-08	3.18E-07	3.72E-04	3.76E-04
1:Ins:C:1	7.20E-03	5.10E-06	2.93E-08	3.37E-07	1.28E-07	9.00E-04	1.70E-03	2.85E-03	2.61E-03	1.12E-01	2.19E-07
1:Ins:C:2	9.05E-06	1.59E-07	2.63E-04	0.00E+00	2.54E-04	3.87E-04	9.27E-08	4.29E-08	5.35E-04	6.42E-09	2.40E-04
1:Ins:C:3	1.38E-08	2.28E-04	7.28E-05	1.27E-04	1.86E-04	3.43E-04	3.74E-04	1.31E-03	3.14E-04	1.49E-07	2.13E-03
1:Ins:C:4	1.33E-04	8.78E-05	6.79E-04	6.39E-04	0.00E+00	4.86E-05	0.00E+00	0.00E+00	3.81E-03	3.59E-03	2.47E-03
1:Ins:C:5	1.16E-04	3.19E-03	6.89E-04	4.60E-08	1.74E-03	3.04E-04	4.25E-04	0.00E+00	1.35E-02	9.16E-08	4.09E-02
1:Ins:T:0	1.92E-04	8.77E-04	1.56E-04	2.63E-04	4.53E-03	4.38E-03	1.46E-03	3.35E-03	6.34E-03	3.39E-03	3.13E-03
1:Ins:T:1	0.00E+00	1.06E-07	0.00E+00	3.12E-04	2.76E-03	2.17E-03	1.60E-03	2.20E-03	2.98E-03	1.00E-03	2.50E-03
1:Ins:T:2	0.00E+00	5.75E-05	3.66E-04	0.00E+00	1.36E-03	8.75E-04	2.53E-08	3.81E-04	1.25E-03	1.38E-07	1.69E-03
1:Ins:T:3	0.00E+00	6.95E-04	7.51E-04	2.50E-04	8.07E-04	0.00E+00	1.92E-03	1.45E-03	5.31E-03	6.20E-04	8.40E-04
1:Ins:T:4	9.46E-05	1.69E-03	9.05E-04	1.26E-04	3.45E-04	7.38E-04	4.22E-04	1.45E-03	5.34E-03	2.57E-03	9.92E-03
1:Ins:T:5	3.15E-08	5.20E-03	4.46E-07	3.17E-06	1.67E-07	1.02E-06	6.37E-03	9.60E-04	1.42E-06	6.74E-03	8.99E-02
2:Del:R:0	0.00E+00	0.00E+00	6.73E-04	1.22E-03	3.44E-03	3.01E-03	6.75E-04	5.71E-03	2.92E-03	4.18E-03	1.02E-02
2:Del:R:1	5.13E-04	2.61E-04	5.91E-05	3.11E-04	1.67E-03	3.06E-03	3.69E-03	4.17E-04	2.20E-03	1.13E-02	2.32E-03
2:Del:R:2	1.01E-08	1.79E-04	5.46E-04	1.76E-04	5.15E-04	2.32E-03	1.26E-04	2.90E-04	2.31E-03	1.32E-03	2.29E-03
2:Del:R:3	4.22E-05	7.29E-05	3.54E-04	0.00E+00	3.94E-04	1.23E-07	1.02E-07	7.70E-04	2.66E-03	4.71E-04	4.99E-04
2:Del:R:4	6.78E-08	4.38E-08	9.44E-05	4.78E-08	1.41E-08	4.31E-04	2.89E-04	5.41E-08	1.30E-04	1.31E-04	6.07E-08
2:Del:R:5	3.84E-03	1.59E-04	1.50E-08	3.29E-08	9.55E-08	1.42E-07	3.36E-08	9.29E-04	3.23E-04	2.38E-02	5.53E-04
3:Del:R:0	0.00E+00	2.76E-04	0.00E+00	5.87E-04	1.12E-03	1.11E-03	1.26E-03	1.78E-03	2.10E-03	1.71E-03	9.49E-05
3:Del:R:1	3.14E-05	4.98E-04	5.80E-04	4.19E-04	1.88E-03	2.17E-03	7.03E-04	2.23E-03	2.42E-03	3.90E-03	3.82E-03
3:Del:R:2	1.43E-04	1.99E-08	3.27E-04	0.00E+00	5.99E-04	2.09E-03	1.14E-04	1.52E-03	2.01E-03	1.84E-03	2.04E-04
3:Del:R:3	3.82E-08	1.51E-08	2.23E-08	4.42E-03	1.15E-07	4.33E-02	3.74E-04	3.29E-07	1.13E-07	5.85E-02	4.72E-02
3:Del:R:4	1.38E-08	1.23E-08	4.00E-08	1.33E-08	3.76E-08	7.34E-08	7.49E-08	6.61E-08	1.87E-07	1.12E-07	9.69E-08
3:Del:R:5	3.64E-08	4.42E-08	1.44E-08	6.90E-05	3.37E-08	7.72E-08	3.02E-04	8.86E-08	2.17E-07	1.28E-07	5.69E-08
4:Del:R:0	1.11E-04	2.91E-07	1.10E-04	0.00E+00	4.75E-05	1.43E-03	1.43E-03	1.14E-04	2.53E-03	4.95E-03	2.63E-03
4:Del:R:1	3.31E-04	2.00E-06	6.34E-04	0.00E+00	2.52E-03	3.48E-03	1.47E-03	3.16E-03	9.15E-03	9.29E-03	1.14E-03
4:Del:R:2	1.45E-03	0.00E+00	2.11E-04	0.00E+00	2.41E-04	3.30E-05	8.71E-09	3.57E-04	1.69E-03	3.90E-03	6.16E-04
4:Del:R:3	1.38E-08	1.23E-08	4.00E-08	1.33E-08	3.76E-08	7.34E-08	7.49E-08	6.61E-08	1.87E-07	1.12E-07	9.69E-08
4:Del:R:4	1.38E-08	1.23E-08	4.00E-08	1.33E-08	3.76E-08	7.34E-08	7.49E-08	6.61E-08	1.87E-07	1.12E-07	9.69E-08
4:Del:R:5	3.23E-08	4.42E-08	2.41E-08	3.18E-08	1.04E-04	9.21E-05	6.77E-08	1.07E-07	3.34E-07	3.90E-04	2.32E-04
5:Del:R:0	3.41E-03	8.71E-08	3.56E-09	1.75E-04	4.25E-04	2.40E-02	4.89E-02	5.16E-03	2.54E-07	2.16E-02	6.72E-04
5:Del:R:1	3.84E-05	4.32E-09	5.78E-04	1.49E-03	1.16E-08	8.28E-04	2.91E-04	6.62E-06	2.21E-03	1.09E-02	6.39E-04
5:Del:R:2	7.67E-05	1.16E-07	3.50E-07	1.03E-04	0.00E+00	9.22E-04	5.35E-04	6.14E-08	2.95E-04	1.10E-03	9.98E-05
5:Del:R:3	3.65E-08	4.79E-08	2.45E-08	1.27E-04	4.61E-08	6.47E-08	7.28E-08	8.10E-08	8.78E-08	1.74E-07	7.29E-08
5:Del:R:4	2.01E-08	1.28E-07	5.44E-08	3.86E-08	4.01E-08	9.41E-08	5.67E-08	7.50E-08	3.99E-04	1.56E-07	1.92E-04
5:Del:R:5	1.38E-08	1.23E-08	4.00E-08	1.33E-08	3.76E-08	7.34E-08	7.49E-08	6.61E-08	1.87E-07	1.12E-07	9.69E-08
2:Ins:R:0	1.97E-04	0.00E+00	2.93E-04	1.78E-08	1.51E-04	8.51E-04	4.54E-04	1.47E-04	1.02E-03	0.00E+00	6.72E-04
2:Ins:R:1	4.78E-05	1.06E-04	1.83E-04	4.06E-08	5.81E-04	6.75E-04	3.75E-04	0.00E+00	5.99E-04	6.23E-04	3.56E-04
2:Ins:R:2	5.64E-09	5.33E-05	5.45E-08	1.46E-08	3.04E-04	6.89E-04	1.02E-08	3.21E-04	1.52E-03	9.68E-04	1.43E-03
2:Ins:R:3	9.32E-05	0.00E+00	1.28E-04	8.77E-10	0.00E+00	2.88E-08	6.71E-04	2.39E-04	1.12E-03	9.69E-04	5.22E-04
2:Ins:R:4	3.56E-09	5.71E-04	2.58E-04	4.13E-08	9.66E-05	2.37E-07	4.29E-04	1.46E-03	4.79E-03	5.41E-03	1.25E-03
2:Ins:R:5	2.33E-04	2.14E-03	1.44E-03	2.49E-04	1.71E-03	1.37E-03	1.15E-03	0.00E+00	1.27E-02	5.67E-03	1.77E-02
3:Ins:R:0	2.34E-08	3.45E-05	1.96E-08	8.59E-08	2.27E-08	9.74E-05	3.46E-04	2.10E-08	3.95E-04	2.99E-04	9.89E-04
3:Ins:R:1	2.51E-08	4.42E-08	1.40E-04	4.14E-08	3.65E-07	0.00E+00	6.22E-05	6.75E-04	7.18E-04	7.16E-04	2.77E-05
3:Ins:R:2	2.36E-08	8.07E-08	1.63E-04	3.94E-08	4.09E-05	6.55E-08	3.03E-04	8.24E-08	1.28E-04	6.40E-04	1.72E-04
3:Ins:R:3	1.38E-08	1.23E-08	4.00E-08	1.33E-08	3.76E-08	7.34E-08	7.49E-08	6.61E-08	1.87E-07	1.12E-07	9.69E-08
3:Ins:R:4	3.59E-08	3.39E-08	3.50E-05	3.50E-08	4.80E-08	1.20E-07	1.37E-04	9.78E-08	3.97E-04	1.30E-07	4.32E-04
3:Ins:R:5	3.04E-08	7.74E-07	3.91E-04	8.04E-08	1.57E-07	6.01E-04	2.90E-07	1.93E-08	2.26E-03	4.74E-04	1.03E-03
