Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	29	3	22	4	5	0	1	0	0	7	15	0	3	2	0	5	0
V2	0	0	9	1	31	3	1	0	33	0	0	0	8	0	27	0	0
V3	27	177	6	0	0	1	80	0	4	13	0	0	21	0	1	2	16
V4	10	5	3	21	1	0	0	0	0	21	0	0	0	1	0	0	0
V5	0	15	17	2	12	39	23	0	11	0	0	66	63	5	0	0	0
V6	0	20	0	3	0	18	43	0	0	0	0	63	2	35	0	0	0
V7	1	0	0	33	30	9	0	0	17	0	13	9	0	13	0	0	14
V8	0	0	35	12	25	35	119	0	9	0	45	4	9	39	30	11	0
V9	0	26	22	12	15	19	0	0	45	0	0	10	6	4	30	1	0
V10	11	27	14	27	0	1	0	0	3	0	10	8	1	0	0	0	0
V11	1	6	2	15	7	3	15	0	3	0	0	0	18	35	0	0	0
V12	16	6	101	14	7	1	0	0	13	0	9	0	0	0	4	3	0
V13	0	30	1	58	17	13	37	0	0	47	0	0	0	22	11	0	0
V14	37	9	8	43	1	1	0	6	0	1	0	10	0	0	2	0	2
V15	23	16	0	3	4	14	6	0	4	0	15	9	7	0	13	0	0
V16	0	34	1	11	7	8	0	0	2	17	0	0	6	0	3	0	0
V17	160	40	28	0	0	30	18	0	0	14	41	1	16	29	0	0	22
V18	5	0	8	0	21	0	0	0	5	0	0	0	4	0	12	0	0
V19	163	12	23	3	3	3	0	2	8	0	94	0	9	4	4	0	0
V20	9	8	3	26	3	13	0	24	15	11	0	0	0	29	0	0	6
V21	17	107	83	40	0	3	0	56	0	51	0	15	1	0	0	0	9
V22	190	43	0	178	15	28	37	0	22	66	0	0	57	0	0	0	0
V23	5	108	0	0	3	20	0	87	0	0	0	0	18	1	0	10	0
V24	0	58	19	237	0	0	0	81	5	23	0	0	0	0	17	30	0
V25	180	0	8	3	4	94	40	0	21	0	58	60	87	59	0	0	0
V26	53	5	186	61	4	36	0	0	0	2	1	0	7	18	7	0	0
V27	38	45	0	99	0	79	57	0	0	0	0	63	2	3	0	0	21
V28	28	367	0	0	11	48	38	0	6	0	0	53	26	0	12	0	0
V29	142	5	15	22	0	16	1	6	7	9	1	7	0	0	0	0	0
V30	0	56	2	198	225	59	26	0	60	0	11	0	5	12	0	0	0
V31	21	149	0	110	2	63	32	55	0	107	0	66	45	45	2	0	0
V32	38	13	0	53	1	3	0	6	0	12	0	0	2	5	0	7	0
V33	6	0	74	5	11	1	0	2	8	39	0	0	3	1	0	9	4
V34	105	94	77	0	35	13	5	3	11	0	0	20	8	1	0	0	34
V35	0	8	12	32	1	49	0	0	4	0	12	0	2	26	11	10	0
V36	27	12	6	1	1	9	2	0	0	0	22	0	3	0	1	1	0
V37	13	31	2	0	1	1	0	2	3	0	0	0	1	0	2	0	0
V38	7	0	417	12	1	12	0	0	1	0	9	10	9	9	0	0	0
V39	399	90	48	0	12	0	14	0	12	0	37	44	61	29	2	8	0
V40	1	1	104	26	87	0	0	0	26	0	3	0	12	0	57	10	0
V41	71	21	0	0	0	2	0	0	0	0	4	0	3	0	11	0	0
V42	0	48	0	80	45	66	24	73	5	0	14	36	24	71	0	0	0
V43	102	2	2	0	1	0	4	0	1	0	1	0	9	0	0	0	3
V44	58	0	11	6	7	0	38	0	0	8	34	0	0	9	0	0	0
V45	2	72	184	0	47	0	2	17	82	0	0	0	4	8	7	0	22
V46	46	0	125	0	0	0	12	11	4	7	5	1	1	0	10	1	0
V47	51	33	45	3	13	1	0	18	0	0	0	0	0	0	0	21	0
V48	67	109	1	10	20	0	56	89	12	0	0	0	26	5	0	0	0
V49	11	0	18	38	5	35	6	40	1	9	13	0	8	3	0	0	0
V50	18	25	0	17	1	0	77	0	1	21	7	16	0	25	0	0	10
V51	0	21	76	7	18	17	0	0	0	0	0	12	0	2	2	4	0
V52	67	22	59	0	0	26	34	10	0	3	28	1	3	0	0	0	0
V53	10	35	30	4	0	17	19	14	0	2	12	20	5	8	0	0	0
V54	12	34	8	61	5	0	0	88	0	60	0	0	0	10	1	0	0
V55	7	1	3	0	0	5	0	0	1	10	0	2	6	0	0	0	0
V56	0	54	219	2	9	0	28	0	44	0	4	12	19	16	7	3	0
V57	45	24	4	0	1	0	5	25	1	2	17	0	0	0	0	0	0
V58	21	56	73	22	30	1	0	0	21	0	0	0	15	3	27	10	20
V59	11	55	39	9	6	30	20	3	0	9	0	0	0	0	0	0	0
V60	37	4	0	59	69	29	0	0	39	0	52	14	15	29	6	32	0
V61	30	38	41	32	69	3	14	0	15	0	29	8	1	27	0	11	0
V62	0	175	31	17	36	9	0	122	14	30	0	18	3	0	0	0	6
V63	8	12	10	0	0	0	0	6	0	19	0	2	0	0	0	0	0
V64	59	50	1	0	32	3	0	0	14	0	0	0	0	0	64	4	0
V65	0	91	1	39	26	0	4	1	7	0	0	0	8	0	6	0	5
V66	61	0	3	72	38	35	4	17	67	36	0	0	21	1	0	0	0
V67	0	34	131	0	29	47	4	0	12	0	1	0	9	17	13	45	0
V68	4	32	19	0	2	0	93	0	2	7	3	30	44	18	4	0	0
V69	134	38	5	38	10	0	27	0	17	0	6	0	7	45	6	0	0
V70	0	8	1	0	0	0	4	0	1	0	3	6	6	0	1	0	0
V71	169	18	3	157	23	12	18	0	13	5	56	13	7	4	0	22	0
V72	12	59	20	0	43	0	1	0	26	0	0	0	0	4	32	0	0
V73	1	92	42	18	34	27	0	42	47	0	0	0	21	12	0	0	0
V74	247	100	9	3	10	17	25	22	15	7	0	6	20	0	0	0	0
V75	82	114	3	106	6	76	0	54	0	0	0	15	35	29	9	0	0
V76	0	0	1	0	7	0	0	0	3	0	0	0	2	0	20	0	0
V77	13	9	11	15	0	11	47	0	0	47	14	38	0	0	0	0	0
V78	70	14	40	0	0	2	0	11	0	0	0	0	12	6	0	0	0
V79	5	60	1	4	3	0	0	46	4	2	0	0	0	0	10	0	0
V80	0	0	7	182	0	17	18	25	0	94	0	0	1	8	0	0	0
V81	13	26	94	31	0	0	0	0	0	4	0	18	0	0	0	21	0
V82	201	21	4	91	1	5	0	6	0	0	24	0	0	0	0	0	0
V83	56	1	0	369	5	0	4	0	67	0	42	36	0	1	80	0	0
V84	9	43	3	14	17	9	0	14	42	0	0	0	4	7	9	0	0
V85	23	17	23	7	0	1	0	34	15	0	18	0	3	0	9	0	0
V86	1	3	5	0	2	2	0	0	0	37	0	2	0	5	0	0	1
V87	0	1	26	13	1	0	1	0	3	4	9	6	0	3	0	0	10
V88	20	0	16	0	9	0	0	0	8	15	0	18	2	0	5	0	0
V89	14	26	1	15	3	20	0	0	11	35	0	13	7	0	0	0	0
V90	228	0	12	4	4	18	0	0	2	0	42	7	5	0	5	0	0
V91	108	55	204	5	8	0	0	0	2	7	23	0	0	0	7	0	0
V92	10	137	11	15	0	1	7	0	0	8	4	0	3	2	0	0	5
V93	0	24	12	10	4	20	3	4	8	11	0	0	7	0	0	0	0
V94	40	66	94	46	2	0	25	9	0	0	0	3	0	5	1	17	0
V95	8	40	0	3	12	0	5	24	1	0	0	0	0	0	0	7	0
V96	15	8	171	16	22	2	0	0	7	19	0	0	0	0	0	0	11
V97	233	0	0	29	21	0	10	0	10	0	19	0	4	6	0	0	5
V98	14	35	41	3	5	1	0	0	1	0	0	4	0	0	0	6	0
V99	26	223	0	88	0	6	0	86	0	29	0	28	0	6	0	0	5
V100	413	21	0	8	20	3	14	3	28	0	26	0	0	0	15	0	0
