Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	2.01E+00	5.97E-01	1.66E+00	1.79E+00	1.65E+00
V2	0.00E+00	3.89E-01	1.28E+01	1.08E+01	2.16E+00
V3	1.65E+00	9.03E+00	1.26E+01	4.77E+00	8.03E-01
V4	9.55E-01	7.77E-01	6.70E-01	1.25E+00	6.15E-01
V5	0.00E+00	1.91E+00	2.31E+01	2.25E+01	2.14E+00
V6	0.00E+00	2.07E+00	2.18E+01	2.06E+01	0.00E+00
V7	1.02E+00	8.88E-01	6.74E+00	6.91E+00	0.00E+00
V8	1.96E+00	3.94E-01	2.74E+01	2.82E+01	2.66E+00
V9	0.00E+00	2.04E+00	1.17E+01	1.08E+01	2.83E+00
V10	9.57E-01	8.62E-01	6.51E-01	1.07E+00	1.55E+00
V11	3.71E-01	1.10E+00	8.29E+00	7.61E+00	3.65E-01
V12	9.48E-01	1.11E+00	3.14E+00	2.12E+00	2.39E+00
V13	0.00E+00	1.81E+00	1.07E+01	1.05E+01	3.27E-01
V14	1.53E+00	1.67E+00	7.95E-01	1.75E+00	9.20E-01
V15	1.95E+00	1.96E+00	4.18E+00	2.69E+00	0.00E+00
V16	0.00E+00	1.54E+00	2.48E+00	2.24E+00	2.77E-01
V17	8.27E+00	4.91E+00	1.31E+01	5.13E+00	1.41E+00
V18	9.04E-01	0.00E+00	6.46E+00	4.08E+00	2.90E+00
V19	3.29E+00	1.22E+00	3.28E+00	1.41E+00	1.73E+00
V20	1.29E+00	2.72E+00	4.59E+00	5.24E+00	5.47E-01
V21	1.12E+00	5.30E+00	1.63E+00	5.09E+00	1.93E+00
V22	3.84E+00	2.29E+00	1.22E+01	1.14E+01	0.00E+00
V23	6.67E-01	5.65E+00	5.77E+00	6.16E-01	6.74E-01
V24	0.00E+00	1.96E+00	3.04E+00	3.62E+00	2.23E+00
V25	8.75E+00	3.33E-01	4.60E+01	3.81E+01	1.42E+00
V26	3.13E+00	1.18E+00	6.11E+00	6.76E+00	4.25E+00
V27	2.46E+00	3.46E+00	2.73E+01	2.48E+01	0.00E+00
V28	1.50E+00	1.50E+01	1.61E+01	6.84E-01	0.00E+00
V29	2.25E+00	1.32E+00	2.89E+00	2.23E+00	7.06E-01
V30	1.02E+00	2.17E+00	3.91E+01	3.98E+01	4.94E-01
V31	1.94E+00	8.59E+00	3.23E+01	2.88E+01	0.00E+00
V32	1.42E+00	1.73E+00	1.31E+00	2.25E+00	6.11E-01
V33	1.01E+00	7.60E-01	3.08E+00	2.29E+00	2.40E+00
V34	4.08E+00	2.28E+00	5.37E+00	5.00E-01	5.83E+00
V35	9.67E-01	9.67E-01	1.03E+01	1.02E+01	1.29E+00
V36	1.00E+00	8.49E-01	1.47E+00	8.83E-01	1.11E+00
V37	1.52E+00	1.35E+00	5.78E-01	0.00E+00	4.99E-01
V38	1.28E+00	2.49E-01	3.83E+00	8.00E-01	2.80E+00
V39	9.56E+00	6.99E+00	1.12E+01	6.83E-01	2.43E+00
V40	6.05E-01	9.36E-01	2.43E+01	1.59E+01	9.49E+00
V41	1.43E+00	1.61E+00	1.26E+00	5.21E-01	0.00E+00
V42	1.49E+00	4.18E+00	2.56E+01	2.29E+01	0.00E+00
V43	1.37E+00	5.00E-01	1.14E+00	0.00E+00	4.16E-01
V44	2.35E+00	0.00E+00	6.56E+00	5.15E+00	1.40E+00
V45	6.51E-01	3.11E+00	2.00E+01	1.38E+00	1.73E+01
V46	1.11E+00	1.31E+00	1.55E+00	1.55E+00	2.18E+00
V47	2.28E+00	2.48E+00	2.71E+00	9.64E-01	2.55E+00
V48	2.16E+00	7.15E+00	9.40E+00	4.95E+00	5.00E-01
V49	1.40E+00	1.42E+00	8.04E+00	7.11E+00	1.62E+00
V50	1.75E+00	2.78E+00	1.60E+01	1.34E+01	0.00E+00
V51	0.00E+00	1.49E+00	2.68E+00	1.28E+00	2.55E+00
V52	4.71E+00	2.35E+00	9.14E+00	4.09E+00	1.67E+00
V53	1.28E+00	3.52E+00	8.77E+00	6.02E+00	2.23E+00
V54	1.67E+00	2.85E+00	1.02E+00	3.64E+00	9.66E-01
V55	8.59E-01	4.53E-01	2.29E+00	2.04E+00	5.42E-01
V56	5.86E-01	4.91E+00	8.21E+00	2.71E+00	8.99E+00
V57	2.15E+00	2.34E+00	7.06E-01	6.18E-01	4.07E-01
V58	1.52E+00	3.55E+00	1.18E+01	7.57E+00	3.05E+00
V59	1.07E+00	3.03E+00	5.86E+00	5.08E+00	1.43E+00
V60	2.47E+00	1.03E+00	1.72E+01	1.43E+01	2.36E+00
V61	2.44E+00	3.25E+00	1.08E+01	7.80E+00	4.42E+00
V62	5.04E-01	3.96E+00	6.88E+00	5.56E+00	1.71E+00
V63	8.03E-01	1.35E+00	4.01E-01	1.05E+00	7.42E-01
V64	2.80E+00	3.16E+00	1.46E+01	1.26E+01	6.46E-01
V65	4.07E-01	2.49E+00	6.03E+00	5.97E+00	3.94E-01
V66	2.38E+00	1.22E+00	1.34E+01	1.37E+01	9.29E-01
V67	0.00E+00	3.85E+00	1.14E+01	8.10E+00	8.11E+00
V68	1.24E+00	3.77E+00	2.58E+01	2.27E+01	1.76E+00
V69	4.03E+00	2.83E+00	7.24E+00	6.94E+00	1.09E+00
V70	3.71E-01	5.93E-01	1.91E+00	1.56E+00	4.23E-01
V71	5.50E+00	1.61E+00	6.82E+00	6.88E+00	8.54E-01
