Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
V1	1.31E+00	1.02E+00	3.19E+00	1.47E+01	1.32E+00	1.05E+01	1.03E+01	1.75E+01	8.72E+00	1.80E+01
V2	2.44E+00	3.93E+00	1.19E+00	4.75E+00	2.24E-01	1.21E+00	2.23E+00	5.21E+00	5.76E+00	4.54E+00
V3	2.28E+00	1.37E+00	2.42E+00	1.03E+01	1.02E+00	2.51E+00	2.35E+00	7.34E+00	8.95E+00	3.38E+00
V4	1.89E+00	1.20E+00	3.93E+00	2.49E+01	1.46E+00	4.50E+00	5.32E+00	1.89E+01	2.30E+01	8.69E+00
V5	9.83E-01	5.89E+00	2.95E+00	7.63E-01	5.83E+00	3.42E+00	3.20E+00	1.85E+00	4.82E-01	5.22E+00
V6	2.75E+00	3.63E+00	3.33E+00	0.00E+00	1.34E+00	4.07E-01	1.90E+00	8.56E-01	2.69E-01	3.63E+00
V7	7.77E+00	2.84E+00	1.47E+00	1.34E+01	4.08E+00	4.45E+00	8.32E+00	1.33E+01	7.38E+00	7.75E+00
V8	3.95E+00	3.12E+00	2.64E+00	3.43E+00	2.15E+00	2.57E+01	2.93E+01	3.17E+00	1.95E+01	4.44E+00
V9	2.27E+00	4.12E+00	1.35E+00	1.36E+00	6.85E+00	1.78E+01	1.64E+01	1.00E+00	2.37E+00	6.22E+00
V10	2.58E-01	5.96E-01	0.00E+00	4.27E-01	0.00E+00	4.42E-01	0.00E+00	3.94E-01	2.00E-01	5.47E-01
V11	2.22E+00	4.51E+00	8.03E-01	2.01E+01	3.08E+00	3.27E-01	1.61E+00	1.91E+01	1.11E+01	1.49E+01
V12	3.18E+00	2.61E+00	7.86E-01	3.46E+00	1.38E+01	2.01E+00	2.65E+00	2.73E+00	2.53E+00	1.19E+01
V13	6.23E+00	1.49E+00	1.40E+00	1.49E+00	4.20E+00	9.74E+00	8.37E+00	2.54E+00	2.33E+00	1.05E+01
V14	1.54E+00	0.00E+00	0.00E+00	7.28E+00	5.59E-01	1.81E+00	2.28E+00	9.39E+00	8.95E+00	9.90E+00
V15	1.24E+00	1.86E+00	1.62E+00	3.05E+00	4.00E+00	8.72E-01	1.13E+00	3.55E+00	2.40E+00	4.27E+00
V16	1.23E+00	1.22E+00	9.40E-01	3.69E+00	8.00E-01	6.24E+00	8.55E+00	2.94E+00	4.87E+00	2.29E+00
V17	1.28E+00	7.67E+00	2.43E+00	5.78E+00	7.86E+00	4.14E+00	3.83E+00	4.06E+00	5.07E+00	5.50E+00
V18	3.14E-01	3.94E+00	1.37E+00	1.18E+00	8.98E-01	5.79E+00	5.85E+00	7.33E-01	3.75E+00	1.82E+00
V19	1.04E+01	1.10E+00	1.16E+00	6.63E+00	1.42E+00	5.47E+00	6.22E+00	8.14E+00	4.09E+00	1.41E+01
V20	5.03E+00	2.78E+00	1.16E+00	2.22E+00	7.72E-01	1.07E+01	1.07E+01	5.97E-01	4.20E+00	1.72E+00
V21	6.19E-01	4.75E+00	7.49E-01	0.00E+00	1.15E+01	1.89E+00	1.48E+00	0.00E+00	7.37E-01	1.30E+01
V22	1.21E+00	2.29E+00	2.94E+00	2.68E+00	5.89E+00	2.38E+00	4.04E+00	2.78E+00	2.41E+00	5.51E+00
V23	3.12E+00	1.42E+00	0.00E+00	1.42E+00	2.84E+00	3.00E-01	4.81E+00	2.68E+00	1.34E+00	1.61E+00
V24	8.92E-01	4.26E+00	2.21E-01	1.58E+01	1.30E+00	1.14E+00	7.77E-01	1.54E+01	6.86E+00	9.01E+00
V25	8.79E+00	3.12E+00	5.12E-01	3.72E+00	4.40E+00	5.33E+00	7.34E+00	4.47E+00	3.86E+00	7.35E+00
V26	4.47E-01	2.08E+00	3.35E+00	6.08E+00	8.43E-01	4.57E+00	6.17E+00	7.87E+00	5.25E+00	2.43E+00
V27	3.21E+00	3.16E+00	0.00E+00	2.19E+00	6.68E+00	9.44E+00	6.38E+00	1.16E+00	7.14E+00	7.76E+00
V28	1.68E+00	3.03E+00	1.03E+00	5.13E+00	8.00E-01	2.26E+00	2.54E+00	8.26E+00	4.69E+00	5.42E+00
V29	6.67E-01	2.41E+00	4.33E+00	1.00E+01	2.52E+00	6.95E+00	7.29E+00	1.02E+01	1.36E+01	8.48E+00
V30	5.11E+00	1.93E+00	6.57E-01	3.81E+01	2.24E-01	0.00E+00	8.27E-01	3.59E+01	2.52E+01	2.77E+01
V31	4.56E+00	2.01E+00	4.16E-01	2.44E+01	1.35E+00	4.05E+00	5.27E+00	2.57E+01	1.03E+01	1.26E+01
V32	1.62E+00	1.85E+00	0.00E+00	7.63E-01	1.21E+00	6.43E+00	5.16E+00	2.03E+00	1.59E+00	1.98E+00
V33	2.13E-01	2.30E+00	2.88E+00	2.38E+00	8.49E-01	4.25E+00	3.31E+00	2.90E+00	2.17E+00	2.12E+00
V34	3.15E+00	3.78E+00	3.00E+00	5.65E+00	5.31E+00	4.25E+00	4.50E+00	5.68E+00	5.00E+00	7.17E+00
V35	2.35E+00	4.10E+00	3.23E+00	1.61E+00	6.29E-01	6.76E+00	6.86E+00	1.40E+00	6.84E+00	4.59E+00
V36	1.28E+00	8.57E-01	1.06E+00	7.22E-01	7.30E-01	2.15E+00	2.13E+00	5.04E-01	0.00E+00	1.52E+00
V37	1.73E+00	3.12E+00	4.42E-01	4.00E+00	1.84E+00	3.48E-01	4.27E-01	4.49E+00	1.83E+00	5.04E+00
V38	1.24E+00	4.75E+00	3.31E+00	1.06E+00	2.06E+00	2.17E+00	5.51E+00	1.00E-01	2.60E+00	4.16E+00
V39	1.31E+00	2.69E-01	0.00E+00	8.97E-01	4.00E-01	8.88E-01	4.77E-01	1.23E+00	9.98E-01	1.57E+00
V40	1.78E+00	1.41E+00	0.00E+00	4.85E+00	1.71E+00	7.69E+00	4.96E+00	2.51E+00	5.37E+00	4.38E+00
V41	8.83E-01	2.71E+00	1.42E+00	7.74E+00	2.59E+00	1.44E+01	1.37E+01	8.61E+00	5.43E+00	3.40E+00
V42	6.28E+00	6.26E+00	4.16E+00	3.58E+00	1.73E+01	4.24E+01	4.54E+01	3.99E+00	2.32E+01	2.03E+01
V43	1.04E+00	5.81E+00	8.14E-01	5.72E+00	1.51E+00	5.86E+00	6.08E+00	5.37E+00	7.26E+00	5.67E+00
V44	2.69E-01	2.86E+00	2.67E+00	1.91E+00	7.44E+00	5.88E+00	4.83E+00	2.15E+00	2.59E+00	6.65E+00
V45	3.36E+00	1.45E+00	1.28E+00	5.16E-01	3.70E+00	6.67E-01	4.58E+00	0.00E+00	9.32E-01	3.39E+00
V46	1.04E+00	1.35E+01	6.80E-01	1.41E+00	1.78E+01	0.00E+00	0.00E+00	3.03E+00	5.00E-01	2.14E+01
V47	2.91E+00	2.81E+00	2.14E+00	4.32E+00	4.52E-01	2.59E+01	2.41E+01	1.19E+00	1.50E+01	3.34E+00
V48	2.95E+00	2.75E+00	2.24E-01	4.26E+00	2.30E+00	8.92E+00	9.10E+00	3.11E+00	3.79E+00	2.86E+00
V49	4.99E+00	9.12E-01	0.00E+00	8.99E+00	2.59E+00	1.44E+00	5.18E+00	6.02E+00	5.65E+00	3.71E+00
V50	3.24E+00	1.54E+00	1.49E+00	3.27E-01	9.32E-01	8.03E-01	1.87E+00	1.00E-01	1.64E+00	3.79E+00
V51	3.29E+00	1.72E+00	2.69E+00	1.34E+01	1.64E+00	0.00E+00	1.20E+00	9.55E+00	1.15E+01	7.29E+00
V52	6.73E+00	4.49E+00	2.03E+00	1.22E+01	2.19E+00	7.60E-01	1.32E+00	1.78E+01	1.21E+01	1.49E+01
V53	1.77E+00	1.98E+00	2.84E+00	6.13E+00	0.00E+00	6.99E-01	2.01E+00	5.96E+00	5.18E+00	4.99E+00
V54	3.14E-01	2.38E+00	0.00E+00	1.00E+00	1.16E+00	4.99E+00	4.51E+00	6.80E-01	3.15E+00	1.23E+00
V55	2.26E+00	1.99E+00	6.05E-01	1.24E+00	1.28E+00	3.45E+00	5.93E+00	1.98E+00	4.41E+00	3.00E-01
V56	9.91E-01	1.42E+00	0.00E+00	5.21E-01	2.39E+00	6.57E-01	8.83E-01	2.00E-01	3.06E-01	2.51E+00
V57	2.41E+00	1.30E+00	1.41E+00	3.41E+01	0.00E+00	1.43E+00	1.51E+00	4.03E+01	3.69E+01	3.61E+01
V58	5.42E+00	9.24E-01	4.49E+00	2.95E+00	1.66E+00	1.64E+00	1.54E+00	1.97E+00	7.78E-01	3.03E+00
V59	3.03E+00	1.41E+00	1.71E+00	1.26E+00	9.57E-01	1.06E+00	1.22E+00	1.19E+00	2.13E-01	2.09E+00
V60	7.77E-01	6.83E-01	1.64E+00	7.34E+00	2.66E+00	6.19E+00	7.45E+00	5.13E+00	7.38E+00	2.69E+00
V61	5.78E-01	9.89E-01	1.53E+00	1.39E+00	3.21E+00	2.43E+00	1.40E+00	9.43E-01	2.13E+00	3.66E+00
V62	1.60E+00	4.03E+00	3.48E+00	3.03E+00	1.20E+01	5.04E+00	4.99E+00	3.75E+00	3.49E+00	1.40E+01
V63	6.86E+00	5.01E+00	0.00E+00	5.72E+00	8.00E-01	4.67E+01	4.53E+01	8.22E+00	1.17E+01	1.16E+01
V64	1.65E+00	3.09E+00	0.00E+00	1.02E+00	4.90E-01	2.21E+00	1.88E+00	1.57E+00	9.64E-01	3.21E+00
V65	5.15E+00	4.05E+00	1.93E+00	5.00E-01	3.06E-01	2.60E+00	7.34E+00	2.20E+00	1.55E+00	3.45E+00
V66	7.79E+00	1.63E+00	1.41E+00	0.00E+00	3.72E+00	6.59E+00	8.30E+00	2.85E+00	3.10E+00	1.09E+01
V67	2.46E+00	3.86E+00	1.98E+00	3.27E+00	1.33E-01	6.05E-01	2.72E+00	5.55E+00	7.89E+00	6.33E+00
V68	2.49E+00	4.83E+00	5.33E-01	1.06E+01	4.98E+00	3.40E+00	3.46E+00	1.30E+01	4.96E+00	7.04E+00
