Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V1	0	2	116	105	7	112	3	24	0	47	37	11	0	4	32	0	0	0
V2	5	92	9	5	0	28	0	2	0	5	9	0	17	40	26	10	0	0
V3	26	12	44	106	11	20	5	0	6	8	8	30	62	0	0	0	5	10
V4	3	0	118	224	17	134	0	15	8	16	29	24	120	25	16	13	0	0
V5	33	174	48	2	100	0	0	18	46	14	12	3	0	0	0	6	0	15
V6	42	62	38	0	6	0	0	1	1	0	4	0	1	0	0	14	2	5
V7	186	22	21	73	56	53	22	7	20	21	50	46	11	0	0	9	0	0
V8	134	31	87	11	22	22	225	39	4	0	2	9	26	0	0	10	12	0
V9	30	57	24	4	68	0	48	10	46	62	0	6	12	0	0	10	0	0
V10	1	9	0	1	0	2	0	2	0	0	2	0	0	0	0	0	0	0
V11	17	90	7	84	31	115	0	1	12	0	58	13	32	0	0	11	0	0
V12	59	0	0	13	87	24	5	6	63	5	0	3	0	19	11	7	2	0
V13	71	30	18	51	47	21	0	45	30	52	2	4	6	0	0	18	19	0
V14	17	0	0	42	2	25	12	5	0	2	25	42	6	0	0	0	2	0
V15	20	5	49	22	9	6	0	0	29	5	8	0	4	15	12	7	0	0
V16	22	12	0	14	3	14	18	13	3	29	3	0	28	45	10	0	0	0
V17	8	41	59	108	197	2	22	21	40	12	11	23	14	29	0	10	0	0
V18	0	99	15	10	4	0	43	3	0	11	7	0	0	0	0	2	2	10
V19	88	10	24	50	8	40	18	26	1	23	11	21	3	0	0	3	14	8
V20	149	134	30	8	3	0	75	4	2	16	0	6	0	0	11	7	0	3
V21	8	19	2	0	13	0	6	3	84	6	0	0	2	12	0	0	0	0
V22	34	0	72	6	32	5	15	8	30	5	6	13	17	36	0	16	0	0
V23	20	63	0	11	15	0	2	0	3	0	8	8	2	0	12	0	1	0
V24	7	53	0	60	6	33	0	6	2	0	79	3	29	26	12	0	0	0
V25	154	9	2	3	15	22	39	3	19	0	5	3	15	0	16	0	64	0
V26	1	58	85	35	0	8	36	0	5	3	12	19	11	0	0	1	0	33
V27	107	28	0	8	57	5	2	122	52	53	0	17	9	0	0	0	6	0
V28	9	99	17	20	5	30	26	18	2	6	15	26	17	0	0	4	0	0
V29	4	24	115	35	19	28	0	28	3	46	16	73	24	0	0	9	0	7
V30	68	9	0	178	0	189	0	0	0	0	112	77	32	48	0	0	0	0
V31	93	32	0	123	6	115	17	10	0	7	84	23	31	22	40	0	0	0
V32	11	45	0	3	10	0	22	22	2	24	10	0	7	0	0	0	0	14
V33	0	75	82	3	3	15	22	30	3	5	32	0	1	0	0	23	0	0
V34	41	86	32	71	76	14	23	8	34	0	0	32	0	65	0	16	0	28
V35	42	140	114	0	2	2	14	57	5	32	1	0	12	0	0	23	24	19
V36	8	5	10	2	4	0	0	6	0	12	1	1	0	0	0	1	1	3
V37	54	70	0	10	4	10	0	1	5	0	24	2	2	17	40	0	9	0
V38	11	65	179	1	17	0	16	0	5	0	0	6	2	0	0	53	12	0
V39	34	1	0	2	3	5	0	9	0	2	4	2	1	0	0	0	1	0
V40	1	12	0	53	14	11	56	67	15	13	6	24	5	6	17	0	0	0
V41	6	4	10	26	14	56	93	44	16	22	13	0	8	53	0	0	0	15
V42	75	35	92	19	68	40	158	71	104	144	0	0	13	0	0	19	20	0
V43	0	201	7	66	6	30	0	35	11	35	5	24	32	0	0	9	15	3
V44	0	13	95	6	28	6	23	16	31	12	6	11	0	37	0	16	1	0
V45	53	7	25	0	13	0	0	4	12	2	0	3	0	9	11	3	1	5
V46	1	65	6	9	281	0	0	0	138	0	13	0	5	1	0	2	0	0
V47	32	18	31	17	1	0	137	165	0	99	4	21	23	21	19	0	1	0
V48	136	44	0	14	26	0	0	80	5	70	6	9	21	0	78	5	0	0
V49	39	0	0	90	8	40	0	6	2	6	3	4	9	15	45	0	16	0
V50	43	8	33	0	0	2	4	0	7	3	0	0	0	0	0	1	9	0
V51	87	18	42	53	16	30	0	0	10	0	33	39	34	0	0	29	0	0
V52	78	17	39	87	21	83	0	2	12	2	29	53	0	58	27	21	0	0
V53	5	26	45	50	0	19	0	1	0	0	22	25	11	0	0	8	0	9
V54	1	60	0	2	4	0	28	0	2	4	1	6	1	0	0	1	9	0
V55	37	102	11	14	14	13	10	0	3	16	0	0	15	0	0	0	8	0
V56	5	12	0	0	23	0	2	1	8	0	0	1	1	7	3	0	0	0
V57	88	11	9	127	0	155	0	11	0	0	84	145	51	0	0	0	0	0
V58	121	6	90	38	16	10	1	3	6	7	3	0	0	0	0	19	7	0
V59	27	25	35	5	1	0	0	5	4	2	4	1	0	0	28	10	0	0
V60	0	2	40	51	31	14	43	36	5	20	19	7	38	6	12	5	6	0
V61	3	0	75	8	1	8	33	71	22	0	0	1	6	23	0	1	2	0
V62	15	9	337	23	71	9	10	6	74	13	9	10	12	0	0	36	2	0
V63	189	32	0	108	2	32	197	130	1	202	16	29	16	9	12	14	10	21
V64	14	94	0	11	2	0	18	12	0	0	11	6	0	0	0	4	0	1
V65	50	230	45	0	0	0	13	3	5	0	9	8	0	0	2	6	11	0
V66	52	27	10	0	41	0	19	11	0	21	4	13	4	0	0	0	0	38
V67	19	58	38	0	0	0	0	0	0	2	14	1	34	49	38	13	18	0
V68	109	47	8	74	68	5	9	7	38	1	61	2	54	0	26	0	0	10
