Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	25	29	164	86	11	9	1	23	11	2	0
V2	45	94	5	86	436	136	34	50	0	2	0
V3	38	14	33	4	10	111	29	1	23	17	2
V4	22	32	16	57	10	18	4	37	0	15	0
V5	28	35	43	9	63	93	37	6	35	18	1
V6	4	66	39	54	9	6	9	28	29	14	7
V7	20	360	10	21	15	9	0	13	0	139	0
V8	4	15	26	25	4	0	52	1	6	18	5
V9	7	55	156	216	0	18	21	92	31	13	0
V10	3	181	1	0	61	78	7	0	0	138	0
V11	0	12	75	65	0	0	0	36	0	11	17
V12	300	44	2	4	9	106	30	0	37	0	7
V13	20	110	11	3	5	0	62	46	52	26	0
V14	1	0	104	29	23	16	104	45	40	0	15
V15	73	501	1	0	12	4	1	0	0	0	7
V16	22	77	3	14	2	1	13	30	30	9	0
V17	11	64	7	4	2	41	2	3	3	3	0
V18	26	26	41	1	0	0	0	1	0	1	2
V19	13	4	19	20	26	11	72	16	16	1	0
V20	7	38	0	57	0	0	9	26	0	9	0
V21	7	47	7	10	49	27	3	5	0	33	0
V22	32	4	25	0	17	36	89	0	36	0	9
V23	47	0	70	146	27	3	50	42	16	14	11
V24	197	0	122	45	3	1	1	18	0	0	0
V25	1	44	10	31	1	2	0	2	0	8	0
V26	1	7	3	92	2	0	22	18	137	7	0
V27	85	180	20	9	0	0	4	20	0	138	0
V28	525	3	0	7	0	0	1	2	0	4	0
V29	14	80	67	87	0	0	47	35	41	76	0
V30	5	23	5	4	0	0	3	0	3	20	0
V31	2	0	98	93	0	1	27	51	19	0	6
V32	0	31	1	49	2	2	0	37	2	3	0
V33	1	4	43	0	0	1	45	20	11	0	10
V34	162	1	42	115	64	52	16	30	0	0	12
V35	24	3	106	12	14	31	12	11	20	1	8
V36	23	0	60	304	15	6	12	35	14	0	2
V37	3	18	2	5	0	109	0	5	0	2	0
V38	16	24	0	52	14	1	5	12	0	28	0
V39	1	56	16	19	0	2	24	33	5	41	0
V40	19	23	63	40	2	1	20	9	0	2	22
V41	0	80	14	7	21	60	93	0	48	38	0
V42	40	8	54	0	1	2	27	0	0	10	0
V43	0	311	6	2	9	30	63	0	48	21	12
V44	5	4	1	49	25	0	34	39	24	0	0
V45	0	20	46	29	0	1	0	50	3	4	7
V46	24	58	101	1	42	37	5	1	0	10	48
V47	15	102	0	3	41	5	1	4	8	54	0
V48	4	2	64	84	21	22	3	18	1	0	0
V49	72	476	4	1	7	13	18	0	24	18	0
V50	5	98	41	40	1	0	6	22	7	22	0
V51	18	3	8	29	6	16	85	11	28	5	7
V52	134	16	7	76	0	0	10	63	0	20	0
V53	10	0	59	97	245	103	50	74	0	5	0
V54	95	10	146	0	0	0	0	0	19	0	33
V55	6	50	6	38	17	4	2	29	0	5	0
V56	141	1	67	15	0	1	23	4	62	0	6
V57	56	11	65	2	1	1	14	0	0	16	18
V58	76	220	32	24	9	0	42	13	15	55	30
V59	6	1	29	73	52	29	36	58	54	1	5
V60	64	65	13	5	181	13	0	0	14	12	7
V61	0	12	178	51	5	6	2	113	0	4	0
V62	92	97	62	20	10	8	9	37	7	17	40
V63	18	16	0	19	1	0	13	28	15	0	3
V64	99	57	0	20	0	0	52	17	14	11	0
V65	448	35	0	50	56	81	17	19	18	1	23
V66	88	38	0	37	16	24	20	9	0	8	8
V67	20	5	2	24	121	60	22	22	18	5	0
V68	0	27	15	9	7	0	4	4	3	10	6
V69	21	32	0	1	6	71	38	0	18	0	0
V70	105	2	2	9	1	0	0	0	2	1	14
V71	0	1	31	2	4	7	4	0	0	0	5
V72	12	5	203	0	17	12	28	0	22	10	38
V73	0	0	122	4	1	12	92	2	33	1	6
V74	55	105	44	26	4	7	4	15	15	8	19
V75	8	36	10	100	0	10	10	25	2	2	0
V76	11	13	7	1	0	0	20	0	22	0	0
V77	0	43	11	1	63	162	44	0	0	22	2
V78	40	127	30	10	42	14	8	5	33	9	3
V79	142	6	93	1	0	0	3	0	5	1	11
V80	22	143	62	108	0	1	3	68	16	18	10
V81	1	111	16	32	66	12	3	11	0	30	3
V82	33	4	13	1	4	0	5	1	0	2	9
V83	0	62	132	0	82	4	14	0	0	60	13
V84	21	0	5	19	0	0	3	15	4	0	7
V85	8	9	95	0	0	0	4	2	0	0	0
V86	49	59	58	22	7	19	10	6	0	35	0
V87	596	3	0	26	22	20	14	28	38	3	26
V88	10	14	15	19	19	13	1	7	8	3	0
V89	6	28	5	2	82	115	0	0	0	24	0
V90	93	82	0	136	47	23	11	46	4	49	34
V91	5	40	8	22	8	5	6	14	5	0	0
V92	21	16	14	10	17	8	119	6	127	0	3
V93	298	2	21	0	0	1	8	0	43	7	0
V94	26	18	145	45	3	2	6	34	9	2	6
V95	1	0	120	12	0	4	3	5	0	0	0
V96	195	26	6	41	17	110	18	48	10	47	0
V97	39	6	14	17	37	10	33	0	62	1	12
V98	9	25	1	12	21	91	70	3	0	22	14
V99	17	12	6	272	39	39	53	15	30	15	3
V100	17	1	3	0	16	12	1	1	2	4	0
