MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Del:C:0	1.82E-04	1.45E-08	8.20E-04	1.40E-46	4.28E-46	5.85E-03	2.58E-03	2.81E-02	2.03E-03	4.92E-03	7.63E-03	1.76E-02	3.89E-06	6.19E-02	7.64E-03	1.55E-02	1.54E-02	7.32E-07
1:Del:C:1	2.38E-08	1.93E-07	3.79E-04	7.78E-08	0.00E+00	8.92E-03	1.34E-02	3.93E-03	2.58E-07	3.32E-07	1.62E-02	1.63E-06	5.60E-02	1.47E-02	8.07E-03	3.35E-03	3.22E-03	6.65E-07
1:Del:C:2	2.91E-05	9.54E-09	4.33E-04	5.95E-04	3.49E-03	1.17E-03	1.18E-03	6.37E-04	7.41E-04	2.59E-04	7.21E-04	1.65E-07	1.95E-03	9.16E-04	4.49E-03	1.20E-03	2.49E-04	7.49E-04
1:Del:C:3	6.36E-04	5.22E-04	1.73E-04	0.00E+00	1.87E-07	4.51E-07	1.45E-03	9.14E-04	4.70E-05	5.34E-03	5.19E-03	0.00E+00	0.00E+00	8.27E-03	2.54E-03	1.62E-02	9.08E-03	5.11E-03
1:Del:C:4	1.88E-04	4.99E-08	0.00E+00	1.22E-03	3.64E-03	0.00E+00	4.06E-04	6.91E-04	3.54E-03	1.81E-03	6.49E-03	3.07E-04	2.75E-03	1.25E-02	3.96E-03	1.09E-03	1.01E-02	1.66E-03
1:Del:C:5	2.88E-04	1.54E-04	6.63E-08	4.54E-03	1.90E-04	1.56E-04	0.00E+00	1.06E-03	3.31E-08	1.20E-02	0.00E+00	0.00E+00	2.11E-04	1.24E-03	2.71E-02	7.50E-03	3.94E-03	5.26E-03
1:Del:T:0	4.76E-08	3.11E-04	0.00E+00	8.46E-04	9.28E-04	1.04E-02	8.78E-03	1.09E-02	1.17E-03	2.72E-03	2.47E-02	0.00E+00	2.21E-02	2.53E-02	2.59E-02	6.73E-03	2.45E-02	3.14E-02
1:Del:T:1	7.79E-05	9.92E-04	3.40E-05	7.53E-07	0.00E+00	1.84E-04	4.77E-03	1.01E-02	8.46E-03	2.52E-04	6.72E-03	5.86E-03	1.78E-02	1.19E-02	1.83E-02	1.45E-03	7.08E-03	5.66E-03
1:Del:T:2	2.12E-08	1.32E-03	8.01E-04	1.04E-03	1.40E-46	4.26E-06	3.33E-07	1.81E-02	2.81E-03	8.03E-04	7.70E-03	1.54E-02	1.89E-02	6.23E-02	3.97E-02	7.05E-04	5.78E-03	1.00E-02
1:Del:T:3	1.42E-04	1.57E-03	0.00E+00	8.42E-04	5.23E-03	2.50E-03	9.15E-03	1.24E-02	2.15E-03	8.17E-03	1.70E-03	1.09E-02	3.23E-02	2.14E-02	6.64E-02	6.10E-03	4.41E-03	1.12E-02
