Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	36	2	13	3	21	25	16	0	28	8	12	7	0	5	11	0	0	0	1	2
V2	15	83	7	7	0	0	0	0	25	0	12	2	0	3	0	0	4	5	0	0
V3	45	18	5	60	1	13	1	10	1	17	10	1	4	3	2	0	0	3	0	0
V4	122	107	1	26	1	2	0	0	0	46	5	0	2	6	0	0	0	0	8	9
V5	13	13	9	4	41	15	3	5	45	0	37	0	0	3	35	36	4	0	3	0
V6	10	2	0	21	11	14	1	0	22	0	9	0	0	0	0	0	0	7	0	0
V7	2	0	41	6	2	0	0	0	0	0	3	0	0	3	0	0	0	0	2	0
V8	8	6	1	26	5	0	2	12	18	0	2	8	5	2	12	19	0	2	0	3
V9	3	2	23	9	3	4	11	0	24	0	17	16	0	4	0	0	0	2	0	0
V10	0	107	0	0	7	72	3	0	42	0	20	0	13	0	7	0	9	2	10	11
V11	85	14	18	5	16	0	10	7	0	0	0	6	0	21	0	0	8	26	0	0
V12	33	12	63	14	2	0	11	33	0	0	5	28	1	0	0	13	3	4	0	0
V13	9	11	20	3	5	0	14	0	0	0	4	14	0	6	1	14	0	0	8	0
V14	200	17	8	35	15	0	11	32	0	0	0	3	37	68	18	7	6	0	5	0
V15	0	142	0	16	0	1	0	0	1	0	0	3	0	0	0	0	0	3	53	0
V16	66	74	104	0	61	10	118	0	6	17	26	39	10	10	18	0	0	2	0	0
V17	90	8	5	45	0	0	0	134	10	24	0	0	1	6	0	52	0	5	0	0
V18	97	29	14	0	53	14	11	0	1	46	0	3	46	14	17	20	27	2	0	13
V19	8	91	20	2	28	0	14	0	0	0	1	7	8	7	0	0	0	6	12	0
V20	248	171	2	0	7	1	4	0	0	65	7	5	5	16	1	9	4	0	5	0
V21	60	63	4	17	6	52	1	2	49	0	13	0	64	14	73	0	48	7	7	0
V22	59	80	7	0	10	2	5	2	0	0	19	8	13	2	2	0	8	11	5	0
V23	42	8	9	8	1	2	4	2	2	0	1	1	0	11	0	20	0	0	3	0
V24	599	54	2	47	28	2	0	0	7	72	0	0	0	34	11	53	0	13	8	5
V25	28	18	28	2	0	27	12	2	0	0	16	30	0	8	3	8	0	0	2	0
V26	115	105	0	32	23	2	0	2	40	56	5	0	36	3	0	0	20	0	1	0
V27	32	112	22	1	0	2	17	6	7	0	3	7	0	5	2	0	0	0	16	0
V28	37	11	21	11	72	208	12	0	53	0	96	4	95	24	56	0	40	10	0	0
V29	76	13	2	17	50	116	1	0	85	0	170	0	0	5	5	0	3	5	1	0
V30	11	168	1	13	4	0	0	46	0	0	0	0	1	3	3	22	1	0	19	0
V31	461	6	21	103	6	81	15	78	21	0	36	7	0	2	7	9	25	0	6	0
V32	0	186	1	0	3	3	0	0	5	14	0	2	0	1	3	0	0	0	16	23
V33	65	106	23	0	1	0	27	0	0	37	0	9	0	0	5	9	0	0	0	14
V34	0	3	3	0	8	78	0	0	7	0	17	0	6	0	3	0	3	5	0	0
V35	0	50	4	17	21	18	7	0	1	0	29	12	20	0	17	0	15	31	0	0
V36	20	175	1	0	84	5	0	0	0	0	4	7	6	25	61	0	17	16	11	39
V37	4	5	14	23	19	0	7	10	0	0	0	0	1	11	28	0	3	5	0	0
V38	21	34	0	23	28	14	0	7	7	0	2	0	10	0	10	0	8	7	0	0
V39	2	74	31	1	21	0	11	0	0	0	0	9	23	4	6	0	16	0	9	0
