Samples	ID83A	ID83B
V1	166	24
V2	0	163
V3	157	37
V4	177	158
V5	220	46
V6	97	0
V7	5	54
V8	104	27
V9	63	55
V10	0	303
V11	168	48
V12	130	92
V13	44	65
V14	409	53
V15	0	219
V16	204	357
V17	350	30
V18	316	91
V19	0	204
V20	320	230
V21	290	190
V22	78	155
V23	90	24
V24	838	97
V25	103	81
V26	260	180
V27	0	232
V28	736	14
V29	549	0
V30	2	290
V31	840	44
V32	0	257
V33	90	206
V34	133	0
V35	44	198
V36	0	471
V37	89	41
V38	92	79
V39	0	207
V40	159	34
V41	390	61
V42	521	4
V43	107	74
V44	32	277
V45	33	156
V46	38	12
V47	308	222
V48	82	51
V49	161	32
V50	124	443
V51	411	16
V52	425	59
V53	93	0
V54	333	49
V55	134	358
V56	1	30
V57	0	144
V58	89	20
V59	79	37
V60	107	54
V61	225	46
V62	37	372
V63	254	46
V64	102	76
V65	377	128
V66	110	221
V67	317	39
V68	153	93
V69	0	251
V70	159	62
V71	172	19
V72	0	181
V73	215	72
V74	209	118
V75	290	27
V76	287	246
V77	265	164
V78	90	130
V79	59	179
V80	37	160
V81	0	329
V82	839	145
V83	8	63
V84	94	182
V85	369	61
V86	91	29
V87	238	158
V88	187	54
V89	57	282
V90	82	243
V91	71	59
V92	307	311
V93	33	130
V94	57	107
V95	191	55
V96	156	14
V97	25	446
V98	46	320
V99	22	31
V100	252	71
