MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	7.76E-04	2.04E-03	1.82E-03	2.20E-03
1:Del:C:1	3.44E-04	9.73E-04	1.04E-03	6.42E-04
1:Del:C:2	1.06E-04	3.77E-04	9.98E-05	1.96E-04
1:Del:C:3	2.97E-04	4.53E-04	3.42E-04	3.25E-04
1:Del:C:4	1.78E-04	2.67E-04	3.28E-04	4.02E-04
1:Del:C:5	3.25E-04	1.64E-04	3.42E-04	4.17E-04
1:Del:T:0	5.41E-04	9.73E-04	9.52E-04	6.91E-04
1:Del:T:1	2.27E-07	6.88E-04	1.33E-04	5.75E-05
1:Del:T:2	5.16E-04	9.93E-04	9.09E-04	8.32E-04
1:Del:T:3	6.76E-04	1.37E-03	1.02E-03	5.94E-04
1:Del:T:4	6.00E-04	1.09E-03	1.03E-03	1.50E-03
1:Del:T:5	1.84E-03	7.60E-04	5.57E-04	6.36E-03
1:Ins:C:0	5.33E-05	1.10E-04	9.33E-09	4.71E-09
1:Ins:C:1	4.13E-09	1.08E-04	9.21E-05	7.73E-05
1:Ins:C:2	3.45E-05	1.04E-04	5.03E-05	9.85E-05
1:Ins:C:3	8.56E-05	5.69E-09	9.29E-05	4.27E-05
1:Ins:C:4	2.94E-04	1.35E-04	4.32E-04	2.49E-04
1:Ins:C:5	2.92E-04	2.41E-05	4.47E-04	4.45E-04
1:Ins:T:0	2.12E-04	3.22E-04	3.09E-04	3.17E-04
1:Ins:T:1	1.49E-06	1.71E-04	2.15E-04	2.30E-04
1:Ins:T:2	1.37E-04	2.38E-04	1.61E-04	1.55E-04
1:Ins:T:3	1.47E-04	1.84E-04	2.85E-04	2.00E-04
1:Ins:T:4	4.46E-04	2.64E-04	6.27E-04	1.21E-03
1:Ins:T:5	8.26E-07	3.07E-04	6.02E-03	3.90E-07
2:Del:R:0	0.00E+00	5.58E-04	1.11E-04	3.39E-04
2:Del:R:1	2.64E-04	5.84E-04	2.01E-04	4.30E-04
2:Del:R:2	2.11E-04	1.59E-04	2.97E-04	5.43E-05
2:Del:R:3	6.89E-05	5.63E-05	1.90E-04	2.16E-05
2:Del:R:4	8.10E-05	1.30E-04	8.64E-10	1.53E-04
2:Del:R:5	7.56E-09	1.99E-04	4.81E-05	3.14E-08
3:Del:R:0	7.45E-05	4.61E-04	7.23E-05	6.91E-09
3:Del:R:1	8.87E-05	2.87E-04	3.72E-04	4.20E-04
3:Del:R:2	1.18E-04	1.99E-04	2.55E-04	1.30E-04
3:Del:R:3	4.77E-05	7.67E-05	1.43E-04	0.00E+00
3:Del:R:4	1.63E-09	1.88E-09	3.60E-09	4.63E-09
3:Del:R:5	1.63E-09	1.88E-09	3.60E-09	4.63E-09
4:Del:R:0	1.23E-04	4.09E-04	6.20E-05	2.77E-04
4:Del:R:1	2.01E-04	3.35E-04	2.78E-04	5.82E-05
4:Del:R:2	6.21E-05	1.10E-04	1.15E-04	1.15E-05
4:Del:R:3	1.63E-09	1.88E-09	3.60E-09	4.63E-09
4:Del:R:4	5.76E-08	3.79E-05	6.73E-08	5.88E-05
4:Del:R:5	3.76E-04	4.30E-04	1.63E-04	2.46E-04
5:Del:R:0	5.94E-05	1.56E-03	0.00E+00	5.69E-04
5:Del:R:1	7.93E-05	1.92E-08	3.05E-05	8.47E-05
5:Del:R:2	3.46E-08	6.83E-09	2.86E-04	2.22E-03
5:Del:R:3	3.79E-05	4.04E-05	3.24E-05	6.93E-08
5:Del:R:4	1.63E-09	1.88E-09	3.60E-09	4.63E-09
5:Del:R:5	2.68E-04	1.39E-04	9.97E-06	6.40E-05
2:Ins:R:0	2.30E-04	2.10E-04	7.33E-10	9.55E-05
2:Ins:R:1	1.26E-08	1.65E-04	1.12E-08	6.27E-08
2:Ins:R:2	9.91E-05	8.31E-05	1.17E-08	2.07E-05
2:Ins:R:3	4.07E-04	2.02E-07	0.00E+00	5.49E-03
2:Ins:R:4	7.51E-05	2.42E-04	2.43E-04	4.15E-04
2:Ins:R:5	5.14E-04	1.20E-04	4.70E-04	1.99E-04
3:Ins:R:0	6.89E-05	1.05E-04	4.37E-05	5.76E-05
3:Ins:R:1	1.03E-04	1.41E-04	1.83E-04	0.00E+00
3:Ins:R:2	1.63E-08	6.44E-05	3.96E-08	4.58E-08
3:Ins:R:3	1.63E-09	1.88E-09	3.60E-09	4.63E-09
3:Ins:R:4	3.38E-08	5.96E-05	6.17E-05	4.80E-08
3:Ins:R:5	1.12E-04	1.08E-04	2.54E-04	4.96E-05
4:Ins:R:0	3.69E-05	2.84E-05	9.50E-05	1.04E-08
4:Ins:R:1	1.79E-03	1.37E-03	0.00E+00	1.02E-03
4:Ins:R:2	1.63E-09	1.88E-09	3.60E-09	4.63E-09
4:Ins:R:3	1.63E-09	1.88E-09	3.60E-09	4.63E-09
4:Ins:R:4	6.99E-05	2.07E-05	6.21E-05	8.06E-05
4:Ins:R:5	1.48E-04	9.39E-05	1.36E-04	3.49E-05
5:Ins:R:0	2.07E-05	6.66E-05	6.58E-09	3.87E-04
5:Ins:R:1	4.04E-05	3.16E-04	2.06E-04	2.18E-05
5:Ins:R:2	0.00E+00	4.37E-09	8.14E-05	1.08E-04
5:Ins:R:3	2.98E-08	6.29E-09	8.11E-05	7.80E-05
5:Ins:R:4	0.00E+00	3.67E-09	1.62E-04	1.61E-04
5:Ins:R:5	4.60E-04	1.01E-07	1.59E-04	6.24E-09
2:Del:M:1	1.25E-04	2.51E-04	1.85E-04	1.41E-04
3:Del:M:1	1.14E-04	4.00E-04	1.57E-04	0.00E+00
3:Del:M:2	1.28E-04	1.66E-04	3.31E-04	2.06E-04
4:Del:M:1	0.00E+00	6.80E-04	0.00E+00	2.31E-03
4:Del:M:2	1.27E-04	3.12E-04	1.95E-04	6.80E-04
4:Del:M:3	8.17E-05	2.59E-04	8.12E-05	2.82E-04
5:Del:M:1	2.98E-08	1.65E-03	8.01E-05	1.04E-06
5:Del:M:2	6.35E-05	7.73E-04	1.71E-04	6.81E-09
5:Del:M:3	1.05E-04	7.87E-04	2.86E-04	0.00E+00
5:Del:M:4	8.40E-05	3.80E-04	1.89E-04	1.68E-04
5:Del:M:5	1.21E-04	4.92E-04	1.79E-04	0.00E+00
