MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	0.00560122	0.00002697	0.00599118	0.36639332	0.01294264	0.00237925
1:Del:C:1	0.00014928	0.00072456	0.00031564	0.09284272	0.01373044	0.00644582
1:Del:C:2	0.00026065	0.00025788	0.00059415	0.00125644	0.00270020	0.00239831
1:Del:C:3	0.00081851	0.00138660	0.00069305	0.00536877	0.00804442	0.00548931
1:Del:C:4	0.00180875	0.00139320	0.00071644	0.00952875	0.00032830	0.00211282
1:Del:C:5	0.00998187	0.00437540	0.00203013	0.00197815	0.00000000	0.00005756
1:Del:T:0	0.00459040	0.00182212	0.00099306	0.10935061	0.02461151	0.00134662
1:Del:T:1	0.00000013	0.00000000	0.00011564	0.04647222	0.00846527	0.00000054
1:Del:T:2	0.00284075	0.00111232	0.00181752	0.08562609	0.00629289	0.00613470
1:Del:T:3	0.01461720	0.00287906	0.00700988	0.11105512	0.01308492	0.00023175
1:Del:T:4	0.05227265	0.00109479	0.06045239	0.07653237	0.00000000	0.00000000
1:Del:T:5	0.84712297	0.00025174	0.00095901	0.00115036	0.00237807	0.34474508
1:Ins:C:0	0.00011257	0.00000013	0.00000000	0.00000010	0.00194717	0.00011067
1:Ins:C:1	0.00000000	0.00020869	0.00014842	0.00083277	0.00139790	0.00005264
1:Ins:C:2	0.00000000	0.00007757	0.00015274	0.00010419	0.00027856	0.00079904
1:Ins:C:3	0.00024843	0.00021495	0.00012142	0.00008390	0.00000000	0.00055055
1:Ins:C:4	0.00182896	0.00202307	0.00040804	0.00011656	0.00084448	0.00000000
1:Ins:C:5	0.00370829	0.02364770	0.00155404	0.00012366	0.00014670	0.00176459
1:Ins:T:0	0.00114050	0.00119834	0.00159563	0.01509572	0.00073787	0.00090044
1:Ins:T:1	0.00001257	0.00000000	0.00061416	0.01090890	0.00433618	0.00039169
1:Ins:T:2	0.00059921	0.00066319	0.00057017	0.00218043	0.00016133	0.00000000
1:Ins:T:3	0.00115602	0.00341617	0.00027749	0.00001298	0.00154127	0.00040131
1:Ins:T:4	0.00398921	0.00930383	0.04811807	0.00125448	0.00072936	0.00129361
1:Ins:T:5	0.00141768	0.90899080	0.00020150	0.00034398	0.00001462	0.00412566
2:Del:R:0	0.00000000	0.00000000	0.00077267	0.01391760	0.00878560	0.00014860
2:Del:R:1	0.00205402	0.00016780	0.00071455	0.00501004	0.00956010	0.00065787
2:Del:R:2	0.00144074	0.00131353	0.00013188	0.00019205	0.00144321	0.00057112
2:Del:R:3	0.00048907	0.00132257	0.00000677	0.00023381	0.00005397	0.00000000
2:Del:R:4	0.00025116	0.00000001	0.00025256	0.00000000	0.00120613	0.00000003
2:Del:R:5	0.00000000	0.00000712	0.00000009	0.00000007	0.00188921	0.00000032
3:Del:R:0	0.00002456	0.00047441	0.00000000	0.00169726	0.01238581	0.00063540
3:Del:R:1	0.00426592	0.00149306	0.00348951	0.00447093	0.00152574	0.00296043
3:Del:R:2	0.00108437	0.00121050	0.00027599	0.00132456	0.00161896	0.00000000
3:Del:R:3	0.00005124	0.00061222	0.00000001	0.00065002	0.00000000	0.00048832
3:Del:R:4	0.00000008	0.00000042	0.00000046	0.00000034	0.00000034	0.00000055
3:Del:R:5	0.00000008	0.00000042	0.00000046	0.00000034	0.00000034	0.00000055
4:Del:R:0	0.00030401	0.00000001	0.00071891	0.00000000	0.01097113	0.00017062
4:Del:R:1	0.00176428	0.00069637	0.00003310	0.00570434	0.00074130	0.00000002
4:Del:R:2	0.00006468	0.00037766	0.00000000	0.00136130	0.00005870	0.00086264
4:Del:R:3	0.00000008	0.00000042	0.00000046	0.00000034	0.00000034	0.00000055
4:Del:R:4	0.00001349	0.00000021	0.00004115	0.00007403	0.00007422	0.00000032
